set,A1,A1,A1,A1,A1,A1,A1,A2,A3
domain,arxiv,book,c4,commoncrawl,github,stackexchange,wikipedia,arxiv,github
z_fineweb_edu,0.6474558743020952,0.4236640529364957,0.3164731149953784,0.4073695050835571,0.3292620679298764,0.4565950435741936,0.3503029821272599,0.6388648450222563,0.3296441437722246
z_qurater,0.8359480717320017,0.4510741562366171,0.41895874663657234,0.4601930459206376,0.31721558220946944,0.39591818796820016,0.34993372098569603,0.837073446030865,0.3172398930209104
z_modernbert_reasoning,0.9957250384669944,0.605397616885957,0.2764947860890803,0.3793312109517403,0.22623098398461453,0.5296840925484044,0.24395571241557895,0.9933171351017093,0.22560754355572993
z_modernbert_professionalism,0.9980109181403395,0.35390931889797156,0.17155208327404453,0.2926400840278402,0.813087150760824,0.713804298449859,0.24267184214558507,0.996872715762894,0.8114643921933087
z_fluency_en,0.9724370050339011,0.7035971290700207,0.8607929971636229,0.8400977269929322,0.5277235421591537,0.7733562178129888,0.6765297494133884,0.9710268899779861,0.5283151524514313
z_modernbert_readability,0.9299455213092642,0.8674619402912888,0.6871166698364274,0.8684135994894014,0.4629253942855619,0.6542953711447238,0.747654009449335,0.9295985307108453,0.46252294567850116
z_modernbert_cleanliness,0.9906113660107444,0.8265666798655971,0.7524999192056641,0.745963477144713,0.26473418349693323,0.7854927176041209,0.6935779188189933,0.9905268072878138,0.2635473743189471
z_ad_en,0.9891996851091807,0.9250023380481747,0.7392518043381264,0.8831063874489353,0.9742100779404067,0.9892397187092768,0.9756690128298565,0.9881214136548448,0.9751807741100096
z_dsir_books,0.8013218332586987,0.9842458530262362,0.8315609991468483,0.8805251158139217,0.448809321673193,0.7324513851693454,0.7753595178635903,0.8052594199010011,0.44746718970350907
z_dsir_wiki,0.8082423802343114,0.9792337584148711,0.8320162630133382,0.8844436914408282,0.4506798070700891,0.7292075677832236,0.7815272010170579,0.8121276856505538,0.44940874405239434
z_dsir_math,0.8734206543552685,0.9789127291646055,0.8266156438466696,0.8774930708973163,0.461124976595455,0.7436414710044857,0.7697807048662525,0.8773927567124598,0.4593285822206042
z_rps_doc_word_count,0.9996050099036359,0.8563566704945765,0.9925455368407348,0.9999756439453796,0.8400687244331495,0.9985344126441847,0.9323500328876707,0.9991213141070638,0.8379465708167961
z_rps_doc_num_sentences,1.0,1.0,0.9999261859507144,0.9974547662140634,0.9226134711285724,0.9967808347185715,0.9434895620442869,0.9991976389481988,0.9190268583616893
z_rps_doc_unigram_entropy,0.7616328985869694,0.9019813538454311,0.4690129892038085,0.6198352952861614,0.3372531311558316,0.4652848745266216,0.43649660424624814,0.7661213945856272,0.3341415278201233
z_rps_doc_frac_unique_words,0.5765751821308169,0.3641651517945404,0.7623062820266254,0.7858819677483156,0.60940951291806,0.6977406645663039,0.7456107615921773,0.5733464566355528,0.6052792184237931
z_rps_doc_frac_no_alph_words,0.8346643280417886,0.9227666312677926,0.9537084457350642,0.9472011192561147,0.7769161152992672,0.8300041806333313,0.8053590783027418,0.8351879673035054,0.7756105268397365
z_rps_doc_frac_chars_top_2gram,0.9399921521070488,0.9588746506591913,0.8238274935317879,0.8754267832263857,0.8161418166624685,0.8217690531576647,0.7465760246621573,0.9402387971069601,0.8126111199550882
z_rps_doc_frac_chars_top_3gram,0.9505978079141681,0.9833109390689264,0.84751050055074,0.8790477915300365,0.8377388888888889,0.8080173816796793,0.8344611111111111,0.950090443405262,0.835267602008542
z_rps_lines_uppercase_letter_fraction,0.6639963562523096,0.16109508910918416,0.9447647198365623,0.8694868476589993,0.6045315136662482,0.4948742310133168,0.36757026302593765,0.6727220816470126,0.6018898671726929
z_rps_lines_ending_with_terminal_punctution_mark,0.3415873016605934,0.7406557595788391,1.0,0.5055154708780698,0.22903078560304765,0.4641473143088855,0.5057830372032148,0.33559245025255785,0.2299755641434824
z_rps_lines_numerical_chars_fraction,0.7835220436318319,0.8222592046743276,0.9342248316159241,0.8528159819172413,0.9219809421121626,0.840908507277971,0.8223466721906633,0.7831434366721621,0.9204614129075394
z_rps_doc_mean_word_length,0.998700080764969,1.0,0.9991783257595122,0.9999451336545102,0.8216496200839056,0.9901548948529049,0.999849361248424,0.9991594077119753,0.8238266381596033
D_D1语义价值,0.9212076788899851,0.5283553034874631,0.2992821980390554,0.4286418978342635,0.4143996402221148,0.6193561320036275,0.29102272370688714,0.9205019188508333,0.41318121904795024
D_D2语言规范,0.8453165403856435,0.49428619002728835,0.5124182027047394,0.5591320904797547,0.17449895460927944,0.4644909416303661,0.4528064440328392,0.8416411593635003,0.17544515597977156
D_D3参考域相似,0.5574256496411062,0.9210035623852244,0.5227968543035032,0.6836436036202292,0.10496582985424104,0.3240070280295427,0.3826499230688136,0.5628906342390438,0.10414245669857282
D_D4统计启发式,0.4658679508749376,0.6037891814196756,0.8528078772335146,0.6905430747423783,0.18888860808392516,0.33133162216135414,0.3694401444357953,0.46547773734430486,0.18694128607019272
Dz_D1语义价值,0.878492764898522,0.46438732559833623,0.29045363085809556,0.3785800776892411,0.4159851985628085,0.5267747857231613,0.29013592590918424,0.875990811731526,0.4154694401152434
Dz_D2语言规范,0.968253656054366,0.8234801038547619,0.7623809141149659,0.8263970734706818,0.5041782612686018,0.7851129914053284,0.7445113242029087,0.9675315932114427,0.5040249082225545
Dz_D3参考域相似,0.8278366795597782,0.9807786432853762,0.8301127375841386,0.8808563970040657,0.45347230643136416,0.7351149791646835,0.7756051653877801,0.8317685679286687,0.4520051369008123
Dz_D4统计启发式,0.7835430550623966,0.7985585150753081,0.8638108229984677,0.8123069873669967,0.6576776965241031,0.7345190241376607,0.7096516064444992,0.7834929811936777,0.6557802311721533
