domain,conflict_type,n,share_within_domain_conflicts
arxiv,D1语义价值高/D3参考域相似低,1388,0.4758313335618786
arxiv,D1语义价值高/D4统计启发式低,757,0.259513198491601
arxiv,D2语言规范高/D3参考域相似低,528,0.1810078848131642
arxiv,D2语言规范高/D4统计启发式低,225,0.07713404182379156
arxiv,D2语言规范高/D1语义价值低,9,0.0030853616729516627
arxiv,D1语义价值高/D2语言规范低,4,0.0013712718546451835
arxiv,D3参考域相似高/D2语言规范低,4,0.0013712718546451835
arxiv,D4统计启发式高/D2语言规范低,1,0.00034281796366129587
arxiv,D4统计启发式高/D3参考域相似低,1,0.00034281796366129587
book,D3参考域相似高/D2语言规范低,21,0.525
book,D3参考域相似高/D1语义价值低,14,0.35
book,D3参考域相似高/D4统计启发式低,5,0.125
c4,D4统计启发式高/D1语义价值低,3127,0.6877061798988344
c4,D4统计启发式高/D2语言规范低,1014,0.22300417857928304
c4,D2语言规范高/D1语义价值低,377,0.08291180998460523
c4,D4统计启发式高/D3参考域相似低,12,0.0026391027050802728
c4,D2语言规范高/D4统计启发式低,6,0.0013195513525401364
c4,D2语言规范高/D3参考域相似低,5,0.0010996261271167802
c4,D3参考域相似高/D2语言规范低,4,0.0008797009016934242
c4,D1语义价值高/D3参考域相似低,1,0.00021992522542335605
c4,D3参考域相似高/D1语义价值低,1,0.00021992522542335605
commoncrawl,D4统计启发式高/D1语义价值低,562,0.2883530015392509
commoncrawl,D2语言规范高/D1语义价值低,443,0.22729604925602873
commoncrawl,D4统计启发式高/D2语言规范低,441,0.2262698819907645
commoncrawl,D3参考域相似高/D2语言规范低,256,0.13134940995382247
commoncrawl,D3参考域相似高/D1语义价值低,129,0.06618778860954336
commoncrawl,D2语言规范高/D4统计启发式低,56,0.028732683427398667
commoncrawl,D1语义价值高/D4统计启发式低,46,0.023601847101077475
commoncrawl,D1语义价值高/D2语言规范低,8,0.004104669061056952
commoncrawl,D3参考域相似高/D4统计启发式低,6,0.0030785017957927143
commoncrawl,D2语言规范高/D3参考域相似低,1,0.000513083632632119
commoncrawl,D4统计启发式高/D3参考域相似低,1,0.000513083632632119
github,D1语义价值高/D2语言规范低,3627,0.3293380550258785
github,D1语义价值高/D3参考域相似低,3223,0.292654136021066
github,D1语义价值高/D4统计启发式低,2699,0.24507400345046762
github,D4统计启发式高/D2语言规范低,841,0.07636429674021611
github,D4统计启发式高/D3参考域相似低,290,0.0263325161173159
github,D2语言规范高/D4统计启发式低,151,0.013711068736947244
github,D2语言规范高/D3参考域相似低,73,0.006628529919186416
github,D4统计启发式高/D1语义价值低,62,0.00562971034232271
github,D3参考域相似高/D2语言规范低,37,0.003359665849450649
github,D2语言规范高/D1语义价值低,9,0.0008172160174339417
github,D3参考域相似高/D1语义价值低,1,9.080177971488241e-05
stackexchange,D1语义价值高/D4统计启发式低,702,0.5223214285714286
stackexchange,D1语义价值高/D3参考域相似低,286,0.21279761904761904
stackexchange,D2语言规范高/D4统计启发式低,199,0.1480654761904762
stackexchange,D2语言规范高/D3参考域相似低,62,0.046130952380952384
stackexchange,D4统计启发式高/D2语言规范低,37,0.027529761904761904
stackexchange,D1语义价值高/D2语言规范低,29,0.021577380952380952
stackexchange,D4统计启发式高/D1语义价值低,14,0.010416666666666666
stackexchange,D4统计启发式高/D3参考域相似低,13,0.009672619047619048
stackexchange,D3参考域相似高/D2语言规范低,2,0.001488095238095238
wikipedia,D2语言规范高/D4统计启发式低,369,0.44835965978128794
wikipedia,D2语言规范高/D1语义价值低,272,0.330498177399757
wikipedia,D4统计启发式高/D2语言规范低,82,0.09963547995139732
wikipedia,D4统计启发式高/D1语义价值低,72,0.08748481166464156
wikipedia,D4统计启发式高/D3参考域相似低,10,0.012150668286755772
wikipedia,D2语言规范高/D3参考域相似低,5,0.006075334143377886
wikipedia,D1语义价值高/D2语言规范低,3,0.0036452004860267314
wikipedia,D3参考域相似高/D1语义价值低,3,0.0036452004860267314
wikipedia,D3参考域相似高/D2语言规范低,3,0.0036452004860267314
wikipedia,D1语义价值高/D4统计启发式低,2,0.002430133657351154
wikipedia,D1语义价值高/D3参考域相似低,1,0.001215066828675577
wikipedia,D3参考域相似高/D4统计启发式低,1,0.001215066828675577
