ind_i,ind_j,dim_i,dim_j,conflict_rate_balanced,lift_vs_independence,spearman,rate_github,rate_arxiv,rate_c4,rate_stackexchange,rate_wikipedia,rate_commoncrawl,rate_book
rps_doc_word_count,rps_doc_frac_chars_top_3gram,D4统计启发式,D4统计启发式,0.3233391295375537,2.58671303630043,-0.3100358066936674,0.5735805980762753,0.023756731073804244,0.3524,0.4516,0.4554,0.21950207468879668,0.1871345029239766
modernbert_professionalism,rps_doc_mean_word_length,D1语义价值,D4统计启发式,0.27883933316939935,2.230714665355195,-0.1807454805003806,0.21285882705191062,0.003431527821771724,0.6254,0.0173,0.4498,0.3565352697095436,0.28654970760233917
rps_doc_word_count,rps_doc_frac_chars_top_2gram,D4统计启发式,D4统计启发式,0.27514014847617346,2.2011211878093877,-0.08953220939013123,0.4489642202178225,0.018899799387604267,0.3528,0.3564,0.3713,0.20217842323651453,0.17543859649122806
rps_lines_numerical_chars_fraction,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.26911534258128084,2.1529227406502467,-0.1835816505839314,0.2626969572214529,0.4151092809629395,0.084,0.2505,0.3363,0.24865145228215768,0.28654970760233917
rps_doc_word_count,rps_lines_numerical_chars_fraction,D4统计启发式,D4统计启发式,0.26308529945170717,2.1046823956136573,-0.21092306913884332,0.2554221714884539,0.41669306303452647,0.1008,0.2599,0.3613,0.24865145228215768,0.19883040935672514
rps_doc_num_sentences,rps_lines_numerical_chars_fraction,D4统计启发式,D4统计启发式,0.2598743473631782,2.0789947789054257,-0.13583016178364746,0.18021819678880197,0.4165346848273678,0.0841,0.2594,0.3446,0.24771784232365146,0.28654970760233917
rps_doc_num_sentences,rps_doc_frac_chars_top_3gram,D4统计启发式,D4统计启发式,0.2588892883879409,2.071114307103527,-0.10214246203959768,0.42391650136606907,0.02243691268081512,0.322,0.4491,0.3716,0.21732365145228216,0.005847953216374269
ad_en,rps_doc_num_sentences,D2语言规范,D4统计启发式,0.25778574698479556,2.0622859758783645,-0.06126976209948021,0.15323365395411506,0.06857776369971492,0.5418,0.0656,0.1852,0.4392116182572614,0.3508771929824561
rps_doc_frac_chars_top_3gram,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.25542038589691185,2.043363087175295,-0.05457617525011929,0.41657621916987914,0.02190898532361947,0.3225,0.4432,0.3582,0.21970954356846473,0.005847953216374269
rps_doc_word_count,rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,D4统计启发式,0.2548629845037792,2.0389038760302336,0.09797388664254038,0.5623152064074254,0.41922711434906557,0.054,0.259,0.0846,0.18267634854771783,0.2222222222222222
ad_en,rps_doc_word_count,D2语言规范,D4统计启发式,0.25455094731011707,2.0364075784809366,-0.10629890635768195,0.1886999887720349,0.06968641114982578,0.5283,0.0669,0.2495,0.43900414937759336,0.23976608187134502
modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,D1语义价值,D4统计启发式,0.25144744849762835,2.0115795879810268,-0.5224084152900227,0.38339290392604514,0.4187519797275895,0.6262,0.0723,0.0063,0.05435684647302905,0.19883040935672514
rps_doc_word_count,rps_doc_frac_no_alph_words,D4统计启发式,D4统计启发式,0.2504062652431088,2.0032501219448706,0.05113997825532815,0.5567526853549908,0.42044134727061555,0.0392,0.3993,0.2274,0.016182572614107885,0.0935672514619883
rps_lines_uppercase_letter_fraction,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.24934285403927745,1.9947428323142196,0.07741215794524832,0.11811819304614693,0.0653046140851019,0.0029,0.2119,0.5194,0.0032157676348547716,0.8245614035087719
rps_doc_frac_chars_top_2gram,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.24896410672664732,1.9917128538131785,-0.04499046962318912,0.35540720086829597,0.019955654101995565,0.3544,0.3573,0.4533,0.20238589211618258,0.0
ad_en,rps_doc_mean_word_length,D2语言规范,D4统计启发式,0.24848001508873177,1.9878401207098542,0.0527622758821391,0.12838242449193457,0.0692112765283497,0.5411,0.0614,0.1498,0.43858921161825726,0.3508771929824561
rps_doc_num_sentences,rps_doc_frac_chars_top_2gram,D4统计启发式,D4统计启发式,0.2471211901434416,1.9769695211475329,-0.0089958152474378,0.3801180807664957,0.01853025023756731,0.3536,0.3558,0.4218,0.2,0.0
rps_doc_num_sentences,rps_doc_frac_no_alph_words,D4统计启发式,D4统计启发式,0.24649354770348517,1.9719483816278813,0.022526565202166855,0.6517599835323178,0.4203357617991764,0.0106,0.4007,0.1911,0.015871369294605808,0.03508771929824561
rps_doc_num_sentences,rps_lines_uppercase_letter_fraction,D4统计启发式,D4统计启发式,0.24348586144521217,1.9478868915616974,0.13037849481073,0.09384707511508664,0.06414317389927146,0.0029,0.2087,0.5061,0.004149377593360996,0.8245614035087719
rps_doc_frac_unique_words,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.24299576100076753,1.9439660880061402,0.11364850231049203,0.26098001422208916,0.3827473339668462,0.0459,0.0921,0.0834,0.04636929460580913,0.7894736842105263
rps_doc_num_sentences,rps_doc_frac_unique_words,D4统计启发式,D4统计启发式,0.2395359798890807,1.9162878391126457,0.1599107135298272,0.27114600097309033,0.38216661387393097,0.0454,0.0831,0.0592,0.046265560165975106,0.7894736842105263
modernbert_professionalism,rps_doc_num_sentences,D1语义价值,D4统计启发式,0.23927424988350643,1.9141939990680514,0.0969909652812891,0.025272278154122533,0.0010558547143912998,0.626,0.0049,0.3772,0.35394190871369297,0.28654970760233917
fluency_en,rps_doc_num_sentences,D2语言规范,D4统计启发式,0.23750884291306062,1.900070743304485,0.1483682207440936,0.4859463303267338,0.013198183929891248,0.1393,0.2096,0.316,0.15933609958506223,0.3391812865497076
rps_doc_num_sentences,rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,D4统计启发式,0.23493574428141964,1.8794859542513571,0.11905056996631402,0.6583189864890153,0.41927990708478513,0.0002,0.2568,0.0717,0.17977178423236514,0.05847953216374269
qurater,rps_doc_num_sentences,D1语义价值,D4统计启发式,0.23202910905698765,1.8562328724559012,0.17744259328898523,0.3403009094651746,0.010083412522436913,0.2956,0.2428,0.3296,0.20114107883817428,0.2046783625730994
fineweb_edu,rps_doc_mean_word_length,D1语义价值,D4统计启发式,0.22996928731542754,1.8397542985234203,0.19335791982281605,0.17691530371645645,0.019005384859043396,0.4771,0.0999,0.3996,0.26182572614107885,0.17543859649122806
