,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,,0.018291177872960473,0.02403144418255974,0.03456491054394119,0.06022765242635237,0.046136737495858775,0.04225833745533894,0.08778064086277766,0.07231273979530153,0.07090235880324001,0.0565598153527053,0.20031100963596765,0.22983749440314274,0.05314907713889231,0.15143962223352228,0.13213556085082281,0.1043084737601487,0.1445474887457243,0.1418255552689752,0.15674898767627618,0.16755652202529067,0.22996928731542754
qurater,0.018291177872960473,,0.016646342983050805,0.039681804909936655,0.01536854022220066,0.01566627026386647,0.015754957120322974,0.0985885809419437,0.0694725261897078,0.06730606222954584,0.04704580616363155,0.2136141991220363,0.23202910905698765,0.04389961955755003,0.1502307062500496,0.1024650557365155,0.0834554574380423,0.11158946856172663,0.10857107875264475,0.12987718780206914,0.1537908179568367,0.22263042492945706
modernbert_reasoning,0.02403144418255974,0.016646342983050805,,0.021606847240912126,0.08228092926139903,0.037887610827839646,0.027693044012002798,0.1112301715119539,0.0397889686405201,0.03907836317879913,0.01845778107919313,0.1967422144302091,0.22463143314530748,0.006951114828505687,0.1775831663585752,0.1517877852904196,0.05953212506159851,0.11444455368867386,0.14213688505297603,0.14381503594492512,0.17413984060195078,0.21848165657360716
modernbert_professionalism,0.03456491054394119,0.039681804909936655,0.021606847240912126,,0.11741143668204385,0.09647826089476781,0.0956407569926915,0.08098546444084115,0.14697255841445805,0.1440426273907114,0.11978611990680392,0.2220638225044843,0.23927424988350643,0.06947148269678442,0.17499935492170657,0.21322197793957887,0.08818166760873015,0.1249752746191721,0.13502585175553197,0.25144744849762835,0.16405735377095634,0.27883933316939935
fluency_en,0.06022765242635237,0.01536854022220066,0.08228092926139903,0.11741143668204385,,0.03295284447748386,0.016028390754827614,0.07911139924038733,0.07500679110760489,0.07374984637569064,0.06485860010018886,0.2104563314162827,0.23750884291306062,0.0914396054514872,0.11980450202854555,0.06780822767780147,0.1292829989777297,0.13564859018504416,0.07123487698870258,0.08998497969177885,0.12185782479016166,0.216385641699522
modernbert_readability,0.046136737495858775,0.01566627026386647,0.037887610827839646,0.09647826089476781,0.03295284447748386,,0.015056635526640152,0.1266615450075965,0.02281778630439409,0.020685485699615314,0.01681511015794071,0.20486907236392846,0.229629074412233,0.026904986634576713,0.12453152396121904,0.06572245642071137,0.08875417479279064,0.12938658989780247,0.12018275244853197,0.09047427750492133,0.17888183728961754,0.1992612102446783
modernbert_cleanliness,0.04225833745533894,0.015754957120322974,0.027693044012002798,0.0956407569926915,0.016028390754827614,0.015056635526640152,,0.08442717177236553,0.05961247712742416,0.05843010482455154,0.03867302464171588,0.1852719897674953,0.22516788885196273,0.042078870953457755,0.11653172767771786,0.10601443198507783,0.09106300200433418,0.12078001377595196,0.07840491299072427,0.10677278060332905,0.15588255422598776,0.19896119359095732
ad_en,0.08778064086277766,0.0985885809419437,0.1112301715119539,0.08098546444084115,0.07911139924038733,0.1266615450075965,0.08442717177236553,,0.16258561809293645,0.16032805010963827,0.14378694824757163,0.25455094731011707,0.25778574698479556,0.1463658867331734,0.14758774084694148,0.19058790040847093,0.1429505863183962,0.12828508911488903,0.16580334892086218,0.18188697098185705,0.1482272377061535,0.24848001508873177
dsir_books,0.07231273979530153,0.0694725261897078,0.0397889686405201,0.14697255841445805,0.07500679110760489,0.02281778630439409,0.05961247712742416,0.16258561809293645,,0.0,0.0,0.22123095593268385,0.22496712290070542,0.017257539126664983,0.16478490086179826,0.020891080039553128,0.06586881527119261,0.0888943323595372,0.14955998308042595,0.025954172501081098,0.13880601611862697,0.19295792434632061
dsir_wiki,0.07090235880324001,0.06730606222954584,0.03907836317879913,0.1440426273907114,0.07374984637569064,0.020685485699615314,0.05843010482455154,0.16032805010963827,0.0,,0.0,0.22157407034042242,0.2251637793228333,0.016523787476647456,0.1656331651109793,0.021127474886713658,0.06550584090199675,0.08851852001386738,0.1499839990935453,0.027445476211054386,0.1420870437588856,0.192973354625973
dsir_math,0.0565598153527053,0.04704580616363155,0.01845778107919313,0.11978611990680392,0.06485860010018886,0.01681511015794071,0.03867302464171588,0.14378694824757163,0.0,0.0,,0.21721918542201146,0.22367085884879592,0.0049445083276567145,0.18164256744190246,0.031068303945226482,0.05707884362454779,0.09551239369054622,0.14958589788877438,0.039453899343646646,0.15448080039683898,0.19303873529353371
rps_doc_word_count,0.20031100963596765,0.2136141991220363,0.1967422144302091,0.2220638225044843,0.2104563314162827,0.20486907236392846,0.1852719897674953,0.25455094731011707,0.22123095593268385,0.22157407034042242,0.21721918542201146,,0.10242772467978936,0.21215113560339877,0.19737412456711967,0.2504062652431088,0.27514014847617346,0.3233391295375537,0.19457503069630358,0.2548629845037792,0.26308529945170717,0.1364201662104867
rps_doc_num_sentences,0.22983749440314274,0.23202910905698765,0.22463143314530748,0.23927424988350643,0.23750884291306062,0.229629074412233,0.22516788885196273,0.25778574698479556,0.22496712290070542,0.2251637793228333,0.22367085884879592,0.10242772467978936,,0.22247176005917538,0.2395359798890807,0.24649354770348517,0.2471211901434416,0.2588892883879409,0.24348586144521217,0.23493574428141964,0.2598743473631782,0.07470311235650179
rps_doc_unigram_entropy,0.05314907713889231,0.04389961955755003,0.006951114828505687,0.06947148269678442,0.0914396054514872,0.026904986634576713,0.042078870953457755,0.1463658867331734,0.017257539126664983,0.016523787476647456,0.0049445083276567145,0.21215113560339877,0.22247176005917538,,0.17944157577905695,0.10890603041080422,0.0528831427745366,0.1177045402079216,0.17955793391257824,0.10855138733855327,0.19191309031176546,0.21164841301316104
rps_doc_frac_unique_words,0.15143962223352228,0.1502307062500496,0.1775831663585752,0.17499935492170657,0.11980450202854555,0.12453152396121904,0.11653172767771786,0.14758774084694148,0.16478490086179826,0.1656331651109793,0.18164256744190246,0.19737412456711967,0.2395359798890807,0.17944157577905695,,0.07823984802556604,0.15304376286798652,0.12669741428385264,0.05347078803544963,0.1222721123659737,0.12714796236539183,0.24299576100076753
rps_doc_frac_no_alph_words,0.13213556085082281,0.1024650557365155,0.1517877852904196,0.21322197793957887,0.06780822767780147,0.06572245642071137,0.10601443198507783,0.19058790040847093,0.020891080039553128,0.021127474886713658,0.031068303945226482,0.2504062652431088,0.24649354770348517,0.10890603041080422,0.07823984802556604,,0.13266218215567066,0.11288570310421833,0.0752239865892608,0.021693109720162206,0.06482559577452349,0.22096275575474889
rps_doc_frac_chars_top_2gram,0.1043084737601487,0.0834554574380423,0.05953212506159851,0.08818166760873015,0.1292829989777297,0.08875417479279064,0.09106300200433418,0.1429505863183962,0.06586881527119261,0.06550584090199675,0.05707884362454779,0.27514014847617346,0.2471211901434416,0.0528831427745366,0.15304376286798652,0.13266218215567066,,0.05834568460239291,0.17603897179245906,0.11308024622608882,0.14526885977600243,0.24896410672664732
rps_doc_frac_chars_top_3gram,0.1445474887457243,0.11158946856172663,0.11444455368867386,0.1249752746191721,0.13564859018504416,0.12938658989780247,0.12078001377595196,0.12828508911488903,0.0888943323595372,0.08851852001386738,0.09551239369054622,0.3233391295375537,0.2588892883879409,0.1177045402079216,0.12669741428385264,0.11288570310421833,0.05834568460239291,,0.17882213560044172,0.10504864134761407,0.12186607808868757,0.25542038589691185
rps_lines_uppercase_letter_fraction,0.1418255552689752,0.10857107875264475,0.14213688505297603,0.13502585175553197,0.07123487698870258,0.12018275244853197,0.07840491299072427,0.16580334892086218,0.14955998308042595,0.1499839990935453,0.14958589788877438,0.19457503069630358,0.24348586144521217,0.17955793391257824,0.05347078803544963,0.0752239865892608,0.17603897179245906,0.17882213560044172,,0.11694395026409728,0.09822035527168392,0.24934285403927745
rps_lines_ending_with_terminal_punctution_mark,0.15674898767627618,0.12987718780206914,0.14381503594492512,0.25144744849762835,0.08998497969177885,0.09047427750492133,0.10677278060332905,0.18188697098185705,0.025954172501081098,0.027445476211054386,0.039453899343646646,0.2548629845037792,0.23493574428141964,0.10855138733855327,0.1222721123659737,0.021693109720162206,0.11308024622608882,0.10504864134761407,0.11694395026409728,,0.08587241303567468,0.20629661480287748
rps_lines_numerical_chars_fraction,0.167556522025293,0.15379081795683824,0.17413984060195137,0.16405735377095568,0.12185782479016004,0.1788818372896105,0.155882554225989,0.14822723770615132,0.1388060161186271,0.14208704375888673,0.15448080039683143,0.2630852994516998,0.2598743473631696,0.19191309031177228,0.12714796236539114,0.06482559577452152,0.1452688597759976,0.12186607808868567,0.09822035527168421,0.08587241303567357,,0.26911534258128084
rps_doc_mean_word_length,0.2299692873154072,0.22263042492944884,0.21848165657360075,0.2788393331693689,0.21638564169952265,0.19926121024467186,0.1989611935909824,0.24848001508871598,0.19295792434632114,0.19297335462597326,0.19303873529354507,0.13642016621048478,0.07470311235649968,0.21164841301314805,0.2429957610007584,0.22096275575474683,0.24896410672664226,0.2554203858969118,0.24934285403926687,0.20629661480287623,0.26911534258128084,
