,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,1.0,0.2999005639106387,0.4633141895615757,0.3344095536666876,0.22733825455233359,0.2990405087415326,0.09245928088858603,-0.05361867330680844,0.3266714539665435,0.3255816018032757,0.34169385626719206,0.552815367971194,0.32430700873620594,0.5003333181058636,0.10029497692633352,-0.22085237746609226,-0.14348526176765972,-0.24725062346149704,0.1878928748903426,-0.07786195954324228,-0.20746868456260373,0.19774635335194304
qurater,0.29990056391063863,1.0,0.5173315690230028,0.2735025888480904,0.3165411843898313,0.5718977703115172,0.6100627613132631,0.06985894960192231,0.45641904515834814,0.4575608252937236,0.45655301420359234,0.21583571237369073,0.10366445964747935,0.2044780213462035,0.007363911727252664,0.11366848844342635,-0.007545261283544863,-0.06911560232607328,-0.15471062682762823,0.18528716178946847,0.11323823050645758,0.1811374141614427
modernbert_reasoning,0.46331418956157566,0.5173315690230029,1.0,0.5687027124889226,0.27522896865163343,0.29917679727645186,0.2713549518908253,-0.05059877522089273,0.5185912914602034,0.5192362184840464,0.5428779427476275,0.5210804521975166,0.29373278536856684,0.639412896713427,0.0868348137591045,-0.19508169819610977,0.006341005744596534,-0.1538155616256567,0.12045857738792899,-0.07860233533845122,-0.16837571176945557,0.2185492813300509
modernbert_professionalism,0.3344095536666876,0.2735025888480904,0.5687027124889226,0.9999999999999999,0.23767303188049654,0.12941043843072014,0.0058625921406644885,-0.11793986355380807,0.30678509422814193,0.30793385941528045,0.33739503773520174,0.5965544045848223,0.26945362389082894,0.683470623832417,-0.04717169354930721,-0.15269227011853612,-0.06372213690197125,-0.2472212180290546,0.1989824002869372,-0.24722001290165255,-0.07168990569077481,-0.12975722828990482
fluency_en,0.2273382545523336,0.3165411843898313,0.27522896865163343,0.23767303188049657,1.0,0.2133482003327334,0.2460758461842497,0.37789612586524757,0.18168495153160083,0.1811744416629684,0.20711615818956353,0.1835059364806433,0.027999587489271817,0.09887302473401384,-0.1544018824007469,-0.06326720371541131,-0.12181297486675804,-0.14014754973885188,0.03435799851186316,-0.07846160173860153,0.13706328711780497,0.10842185657572964
modernbert_readability,0.29904050874153265,0.5718977703115173,0.2991767972764518,0.12941043843072014,0.2133482003327334,1.0,0.6249327799625086,-0.011175379849376239,0.5129311510508163,0.5104379758340487,0.5085979695130005,0.2941920962490019,0.1871220962736907,0.2244116354899296,0.035855016005574496,0.12813963585328053,-0.14869783599522646,-0.17336105719474462,-0.1442105148258567,0.21175686191128804,0.03152907938329132,0.2993205901338088
modernbert_cleanliness,0.09245928088858603,0.6100627613132631,0.2713549518908253,0.0058625921406644885,0.2460758461842497,0.6249327799625086,1.0,0.1277959287239338,0.42151490936922004,0.4214068662820114,0.41215299046572634,-0.001724513068786268,-0.0009222239500717135,-0.027447029516265438,0.055776531553303844,0.22279486293485412,-0.014349928215173093,0.02532437305431789,-0.2808805925242767,0.313504518951769,0.1612060667807019,0.2360904869309373
ad_en,-0.053618673306808445,0.06985894960192231,-0.05059877522089274,-0.11793986355380807,0.37789612586524757,-0.011175379849376237,0.1277959287239338,0.9999999999999999,-0.08283923917868569,-0.08099140048214093,-0.07574702869892458,-0.24570951908611932,-0.09368273070826998,-0.2975123126275802,-0.13982503708572083,-0.031226487658651342,4.819648060789158e-05,0.07317446282657092,-0.06926414893973872,-0.02214244945229662,0.07055847547314822,0.07188243193818472
dsir_books,0.3266714539665435,0.45641904515834814,0.5185912914602034,0.30678509422814193,0.18168495153160083,0.5129311510508162,0.42151490936922004,-0.08283923917868569,0.9999999999999999,0.9993923666013118,0.9962967276469836,0.40971952365924824,0.1160005081081017,0.5593146621567716,0.11258885937107117,0.04449978430095594,0.0014501332605664878,-0.10143233272027105,-0.05998027646431006,0.16690466547412136,-0.08556237239157162,0.5605119834822009
dsir_wiki,0.3255816018032758,0.4575608252937236,0.5192362184840464,0.30793385941528045,0.1811744416629684,0.5104379758340488,0.42140686628201135,-0.08099140048214094,0.9993923666013118,0.9999999999999999,0.9958275207392403,0.40834121810240426,0.1149772393859842,0.5580261410865777,0.11239453747295364,0.047903903643707224,0.002548722814251149,-0.10072134876528074,-0.06634391731763001,0.17053386820208416,-0.08882760014771161,0.5580836636930205
dsir_math,0.3416938562671921,0.4565530142035923,0.5428779427476276,0.33739503773520174,0.2071161581895635,0.5085979695130004,0.41215299046572634,-0.07574702869892459,0.9962967276469836,0.9958275207392404,1.0,0.42922985343111325,0.12531214160389134,0.5811184078842745,0.10843170175938208,0.017092568283597058,-0.0014397043248988277,-0.1078711806445708,-0.04329095558403201,0.14611993260298417,-0.09809961472443288,0.5579612206379801
