,1M(train),1M(train+test),60M(test),1B(test),10B(est),70B(est)
arxiv,0.04009880876415739,0.040274692783196286,0.03338333220333567,0.016437719440027365,-0.0027239275929946682,-0.005722042820817563
freelaw,0.039414952048003826,0.037518972197457146,0.0371876149887016,0.033835324372998965,0.0046549599619114534,0.001245161325517774
nih_exporter,0.07543677908488977,0.08518985332745288,0.06965414447841711,0.058405818580414604,-0.060566876078981924,-0.05655574396615903
pubmed_central,0.02942784271628618,0.02648117500110203,0.010081461573677952,0.029939908811897453,0.004813869064919318,0.0010676892471273014
wikipedia_en,0.019750117069237128,0.01646097421321535,0.004876028691053413,0.008046814513367417,-0.012928090957112781,-0.013750926598248947
dm_mathematics,0.009453645868009453,0.016078804722165607,0.049980900263445704,0.0381848150853803,0.030538963084597137,0.031191987987325476
github,0.03794338260990848,0.037358221064011765,0.024209205252092136,0.009528677094793103,0.0035059890169730767,0.0021268346749299116
philpapers,-0.040923370888561905,-0.03159785004574456,-0.00018785786091601864,-0.010961857557938215,-0.1440904299287038,-0.1370224926514061
stackexchange,-2.1692769625047958e-07,0.0015790647590510076,-0.002672138416146108,0.012702208188758668,-0.010152995013090083,-0.007795105697129712
enron_emails,0.03326392357168917,-0.051409193760830085,-0.181613966081148,-0.40451425532379304,-0.33459524477828895,-0.28040495771178
gutenberg_pg_19,0.032761254425878406,0.030210628727258992,0.015323035675527397,0.004002348774986952,0.018384706604887446,0.013770001987178704
pile_cc,-0.0006686388656191866,0.0006083007376931349,0.0014408903397096218,0.011544352060040897,0.014094089275755728,0.012289165475084074
ubuntu_irc,0.009489335632669516,-0.0037910170010571065,-0.024242880847153536,0.006166417001252089,0.030950911735793563,0.03519702236683586
europarl,0.027211960136551028,0.026666012025557073,0.017169235564296947,0.023609122539411942,0.02064276019521305,0.01409133661950901
hackernews,-0.03721842860839253,-0.029914166497904127,-0.026541802732075404,-0.051598461306795684,0.05449939139048854,0.047533199885282595
pubmed_abstracts,0.012572479547961812,0.014148746412289803,0.013736781504592788,0.003954156879468096,0.02331173189720115,0.02013711469842505
uspto_backgrounds,0.026894022879759838,0.025524026383936693,0.016038408501001022,0.015555822115204787,0.009244842641380036,0.006029277309357539
