scale_a,scale_b,spearman,sign_agreement
1M(train),1M(train+test),0.9926470588235295,1.0
1M(train),60M(test),0.9705882352941178,1.0
1M(train),1B(test),0.6740196078431374,0.8823529411764706
1M(train),10B(est),-0.04901960784313726,0.4117647058823529
1M(train),70B(est),-0.09803921568627452,0.23529411764705882
1M(train+test),60M(test),0.982843137254902,1.0
1M(train+test),1B(test),0.661764705882353,0.8823529411764706
1M(train+test),10B(est),-0.009803921568627453,0.4117647058823529
1M(train+test),70B(est),-0.06127450980392158,0.23529411764705882
60M(test),1B(test),0.6813725490196079,0.8823529411764706
60M(test),10B(est),-0.08333333333333334,0.4117647058823529
60M(test),70B(est),-0.12745098039215688,0.23529411764705882
1B(test),10B(est),-0.22794117647058826,0.4117647058823529
1B(test),70B(est),-0.28186274509803927,0.23529411764705882
10B(est),70B(est),0.9730392156862747,0.8235294117647058
