set,A2,A3
domain,arxiv,github
z_fineweb_edu,0.6087497611548278,0.30629927370329374
z_qurater,0.8058191991677082,0.2847700309410925
z_modernbert_reasoning,0.9933549795547819,0.22980533072858014
z_modernbert_professionalism,0.9964790576015271,0.7872614913498076
z_fluency_en,0.9709857506063235,0.5228748495551458
z_modernbert_readability,0.9338799119539984,0.47395589238521546
z_modernbert_cleanliness,0.9905298752796332,0.2636840390449489
z_ad_en,0.9595982234498187,0.9182626779281841
z_dsir_books,0.9090766889550346,0.6422973626075645
z_dsir_wiki,0.909917805794311,0.640959123849134
z_dsir_math,0.9424646946797556,0.644388781112301
z_rps_doc_word_count,0.9994896782298093,0.882261568423081
z_rps_doc_num_sentences,0.9991976389481988,0.9190268583616893
z_rps_doc_unigram_entropy,0.8769382409136965,0.4558046939010469
z_rps_doc_frac_unique_words,0.6249882343162124,0.6400421186768265
z_rps_doc_frac_no_alph_words,0.6780297185133691,0.5427055868403498
z_rps_doc_frac_chars_top_2gram,0.9419414744467545,0.8173549216694806
z_rps_doc_frac_chars_top_3gram,0.9546345461383733,0.848380554889237
z_rps_lines_uppercase_letter_fraction,0.6786120426348439,0.604020729821363
z_rps_lines_ending_with_terminal_punctution_mark,0.4661525178026044,0.3259666659753162
z_rps_lines_numerical_chars_fraction,0.7502812892692551,0.9081747377590645
z_rps_doc_mean_word_length,0.9994450977067719,0.888401860122699
D_D1语义价值,0.7469181740989621,0.2530973219305689
D_D2语言规范,0.7465762920317576,0.2534392069534147
D_D3参考域相似,0.7301980162313088,0.26994617649812064
D_D4统计启发式,0.6921013647231898,0.3079141655086094
Dz_D1语义价值,0.8545219842126481,0.35426094615806236
Dz_D2语言规范,0.9658512367323085,0.46703211428673747
Dz_D3参考域相似,0.9208148461018015,0.6425568163207224
Dz_D4统计启发式,0.8036090633322939,0.691624815768914
