,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,1.0,0.7265236436518424,0.7106047698488035,0.5015804803558157,0.5770214354810591,0.6472723615971477,0.6664952436823989,0.08039784620752338,0.6097690821938065,0.6114977378133664,0.6276367437062107,0.4643163879492777,0.29647097318919186,0.6826585207017013,0.0026552355760426725,0.23233762595075946,0.24273751187226006,0.18440653924654152,0.17090391707224664,0.23789258685864187,-0.326028836674568,0.29966612166450657
qurater,0.7265236436518424,1.0,0.8919318055173818,0.5298863120731566,0.7321151258495671,0.8308304988032703,0.9016585490659782,0.13823841071236515,0.7296366396712543,0.7322721879240996,0.773608195547029,0.34816008154752615,0.22011349068617617,0.776139639756272,-0.04330007960621431,0.33950535786791913,0.35122079664018935,0.2955831291355845,0.11637262975098729,0.36338737757106876,-0.35457717353827634,0.3591172704918472
modernbert_reasoning,0.7106047698488035,0.8919318055173819,1.0,0.6177310631596222,0.7095202358291496,0.7706115394387169,0.8897551636779917,0.11962212121638098,0.7487056915317458,0.7513864501017667,0.8032876972676132,0.4276829914386173,0.28059883575846595,0.8936494470731794,-0.027318306477792827,0.2460383347394701,0.3944589652988951,0.3202120628549025,0.2145104005815549,0.2920825318563007,-0.400792936511012,0.3764533932151418
modernbert_professionalism,0.5015804803558157,0.5298863120731566,0.6177310631596222,1.0,0.5088435420863395,0.4942769500643181,0.49402950339406226,0.12136203652525566,0.47261761988522305,0.4743938903681517,0.5130193025391645,0.6071421878437021,0.344029023598503,0.6921345519822917,-0.0348358416867546,0.05097060439790583,0.20108272048449166,0.10793002854812517,0.24962417433089346,0.02494291147066574,-0.1611204884313804,0.11662964642522017
fluency_en,0.5770214354810591,0.7321151258495671,0.7095202358291496,0.5088435420863395,1.0,0.6501261542011515,0.7179156483794116,0.2538084931405809,0.5829178714507351,0.5849218304951401,0.6308519013131056,0.3473015090110567,0.1669575326478067,0.6174020585387857,-0.10793542808256487,0.1894510576048925,0.2242513945555501,0.18130463930252666,0.15949940896012227,0.20038342118222302,-0.2451027516206452,0.3304959765025824
modernbert_readability,0.6472723615971477,0.8308304988032703,0.7706115394387169,0.4942769500643181,0.6501261542011513,1.0,0.8557407698948564,0.07963154182309656,0.7636939486627616,0.7646963825161829,0.7933063033841398,0.4525172134284034,0.28190916138002414,0.7259900548844375,-0.008871828297085155,0.3416622723501648,0.2643318486423837,0.2067662639118729,0.06792459533708257,0.354667694635461,-0.32417578353585663,0.4247560901789934
modernbert_cleanliness,0.6664952436823989,0.9016585490659782,0.8897551636779919,0.4940295033940624,0.7179156483794116,0.8557407698948564,0.9999999999999998,0.1324227652292276,0.7333627843485795,0.7360569024677046,0.7810434679808942,0.3252427879302394,0.2118800267307773,0.7679077322614307,-0.02040020394917544,0.3345579143099147,0.34485133864340456,0.3036715792946633,0.11708979547121524,0.36904792842890277,-0.3663156011809719,0.3831372902890173
ad_en,0.08039784620752338,0.13823841071236512,0.11962212121638095,0.12136203652525566,0.2538084931405808,0.07963154182309656,0.13242276522922758,1.0,0.04138730110242904,0.042903049231826786,0.06645321597163759,-0.024602998721223783,-0.013290884763232856,0.03371336278194827,-0.08102805998018608,-0.031514209005824856,0.017436272332653484,0.02767666426434644,0.0773628446548476,-0.05627347557817574,-0.03861501834690166,0.05806803867028019
dsir_books,0.6097690821938065,0.7296366396712543,0.7487056915317459,0.47261761988522305,0.5829178714507351,0.7636939486627616,0.7333627843485795,0.041387301102429046,1.0,0.9997679570925384,0.9904104420391866,0.4628678128250251,0.21119900215260393,0.751088572662965,0.009726607768627795,0.34866129986033956,0.3025956444171083,0.24189483531149894,0.030045746861733044,0.3388740137954297,-0.25472067694242606,0.640284491305863
dsir_wiki,0.6114977378133665,0.7322721879240996,0.7513864501017667,0.4743938903681517,0.58492183049514,0.7646963825161829,0.7360569024677047,0.042903049231826786,0.9997679570925384,1.0000000000000002,0.9906362859181221,0.46199117337083484,0.21125327089646617,0.7524339969046856,0.010040879499211832,0.3504906774436057,0.3034098406347994,0.24272331046228535,0.028508467116646563,0.3405552510631113,-0.2590805290522865,0.6384061880304702
dsir_math,0.6276367437062107,0.773608195547029,0.8032876972676132,0.5130193025391645,0.6308519013131056,0.7933063033841398,0.7810434679808942,0.06645321597163759,0.9904104420391866,0.9906362859181224,1.0,0.480820199667201,0.22175259146843213,0.8000076471816284,0.0063014458502454644,0.30588243067745513,0.3226403456014982,0.25789908744059314,0.07416084132372731,0.31896167757718347,-0.29019038144743137,0.6437239320272391
rps_doc_word_count,0.4643163879492777,0.34816008154752626,0.4276829914386173,0.6071421878437021,0.3473015090110567,0.45251721342840334,0.3252427879302394,-0.02460299872122379,0.4628678128250251,0.46199117337083484,0.480820199667201,1.0000000000000002,0.5054883669599449,0.6494247951773132,0.11161389185559885,-0.1005374541493035,0.0030156115903265668,-0.09379453559122042,0.2998154484999809,-0.041979753609906786,-0.16288060674961524,0.24715771194467057
rps_doc_num_sentences,0.29647097318919186,0.22011349068617617,0.28059883575846595,0.344029023598503,0.1669575326478067,0.28190916138002414,0.2118800267307773,-0.013290884763232853,0.21119900215260393,0.21125327089646617,0.22175259146843213,0.5054883669599449,1.0,0.3980420306761181,0.11451622753788547,-0.0659173898690257,0.14600712066785676,0.05882930820938712,0.2080069458603131,0.005600939831431756,-0.13038325514899146,0.08600934982251435
rps_doc_unigram_entropy,0.6826585207017013,0.7761396397562721,0.8936494470731794,0.6921345519822916,0.6174020585387857,0.7259900548844375,0.7679077322614307,0.03371336278194828,0.751088572662965,0.7524339969046856,0.8000076471816284,0.6494247951773132,0.3980420306761181,1.0,0.12151176031529576,0.13531288424134036,0.4021171146656866,0.2984121618143434,0.29317745676184914,0.19403998838497713,-0.40168683380874537,0.3648475236393202
rps_doc_frac_unique_words,0.0026552355760426755,-0.04330007960621432,-0.027318306477792827,-0.034835841686754604,-0.10793542808256486,-0.008871828297085153,-0.02040020394917545,-0.08102805998018608,0.009726607768627799,0.010040879499211829,0.006301445850245458,0.11161389185559885,0.11451622753788547,0.12151176031529574,0.9999999999999998,0.013832338852039258,0.22191464749989853,0.2346429596975556,0.005244001071156208,-0.030821533364109345,-0.0991455636977079,-0.02580601403306304
rps_doc_frac_no_alph_words,0.23233762595075944,0.33950535786791913,0.2460383347394701,0.05097060439790583,0.1894510576048925,0.3416622723501648,0.3345579143099147,-0.03151420900582487,0.3486612998603395,0.3504906774436057,0.30588243067745513,-0.10053745414930351,-0.0659173898690257,0.13531288424134036,0.013832338852039269,1.0,0.1445168158119527,0.16662493670219336,-0.31411727337884005,0.4265522977198652,0.10295599271538595,-0.0652031137463779
rps_doc_frac_chars_top_2gram,0.24273751187226006,0.35122079664018935,0.3944589652988951,0.20108272048449166,0.2242513945555501,0.26433184864238374,0.3448513386434046,0.017436272332653487,0.3025956444171083,0.3034098406347994,0.3226403456014982,0.00301561159032657,0.14600712066785673,0.4021171146656865,0.22191464749989853,0.1445168158119527,1.0,0.6200940311746352,0.04823238992214956,0.14079217505745123,-0.15573179344479177,0.10146346657594407
rps_doc_frac_chars_top_3gram,0.18440653924654152,0.29558312913558454,0.32021206285490245,0.10793002854812518,0.18130463930252666,0.2067662639118729,0.3036715792946633,0.02767666426434644,0.24189483531149894,0.24272331046228535,0.25789908744059314,-0.09379453559122042,0.05882930820938711,0.2984121618143434,0.2346429596975556,0.16662493670219336,0.6200940311746354,1.0000000000000002,0.006090051035066516,0.15910644379874653,-0.12099188267807665,0.07291907871324654
rps_lines_uppercase_letter_fraction,0.17090391707224664,0.11637262975098729,0.2145104005815549,0.24962417433089348,0.1594994089601223,0.0679245953370826,0.11708979547121524,0.0773628446548476,0.030045746861733044,0.028508467116646563,0.07416084132372731,0.2998154484999808,0.20800694586031304,0.2931774567618491,0.005244001071156208,-0.31411727337884005,0.04823238992214956,0.006090051035066513,0.9999999999999999,-0.6356444000330029,-0.10432279284650892,0.06273207853683135
rps_lines_ending_with_terminal_punctution_mark,0.23789258685864187,0.36338737757106876,0.29208253185630073,0.02494291147066573,0.20038342118222302,0.354667694635461,0.3690479284289027,-0.05627347557817574,0.3388740137954297,0.34055525106311124,0.31896167757718336,-0.041979753609906766,0.005600939831431759,0.19403998838497713,-0.030821533364109345,0.4265522977198652,0.14079217505745117,0.15910644379874653,-0.635644400033003,1.0000000000000002,-0.07742820766972032,0.10578741160809549
rps_lines_numerical_chars_fraction,-0.326028836674568,-0.35457717353827634,-0.40079293651101205,-0.1611204884313804,-0.24510275162064524,-0.3241757835358567,-0.3663156011809719,-0.038615018346901654,-0.25472067694242606,-0.2590805290522865,-0.2901903814474314,-0.16288060674961524,-0.13038325514899146,-0.4016868338087454,-0.09914556369770791,0.10295599271538593,-0.15573179344479177,-0.12099188267807666,-0.10432279284650892,-0.07742820766972032,1.0,-0.15220937646941407
rps_doc_mean_word_length,0.2996661216645065,0.3591172704918472,0.3764533932151418,0.1166296464252202,0.3304959765025824,0.42475609017899335,0.3831372902890173,0.05806803867028019,0.640284491305863,0.6384061880304702,0.6437239320272391,0.24715771194467057,0.08600934982251435,0.3648475236393202,-0.02580601403306305,-0.0652031137463779,0.10146346657594407,0.07291907871324656,0.06273207853683135,0.10578741160809549,-0.15220937646941407,1.0
