,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,1.0,0.6359710396783465,0.6839921482179518,0.5858190397835151,0.581273756020699,0.6203397975908488,0.536643680129464,0.1533964675835469,0.6226607690681699,0.6233360318602627,0.6461143345844859,0.5501736955195002,0.3346348360007519,0.6832367374556869,0.03288150779953212,0.08302933516658739,0.019673152179076968,-0.13395071355507565,0.19485874544198079,0.17079216075885725,-0.4370175211412215,0.3661108199689034
qurater,0.6359710396783466,1.0,0.7859827645430381,0.6660942896791104,0.694879309364206,0.7934599793822057,0.824610590817603,0.28447367673670026,0.7180690245117032,0.7201247354510644,0.7476139175785191,0.35684107222869876,0.19666361721265435,0.6415984598665135,-0.04154139870757969,0.284347723585404,0.15681530456705167,0.010168079206878134,0.029879845123488694,0.3447616883786223,-0.3298680117975867,0.3789307889410686
modernbert_reasoning,0.6839921482179518,0.7859827645430381,1.0,0.8175740262289221,0.6701379255390804,0.668447423576917,0.6979387396093881,0.2362809126774878,0.7458609974955074,0.7472689530645608,0.7891969641893848,0.5458560844239604,0.31475710076224117,0.8400369005104339,-0.0047466570665096785,0.0939181902882008,0.15701487459874447,-0.05594522977743081,0.20182514002479685,0.1914844225852795,-0.46087371352423634,0.40351061317826
modernbert_professionalism,0.5858190397835151,0.6660942896791106,0.8175740262289222,0.9999999999999998,0.6279742779126787,0.5447321484594937,0.5670785384015161,0.21726035894768952,0.6159015009219296,0.6184901276119933,0.6731905863223301,0.5899486437145784,0.30131796019590973,0.8430072227493876,-0.0643811516691539,0.06892751667277544,0.1134163732461767,-0.12106211751489503,0.25845216286769745,0.06590913727722378,-0.4002417796357466,0.18527794218583132
fluency_en,0.581273756020699,0.694879309364206,0.6701379255390802,0.6279742779126787,1.0,0.612761548126469,0.6684789951267326,0.45692482128967465,0.5784496808859301,0.5801837361425549,0.6242832274516026,0.3306693472317757,0.14214661879507803,0.5756033212802597,-0.13277735925439357,0.1743043379187213,0.08136206836447551,-0.03740626387501882,0.1433407153792906,0.1812297432624603,-0.3012024988659349,0.32569650747702344
modernbert_readability,0.6203397975908487,0.7934599793822057,0.6684474235769169,0.5447321484594937,0.612761548126469,1.0,0.8149793487053439,0.19256151545759442,0.7499959931280933,0.750084551237476,0.7653580518236625,0.3969832682525803,0.249898268531048,0.6246216069364553,-0.0056959613138392534,0.31920056949848424,0.06144560403404896,-0.058856889761942734,-0.005338029956729234,0.38155069321056645,-0.3543338678846561,0.44959575192976486
modernbert_cleanliness,0.536643680129464,0.824610590817603,0.6979387396093881,0.5670785384015161,0.6684789951267326,0.8149793487053438,1.0,0.3400156112552741,0.6989812753417636,0.7006168442877262,0.7292497802234916,0.23066420669414658,0.13699825122449802,0.5539820422497597,-0.012826419065645467,0.3282647646108141,0.16788891373553802,0.07379172940703521,-0.017243070710782234,0.3943154468000928,-0.31563224987410954,0.4185373733360485
ad_en,0.1533964675835469,0.2844736767367003,0.2362809126774878,0.21726035894768952,0.45692482128967465,0.19256151545759445,0.3400156112552741,1.0,0.13408737135249252,0.13703891836116625,0.17534649731302876,-0.08803064078848394,-0.01674143811569334,0.09097909483006528,-0.13244703715031403,-0.012733841367494529,0.0962522281144289,0.09586049804985541,0.063805099885461,0.044953864498009796,-0.14196958734274823,0.16818921953536628
dsir_books,0.62266076906817,0.7180690245117032,0.7458609974955074,0.6159015009219296,0.5784496808859301,0.7499959931280934,0.6989812753417636,0.13408737135249252,0.9999999999999998,0.9997056412078035,0.9916600113010229,0.4701595745510882,0.20231036118197246,0.763645188324605,0.020199974242881374,0.31071951258661373,0.14084194627052896,-0.02041660034418198,0.037549641619800254,0.35694893761158125,-0.3845006943124537,0.5985020215197718
dsir_wiki,0.6233360318602627,0.7201247354510644,0.7472689530645608,0.6184901276119933,0.580183736142555,0.750084551237476,0.7006168442877263,0.13703891836116625,0.9997056412078035,0.9999999999999998,0.9918792834093498,0.4692416827129209,0.20157524788107317,0.7642649919374769,0.020106550477614945,0.3120646499088298,0.14192329823292651,-0.01978365506884965,0.03525119161386451,0.3586539684556947,-0.38833226731581194,0.5971999374659884
dsir_math,0.646114334584486,0.7476139175785191,0.7891969641893848,0.6731905863223301,0.6242832274516026,0.7653580518236626,0.7292497802234916,0.1753464973130288,0.991660011301023,0.9918792834093497,0.9999999999999998,0.4871668182247559,0.21263331828241866,0.8036584707211359,0.01076156875675615,0.2770442100099069,0.15261006753992534,-0.019220267942436687,0.07350968616942961,0.34038645324240885,-0.4193666316104493,0.6013277819631565
rps_doc_word_count,0.5501736955195001,0.3568410722286987,0.5458560844239605,0.5899486437145784,0.33066934723177577,0.3969832682525803,0.23066420669414658,-0.08803064078848394,0.47015957455108826,0.4692416827129209,0.4871668182247558,0.9999999999999999,0.45135887989641066,0.6927425872433504,0.11585067555304329,-0.12910576475120256,-0.24614566412288613,-0.433829002423568,0.27650522644395303,-0.08920140637654732,-0.3118595396300017,0.2125212707078813
rps_doc_num_sentences,0.3346348360007519,0.19666361721265435,0.3147571007622412,0.3013179601959098,0.14214661879507803,0.24989826853104802,0.13699825122449802,-0.01674143811569334,0.20231036118197246,0.20157524788107317,0.2126333182824187,0.4513588798964107,1.0,0.38363258099928155,0.14951814633241994,-0.10129748911845514,-0.0639147189339512,-0.15618868765550967,0.17916763198019153,-0.03148867134423979,-0.2289632588968946,0.057479149090511654
rps_doc_unigram_entropy,0.6832367374556869,0.6415984598665134,0.8400369005104339,0.8430072227493876,0.5756033212802597,0.6246216069364554,0.5539820422497597,0.09097909483006526,0.7636451883246049,0.7642649919374769,0.803658470721136,0.6927425872433502,0.3836325809992816,0.9999999999999998,0.17466987752632362,0.05823420810676692,0.16917608023928493,-0.0795920304693502,0.2870041089726266,0.12387386872144932,-0.5395490993437428,0.35440999237547816
rps_doc_frac_unique_words,0.03288150779953212,-0.04154139870757969,-0.0047466570665096785,-0.06438115166915391,-0.13277735925439357,-0.0056959613138392534,-0.012826419065645467,-0.13244703715031403,0.020199974242881374,0.02010655047761495,0.01076156875675615,0.1158506755530433,0.14951814633241994,0.17466987752632362,1.0,-0.0035403670236754557,0.20611696729331022,0.2245744814318543,-0.0035321865427294114,-0.00683555237697593,-0.1248168891635939,-0.051158418722471385
rps_doc_frac_no_alph_words,0.08302933516658739,0.284347723585404,0.09391819028820081,0.06892751667277544,0.1743043379187213,0.3192005694984843,0.32826476461081416,-0.01273384136749453,0.3107195125866138,0.31206464990882976,0.2770442100099069,-0.12910576475120253,-0.10129748911845514,0.05823420810676691,-0.0035403670236754557,0.9999999999999998,0.16859448112925637,0.1799791541484395,-0.33785836495677957,0.41959972335021545,0.08130480453803239,-0.08807081564586429
rps_doc_frac_chars_top_2gram,0.019673152179076964,0.15681530456705167,0.15701487459874447,0.1134163732461767,0.08136206836447551,0.06144560403404896,0.16788891373553802,0.0962522281144289,0.14084194627052896,0.14192329823292654,0.15261006753992534,-0.24614566412288613,-0.0639147189339512,0.16917608023928493,0.20611696729331025,0.16859448112925637,0.9999999999999998,0.5629697468064342,-0.04979446675702067,0.1695766129541949,-0.11749262412312493,0.009833423303378584
rps_doc_frac_chars_top_3gram,-0.13395071355507565,0.010168079206878134,-0.05594522977743081,-0.12106211751489504,-0.03740626387501883,-0.058856889761942734,0.07379172940703521,0.09586049804985541,-0.02041660034418198,-0.01978365506884965,-0.019220267942436687,-0.433829002423568,-0.15618868765550967,-0.07959203046935022,0.22457448143185432,0.1799791541484395,0.5629697468064342,1.0,-0.12758409108279145,0.16160205483457776,0.022426822551118025,-0.049000157337370356
rps_lines_uppercase_letter_fraction,0.19485874544198079,0.029879845123488697,0.20182514002479685,0.2584521628676974,0.14334071537929063,-0.005338029956729234,-0.017243070710782234,0.063805099885461,0.037549641619800254,0.0352511916138645,0.07350968616942961,0.27650522644395303,0.17916763198019153,0.28700410897262657,-0.0035321865427294114,-0.33785836495677957,-0.04979446675702067,-0.12758409108279142,1.0,-0.640233848431295,-0.17028377382267457,0.06541243719198858
rps_lines_ending_with_terminal_punctution_mark,0.17079216075885725,0.3447616883786223,0.1914844225852795,0.06590913727722379,0.1812297432624603,0.38155069321056645,0.39431544680009273,0.0449538644980098,0.35694893761158125,0.3586539684556947,0.3403864532424089,-0.0892014063765473,-0.03148867134423979,0.12387386872144933,-0.006835552376975929,0.4195997233502154,0.1695766129541949,0.16160205483457776,-0.640233848431295,1.0,-0.11017478302000618,0.19545555376194815
rps_lines_numerical_chars_fraction,-0.4370175211412215,-0.3298680117975867,-0.46087371352423634,-0.4002417796357466,-0.3012024988659349,-0.3543338678846561,-0.31563224987410954,-0.14196958734274823,-0.38450069431245376,-0.38833226731581194,-0.4193666316104493,-0.3118595396300017,-0.22896325889689462,-0.539549099343743,-0.1248168891635939,0.08130480453803239,-0.11749262412312493,0.022426822551118025,-0.17028377382267457,-0.11017478302000618,1.0,-0.24966576474775348
rps_doc_mean_word_length,0.3661108199689033,0.37893078894106863,0.4035106131782599,0.1852779421858313,0.32569650747702344,0.4495957519297649,0.4185373733360485,0.16818921953536628,0.5985020215197718,0.5971999374659884,0.6013277819631564,0.2125212707078813,0.057479149090511654,0.35440999237547816,-0.051158418722471385,-0.08807081564586428,0.009833423303378585,-0.04900015733737036,0.06541243719198858,0.19545555376194815,-0.24966576474775348,1.0
