,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,0.9999999999999998,0.3054291115167414,-0.15702766886353658,-0.3568078606587501,0.2955921657372589,0.32583216496469997,-0.02235296862702037,-0.14697308230122266,0.3663113331792466,0.3695827954958474,0.3340337460551319,0.08912025024542977,0.05347396235689545,-0.11849020421552924,-0.02470399068209032,0.29376343116689607,-0.1727519075717764,-0.04851101199501063,-0.07573043954144582,0.07642731682181957,-0.05562736733486336,0.052226908344460324
qurater,0.3054291115167414,1.0,0.32586187582948567,0.11590030903192398,0.429469132691262,0.2872066606090255,0.22984565411281027,-0.03525799714924852,0.1865530838757921,0.18612391490195435,0.20894873292403068,0.08772967945883121,0.053089749172428924,0.03334555312696693,-0.07087789206331734,0.1412141207753478,-0.03093969792606041,0.022714926607963072,-0.09651001529100986,0.15642951580040323,0.04755239056307241,0.05897284097986306
modernbert_reasoning,-0.15702766886353658,0.32586187582948567,1.0,0.6270434410943774,0.21223228350377668,-0.1059206118888643,0.29604463600979314,0.18539613760795795,-0.10195854881264202,-0.1087572994692881,0.006100000591211121,0.09139775722734834,0.05958612729102689,0.22970366233140452,-0.26067230192170654,-0.1269939267453495,0.12495889817882314,0.08797798875896069,0.09912785023970781,-0.04959201736881129,0.20258782593745914,0.04306494624718204
modernbert_professionalism,-0.3568078606587501,0.11590030903192398,0.6270434410943775,1.0,0.06416855855107742,-0.43242765123318505,0.3760429432126711,0.39906359064908237,-0.5923632135915962,-0.5953953270993296,-0.49112380912444453,0.09132999794992205,0.055014018527389914,0.1177088940355732,-0.11685264918070332,-0.5205431934317936,0.12259139143951239,-0.021212233133575217,0.27961490626972196,-0.2553812388362566,0.0866640163146079,0.012608349182160798
fluency_en,0.2955921657372589,0.429469132691262,0.21223228350377668,0.06416855855107742,1.0,0.20830347039373615,0.24820510599272233,0.2047956152751044,0.15192958361734257,0.15284728057684172,0.15877909247691352,0.07151062532442369,0.04203692269217899,-0.05482659993685093,-0.08044167437295976,0.11440171433980185,-0.11255601822113577,-0.02301958452903271,0.05983854411651903,-0.04412544556644869,0.06121886233422189,0.04027751860162182
modernbert_readability,0.32583216496469997,0.28720666060902544,-0.1059206118888643,-0.43242765123318505,0.20830347039373615,1.0,0.1138441963713318,-0.3296516356843163,0.5412629675945675,0.5446682384867694,0.47382008393339065,0.042062725450520144,0.032090780501604695,-0.029767111065981306,0.10870372047269725,0.5528649127362226,-0.08407813105470047,0.02727325859093868,-0.3556353868284379,0.3207797013202949,-0.006208530074932258,0.04945087072150368
modernbert_cleanliness,-0.02235296862702037,0.22984565411281027,0.29604463600979314,0.3760429432126711,0.24820510599272233,0.11384419637133178,1.0,0.24606364571206507,-0.1597718278809527,-0.16099101785015826,-0.15742314756177703,0.09010421593091014,0.0546919385327802,-0.14984424318616948,0.06263923971385163,-0.1018318153646962,-0.051390963071600876,-0.06343840570037829,0.06342219125326982,-0.12057319042886439,0.11272788315054996,0.03265423447251752
ad_en,-0.14697308230122266,-0.03525799714924852,0.18539613760795795,0.39906359064908237,0.2047956152751044,-0.3296516356843164,0.24606364571206507,0.9999999999999998,-0.39453162335501557,-0.39486146281263207,-0.360959040870552,-0.04081847096199517,-0.0368553558569659,-0.09655626776825645,-0.06771709198604837,-0.381291840826667,-0.033551625426113216,-0.07183789215357816,0.22665374641413238,-0.21138437569684854,-0.0026345643352840066,-0.017268532988003116
dsir_books,0.36631133317924663,0.18655308387579206,-0.10195854881264202,-0.5923632135915963,0.15192958361734257,0.5412629675945675,-0.15977182788095268,-0.39453162335501557,1.0,0.9996420396988904,0.969728070998364,0.07443368484324911,0.049334380822768024,0.01162980545315948,-0.06331647677250576,0.8199334828857869,-0.16683831193370247,0.13425309259692372,-0.333710244920584,0.3571443993888074,0.14048213421222697,0.08676840855044636
dsir_wiki,0.3695827954958474,0.18612391490195432,-0.10875729946928811,-0.5953953270993296,0.15284728057684174,0.5446682384867695,-0.16099101785015826,-0.39486146281263207,0.9996420396988905,1.0,0.9681805265472591,0.07384071691057534,0.04883107909303973,0.01165528482284633,-0.05776754531149236,0.8181934547759686,-0.17070597975674498,0.13339863658432263,-0.3326832793092575,0.3548442897971445,0.13091364380940013,0.08661729977497121
