,train_1M,train_1M,train_1M,train_1M,train_1M,test_1M,test_1M,test_1M,test_1M,test_1M,test_60M,test_60M,test_60M,test_60M,test_60M,test_1B,test_1B,test_1B,test_1B,test_1B,est_10B,est_10B,est_10B,est_10B,est_10B,est_70B,est_70B,est_70B,est_70B,est_70B,zero_frac_train
,mean,std,min,50%,max,mean,std,min,50%,max,mean,std,min,50%,max,mean,std,min,50%,max,mean,std,min,50%,max,mean,std,min,50%,max,
arxiv,0.11302252583269279,0.2009427774844665,0.0,0.006003003003003002,0.903096903096903,0.10235899509990197,0.186896789542459,0.0,0.011988023952095809,0.961,0.10235899509990197,0.186896789542459,0.0,0.011988023952095809,0.961,0.1437073854911521,0.11495969389610401,0.0,0.10694655344655343,0.501,0.12384401914371806,0.22324699941889062,0.0,0.007992007992007992,0.903096903096903,0.12384401914371806,0.22324699941889062,0.0,0.007992007992007992,0.903096903096903,0.365234375
freelaw,0.0968248321520278,0.18867774483656127,0.0,0.004997502497502497,0.993,0.07494430129873038,0.1588634969943619,0.0,0.005994011976047904,0.955955955955956,0.07494430129873038,0.1588634969943619,0.0,0.005994011976047904,0.955955955955956,0.0707294647364122,0.06298326000025224,0.002002002002002002,0.05197402597402598,0.27599999999999997,0.13138585333162134,0.23868872306480238,0.0,0.00898203592814371,0.9449449449449449,0.13138585333162134,0.23868872306480238,0.0,0.00898203592814371,0.9449449449449449,0.37109375
nih_exporter,0.00588968021709595,0.011986385682743551,0.0,0.0,0.058,0.005890637678348857,0.011779445638055311,0.0,0.0,0.055055055055055056,0.005890637678348857,0.011779445638055311,0.0,0.0,0.055055055055055056,0.006360799144585467,0.03211083365197156,0.0,0.0,0.253,0.008591664777440758,0.014019589888117306,0.0,0.0,0.050100200400801605,0.008591664777440758,0.014019589888117306,0.0,0.0,0.050100200400801605,0.580078125
pubmed_central,0.11375419105058357,0.20552741566717697,0.0,0.011988011988011986,0.999,0.12383995747234726,0.2035230767731832,0.0,0.01201201201201201,0.901,0.12383995747234726,0.2035230767731832,0.0,0.01201201201201201,0.901,0.17356242106391262,0.10127892986193568,0.039,0.16008158158158156,0.5015015015015015,0.12127315895497043,0.1984522869670426,0.0,0.007,0.828,0.12127315895497043,0.1984522869670426,0.0,0.007,0.828,0.3046875
wikipedia_en,0.07507775607983627,0.14649541286221476,0.0,0.002003005009017033,0.7087087087087087,0.08023678757903702,0.16264542162154966,0.0,0.002001001001001001,0.762,0.08023678757903702,0.16264542162154966,0.0,0.002001001001001001,0.762,0.05284053905692636,0.06189136669704352,0.0,0.027,0.287,0.06766613860474598,0.13042574693324877,0.0,0.003,0.59,0.06766613860474598,0.13042574693324877,0.0,0.003,0.59,0.404296875
dm_mathematics,0.0254628540970504,0.05151162016764129,0.0,0.001,0.2352352352352352,0.02972356015897702,0.053468244136106374,0.0,0.001001001001001001,0.2392392392392392,0.02972356015897702,0.053468244136106374,0.0,0.001001001001001001,0.2392392392392392,0.019020098728922626,0.03345163671004297,0.0,0.001001001001001001,0.17382617382617382,0.01619286861205924,0.042910421238631424,0.0,0.0,0.222,0.01619286861205924,0.042910421238631424,0.0,0.0,0.222,0.47265625
github,0.11070066007050916,0.20908072782075104,0.0,0.006,0.991,0.12441868071679202,0.2113551310723779,0.0,0.014006506506506505,0.988988988988989,0.12441868071679202,0.2113551310723779,0.0,0.014006506506506505,0.988988988988989,0.097862295390251,0.09051515302288983,0.006006006006006005,0.07000307000306999,0.482,0.08022281786655282,0.17501896713329776,0.0,0.006993006993006994,0.783,0.08022281786655282,0.17501896713329776,0.0,0.006993006993006994,0.783,0.369140625
philpapers,0.005487697351193036,0.011394363301593017,0.0,0.0,0.055055055055055056,0.005257981973163578,0.01099520442395295,0.0,0.0,0.055,0.005257981973163578,0.01099520442395295,0.0,0.0,0.055,0.0042356456780304474,0.012615703779139715,0.0,0.0,0.06893106893106894,0.004017543986757197,0.00861180524962003,0.0,0.0,0.055055055055055056,0.004017543986757197,0.00861180524962003,0.0,0.0,0.055055055055055056,0.59765625
stackexchange,0.09943242344413017,0.18811837893460945,0.0,0.005,0.998,0.10089759327171706,0.1789231038948471,0.0,0.01001552654859268,0.9,0.10089759327171706,0.1789231038948471,0.0,0.01001552654859268,0.9,0.07139829145460524,0.07399627316172754,0.0,0.05605410821643286,0.408,0.09238801141743747,0.14365887434390598,0.0,0.013026052104208413,0.5525525525525526,0.09238801141743747,0.14365887434390598,0.0,0.013026052104208413,0.5525525525525526,0.380859375
enron_emails,0.002211033043406226,0.005077081637237203,0.0,0.0,0.026026026026026026,0.002355478803719636,0.005257978499526482,0.0,0.0,0.025,0.002355478803719636,0.005257978499526482,0.0,0.0,0.025,0.00015624999999999998,0.0011299494299683124,0.0,0.0,0.009,0.0010636193653020957,0.003378788546159596,0.0,0.0,0.019,0.0010636193653020957,0.003378788546159596,0.0,0.0,0.019,0.6875
gutenberg_pg_19,0.04691494424753537,0.08704242859915784,0.0,0.001999000999000999,0.4044044044044044,0.05112078974668008,0.08548367425066712,0.0,0.002001001001001001,0.40380761523046094,0.05112078974668008,0.08548367425066712,0.0,0.002001001001001001,0.40380761523046094,0.029008630904706362,0.059699563823151315,0.0,0.002,0.26473526473526476,0.06312842175794885,0.10313349247839833,0.0,0.009009009009009007,0.4,0.06312842175794885,0.10313349247839833,0.0,0.009009009009009007,0.4,0.447265625
pile_cc,0.11948759779188561,0.2129782986841549,0.0,0.010994505494505492,0.995,0.10997681105779664,0.2009837383676791,0.0,0.01,0.956,0.10997681105779664,0.2009837383676791,0.0,0.01,0.956,0.22779468568414218,0.132154931512806,0.006,0.21328671328671328,0.6186186186186186,0.11623967017857584,0.22197661295347462,0.0,0.005999999999999998,0.8591408591408592,0.11623967017857584,0.22197661295347462,0.0,0.005999999999999998,0.8591408591408592,0.306640625
ubuntu_irc,0.019599998284005892,0.03889514389700424,0.0,0.000999000999000999,0.176,0.020349864585765653,0.039985470602424286,0.0,0.0009990009990009992,0.177,0.020349864585765653,0.039985470602424286,0.0,0.0009990009990009992,0.177,0.01740830715289044,0.047126236127360756,0.0,0.0,0.2957042957042957,0.012874233586722532,0.026623693950487484,0.0,0.0,0.148,0.012874233586722532,0.026623693950487484,0.0,0.0,0.148,0.4921875
europarl,0.012737064754031531,0.024476825891853567,0.0,0.0,0.11711711711711714,0.014097582222360922,0.025806972699757222,0.0,0.0009990009990009992,0.11688311688311688,0.014097582222360922,0.025806972699757222,0.0,0.0009990009990009992,0.11688311688311688,0.006993252393709558,0.022871145210135127,0.0,0.0,0.11723446893787576,0.01308024916371845,0.026535351586019686,0.0,0.001,0.11388611388611387,0.01308024916371845,0.026535351586019686,0.0,0.001,0.11388611388611387,0.515625
hackernews,0.011650822378108678,0.0253536557518983,0.0,0.0,0.12012012012012012,0.011684310879494312,0.022308175050705342,0.0,0.0,0.11611611611611612,0.011684310879494312,0.022308175050705342,0.0,0.0,0.11611611611611612,0.0028905979372966864,0.007033008444000563,0.0,0.0,0.033999999999999996,0.014365796139065325,0.03063308275566571,0.0,0.0,0.11888111888111887,0.014365796139065325,0.03063308275566571,0.0,0.0,0.11888111888111887,0.525390625
pubmed_abstracts,0.06618116611257162,0.12636325879769633,0.0,0.002002002002002002,0.5754245754245755,0.06798664745401817,0.1241586045370609,0.0,0.002001001001001001,0.5615615615615616,0.06798664745401817,0.1241586045370609,0.0,0.002001001001001001,0.5615615615615616,0.030860265592987397,0.055966835195313605,0.0,0.01051002004008016,0.3502994011976048,0.05274421942203813,0.10027611862780407,0.0,0.003,0.546,0.05274421942203813,0.10027611862780407,0.0,0.003,0.546,0.4453125
uspto_backgrounds,0.07556475309333588,0.1351259400917474,0.0,0.002997002997002997,0.6793587174348698,0.07486002000114941,0.13580157764722148,0.0,0.005002502502502502,0.6936127744510977,0.07486002000114941,0.13580157764722148,0.0,0.005002502502502502,0.6936127744510977,0.045171069589469266,0.060715865220764775,0.0,0.0245,0.307,0.08092171369132553,0.13555735267395103,0.0,0.008,0.6723276723276723,0.08092171369132553,0.13555735267395103,0.0,0.008,0.6723276723276723,0.40625
