domain_i,domain_j,coef,ci_low,ci_high,significant,co_occurrence_both_gt_1pct
dm_mathematics,ubuntu_irc,-24.951720253379314,-30.595640373778743,-15.072630169762244,True,0.125
gutenberg_pg_19,ubuntu_irc,-22.093682825443427,-26.633760766074662,-14.011390317946299,True,0.13541666666666666
pubmed_central,ubuntu_irc,-20.81710033759337,-23.76649632590727,-14.548342814585668,True,0.17317708333333334
ubuntu_irc,uspto_backgrounds,-20.668338471473803,-23.998516993318002,-14.687326061372852,True,0.14583333333333334
github,ubuntu_irc,-20.123317843350144,-23.54736031430373,-14.275142980702446,True,0.16536458333333334
freelaw,ubuntu_irc,-19.22087940012477,-22.419222858618358,-13.112036169209743,True,0.15494791666666666
arxiv,ubuntu_irc,-19.094346448592614,-22.464759134615942,-13.893264234183253,True,0.1640625
wikipedia_en,ubuntu_irc,-18.705160456331093,-22.35090715063341,-12.509614574293405,True,0.13671875
ubuntu_irc,pubmed_abstracts,-18.43680581708141,-21.9397445312571,-12.829311978980911,True,0.14192708333333334
pile_cc,ubuntu_irc,-18.033270509865844,-20.643174554275717,-12.507147863390903,True,0.16536458333333334
ubuntu_irc,hackernews,-18.028430566277695,-25.18819846009059,-3.1229823678107516,True,0.07942708333333333
dm_mathematics,hackernews,-17.44782636437978,-29.003977343736047,-7.260734551236739,True,0.08333333333333333
stackexchange,ubuntu_irc,-17.421047947646255,-20.613208501129918,-12.246344163121114,True,0.15885416666666666
philpapers,hackernews,-15.004655535898157,-21.424153455301703,-1.0847508573616569,True,0.04296875
dm_mathematics,gutenberg_pg_19,-14.828358271846104,-19.099754486574284,-10.48370086615067,True,0.140625
dm_mathematics,uspto_backgrounds,-13.725291928243706,-17.27548356173559,-9.311426741618988,True,0.1640625
wikipedia_en,dm_mathematics,-13.649302000920347,-17.06387626454804,-9.822827494811124,True,0.15104166666666666
freelaw,dm_mathematics,-13.278471004002071,-16.327011070553855,-9.780558004662236,True,0.16276041666666666
nih_exporter,ubuntu_irc,-12.528997539895116,-22.266441432765333,2.8941684971376973,False,0.06901041666666667
pubmed_central,dm_mathematics,-12.43675012928805,-15.396869163387992,-8.514856130784526,True,0.19140625
dm_mathematics,pubmed_abstracts,-12.432473359920241,-17.3751696651502,-8.857324807289542,True,0.15364583333333334
dm_mathematics,github,-12.17631148808364,-15.673234247341776,-8.425808105492353,True,0.17838541666666666
dm_mathematics,pile_cc,-11.834092609897432,-15.338390287347723,-8.111127449352262,True,0.18359375
arxiv,dm_mathematics,-11.585836098986817,-15.143355062682243,-7.800345603484705,True,0.16015625
dm_mathematics,stackexchange,-11.317322251413005,-14.404599815711657,-7.526600176911408,True,0.16276041666666666
philpapers,uspto_backgrounds,-10.570879719041542,-16.64540627596114,-3.9160619166344577,True,0.08723958333333333
nih_exporter,dm_mathematics,-10.13515743276692,-21.81594260909637,8.562339279030516,False,0.06901041666666667
dm_mathematics,europarl,-8.252812905545591,-15.407263240937208,0.43968316445630923,False,0.09765625
freelaw,enron_emails,-7.427495494932856,-21.176887030512052,12.654464473891876,False,0.041666666666666664
pubmed_central,enron_emails,-6.886467159822584,-15.183111566775109,3.855270159068598,False,0.037760416666666664
europarl,hackernews,-6.106187557238811,-16.21475509420729,5.4842920828479995,False,0.06640625
stackexchange,enron_emails,-5.953984748670662,-16.10747223356593,2.055183662887973,False,0.033854166666666664
wikipedia_en,gutenberg_pg_19,-5.848543525599737,-7.881886396721779,-3.872129135578022,True,0.17578125
gutenberg_pg_19,hackernews,-5.457425037418122,-12.089026185872337,2.3470302922689292,False,0.11067708333333333
pubmed_central,gutenberg_pg_19,-5.2940561364167324,-7.091205886088319,-3.6497594018097117,True,0.20833333333333334
freelaw,gutenberg_pg_19,-4.905710315907533,-7.63258009683711,-3.1038774977647665,True,0.20182291666666666
enron_emails,uspto_backgrounds,-4.8363373151136,-17.340909509013773,5.462577168413167,False,0.03125
gutenberg_pg_19,pubmed_abstracts,-4.723954462585875,-7.220614928438051,-2.8595608321866592,True,0.1875
nih_exporter,philpapers,-4.50807516089206,-9.126559114080488,1.5318561568606985,False,0.032552083333333336
stackexchange,gutenberg_pg_19,-4.491295809283899,-5.780722586495197,-2.9899144526688546,True,0.18489583333333334
nih_exporter,stackexchange,-4.470812373069132,-10.496868704708334,1.0484513088896115,False,0.09375
github,gutenberg_pg_19,-4.382598786609663,-5.974070731540439,-2.9616197162169917,True,0.19791666666666666
gutenberg_pg_19,uspto_backgrounds,-4.369697759207196,-6.629149830007849,-2.5238071149093098,True,0.1796875
arxiv,gutenberg_pg_19,-4.330715793882917,-6.309224864817226,-2.52689590838739,True,0.21354166666666666
dm_mathematics,enron_emails,-4.2466972943031,-15.667677497405068,9.093255434286357,False,0.032552083333333336
nih_exporter,europarl,-3.7043034143198326,-12.900526752548542,8.66838888220451,False,0.052083333333333336
freelaw,stackexchange,-3.647482751355464,-4.846813288358659,-2.9457382271111845,True,0.21484375
enron_emails,pile_cc,-3.4136844604027416,-14.210405327114001,7.25530070716379,False,0.045572916666666664
stackexchange,uspto_backgrounds,-3.269826298863559,-4.377411082378434,-2.232141907458751,True,0.22265625
wikipedia_en,stackexchange,-3.238194891160649,-4.423990081238831,-2.081565600203758,True,0.19140625
freelaw,uspto_backgrounds,-3.1303892170265497,-4.642516735495154,-2.044820630831902,True,0.20963541666666666
pubmed_central,github,-3.1252372213635544,-3.8937591597246626,-2.470317555564178,True,0.2513020833333333
gutenberg_pg_19,pile_cc,-3.1206449713591953,-4.630418892877847,-1.6255352264009635,True,0.21875
gutenberg_pg_19,europarl,-3.0558793840962952,-9.428797728895415,2.135537551000451,False,0.1171875
pubmed_central,wikipedia_en,-3.0100471891915825,-3.8867599910739536,-2.065035537214748,True,0.21875
arxiv,pile_cc,-2.9982525895585503,-3.6103887763559155,-2.307341398831868,True,0.24609375
github,uspto_backgrounds,-2.902497551181187,-3.786432763858845,-1.7939517066848993,True,0.21875
wikipedia_en,github,-2.880304255444706,-3.732709214254511,-1.8966519778962778,True,0.19270833333333334
arxiv,github,-2.8318027823609087,-3.4640587422476465,-2.0262290272639754,True,0.23307291666666666
hackernews,uspto_backgrounds,-2.828823002642497,-8.049228547858537,3.455974810813893,False,0.11197916666666667
freelaw,pubmed_central,-2.7608128707272566,-3.5981936319160703,-2.0329008922596916,True,0.25
freelaw,hackernews,-2.7392908412606465,-8.427645264934212,2.6967665689292284,False,0.13932291666666666
ubuntu_irc,europarl,-2.7338650458800196,-14.11535263189136,6.94288293539832,False,0.1015625
pubmed_central,stackexchange,-2.684447649161755,-3.1852989391818065,-2.123194444944301,True,0.2591145833333333
pile_cc,uspto_backgrounds,-2.601332992453525,-3.558999756584795,-1.854496565857981,True,0.24348958333333334
freelaw,wikipedia_en,-2.556540010492919,-3.9262920737008975,-1.2327103847480607,True,0.18489583333333334
pubmed_central,pile_cc,-2.478321285401269,-3.1159523669972975,-1.835294441495175,True,0.23046875
arxiv,freelaw,-2.372632727014394,-3.0844611485815863,-1.4172349787189549,True,0.21875
arxiv,stackexchange,-2.2877690813256777,-2.7802425518834664,-1.7169363187763447,True,0.24348958333333334
arxiv,uspto_backgrounds,-2.278486427612633,-3.4666604598035824,-1.1019434139135362,True,0.22135416666666666
freelaw,pubmed_abstracts,-2.2068519181434154,-3.49627118605384,-0.7502831707260992,True,0.17838541666666666
arxiv,wikipedia_en,-2.165707310924555,-3.27998531953413,-1.249138795887128,True,0.19791666666666666
wikipedia_en,uspto_backgrounds,-2.158206484279097,-3.2502169197342274,-1.2989710935824026,True,0.1875
arxiv,pubmed_central,-2.155348349935866,-2.702463828299545,-1.4470066608673648,True,0.24088541666666666
freelaw,github,-2.1382406334227784,-3.1399406895354103,-1.397883265011459,True,0.21614583333333334
wikipedia_en,pubmed_abstracts,-2.1370361065554615,-3.975281499085247,-0.5845160389318155,True,0.16276041666666666
stackexchange,pile_cc,-2.119652577839873,-2.7448380820291423,-1.624081346077766,True,0.23307291666666666
philpapers,pubmed_abstracts,-2.1008866568659785,-9.821901693830199,7.6817303876329515,False,0.07552083333333333
pubmed_central,uspto_backgrounds,-2.0218401291753945,-3.18760560567293,-1.1566980134120504,True,0.23828125
arxiv,hackernews,-1.9732132796471036,-6.564931710366765,2.4430676922430155,False,0.12239583333333333
freelaw,nih_exporter,-1.9535447643527528,-12.033042520950154,6.2653376249363,False,0.0859375
enron_emails,ubuntu_irc,-1.9477799363563637,-9.138742683734023,8.015134038332105,False,0.03125
