domain,mean_abs_shap,shap_share_corr
dm_mathematics,0.11875428238078477,-0.9018363520965287
stackexchange,0.08772768602401614,-0.9297567926018176
ubuntu_irc,0.07144893633955554,-0.9198501472191615
github,0.05338105207718153,-0.5818969277688878
pubmed_central,0.0514069598639536,-0.84930704245069
pile_cc,0.049555705155921274,-0.9271412261348256
freelaw,0.04262170790174325,-0.6990592602378185
arxiv,0.04256509365360859,-0.602931957198205
wikipedia_en,0.029279267583313142,-0.9087368306936573
pubmed_abstracts,0.02211053978591616,-0.8745913180666149
hackernews,0.02038808955433562,-0.9060198378585117
uspto_backgrounds,0.018166551183246473,-0.7500904025378129
gutenberg_pg_19,0.012984999768787399,-0.7453505001698246
nih_exporter,0.005682562075816602,-0.8767332313599868
enron_emails,0.002688989317544568,-0.8189524363484069
europarl,0.0025354159446390394,-0.15866879147712687
philpapers,0.002466529028191037,-0.6664684729040106
