N_B,tokens_per_param,D_B,Q,L,dL_dlnN,dL_dlnD,dL_dQ,elas_N,elas_D,elas_Q,share_reducible_N,share_reducible_D,dL_per_0p1Q
0.1,20,2.0,0.5,3.6954677364841717,-0.30149832892734096,-0.31328119288742684,-1.160904653052647,-0.08158597244693665,-0.0847744359379739,-0.1570714096068823,0.44218855021179326,0.5578114497882067,-0.11609046530544065
0.1,20,2.0,0.6805,3.485934177877097,-0.2632847334949062,-0.28607554039439265,-1.160904653052647,-0.07552774093263123,-0.08206567473646623,-0.22662099879756611,0.4311973281137115,0.5688026718862884,-0.11609046530544109
0.1,20,2.0,0.8,3.347196340567848,-0.23798247823059174,-0.26806194193040866,-1.160904653052647,-0.07109904947799336,-0.08008551475798167,-0.2774631745338729,0.4223902145354707,0.5776097854645295,-0.1160904653054402
0.1,20,2.0,0.9,3.231105875262408,-0.21681052799760178,-0.2529888582780693,-1.160904653052647,-0.06710102867798906,-0.0782979165786461,-0.3233611735680218,0.41380211277672574,0.586197887223274,-0.11609046530544154
0.1,20,2.0,1.0,3.1150154099569662,-0.19563857776683233,-0.23791577462350946,-1.160904653052647,-0.06280501121807774,-0.07637707789920573,-0.37268022795068123,0.40381463393149486,0.5961853660685053,
0.1,200,20.0,0.5,3.1638266122787817,-0.30149832892734096,-0.16438913809979636,-0.9051130089955282,-0.09529546523100499,-0.051958959274760394,-0.14304086789756318,0.6017063840123631,0.398293615987637,-0.0905113008995766
0.1,200,20.0,0.6805,3.000461301253922,-0.2632847334949062,-0.15011342073600886,-0.9051130089955282,-0.08774808506441226,-0.050030113927240126,-0.20527570719381746,0.590950722858966,0.40904927714103406,-0.0905113008995766
0.1,200,20.0,0.8,2.892292709580051,-0.23798247823281218,-0.14066108209309647,-0.9051130089955282,-0.08228160221977196,-0.04863307286540852,-0.25035170361493514,0.5822205809398342,0.41777941906016586,-0.0905113008995766
0.1,200,20.0,0.9,2.8017814086804744,-0.21681052799760178,-0.13275173009086316,-0.9051130089933077,-0.07738309895478633,-0.04738118744009507,-0.29074420494410425,0.5736099758189313,0.42639002418106875,-0.09051130089957704
0.1,200,20.0,1.0,2.7112701077808974,-0.19563857776683233,-0.1248423780908503,-0.9051130089955282,-0.07215753871419227,-0.04604571773670698,-0.3338335809471743,0.5634729700588083,0.4365270299411918,
1.0,20,20.0,0.5,2.682395971971934,-0.13781019413849904,-0.16438913809979636,-0.5670406358216432,-0.0513757832842216,-0.06128444115540014,-0.10569666852817212,0.40846683926604505,0.5915331607339552,-0.05670406358199509
1.0,20,20.0,0.6805,2.5800498904177207,-0.12034335435728849,-0.15011342073600886,-0.5670406358194228,-0.04664380902254739,-0.058182371315193784,-0.14955772789391925,0.39771618588494717,0.6022838141150525,-0.056704063581995534
1.0,20,20.0,0.8,2.5122837812259484,-0.10877808723996907,-0.14066108209309647,-0.5670406358194228,-0.04329848723812855,-0.055989328571972245,-0.18056579119185887,0.3891250903696133,0.6108749096303867,-0.05670406358199509
1.0,20,20.0,0.9,2.4555797176439533,-0.09910071827157196,-0.1327517300930836,-0.5670406358194228,-0.040357361465200484,-0.054061258585591535,-0.2078273283374125,0.38076748088930196,0.619232519110698,-0.056704063581995534
1.0,20,20.0,1.0,2.398875654061958,-0.08942334930761575,-0.1248423780908503,-0.5670406358194228,-0.037277192403114924,-0.05204203806039623,-0.2363776692048488,0.37107260576403156,0.6289273942359686,
1.0,200,200.0,0.5,2.4034260619666346,-0.13781019413849904,-0.0862604884632745,-0.43281819012590866,-0.05733906123400113,-0.0358906353843441,-0.09004191911186765,0.5682114811754425,0.4317885188245578,-0.04328181901244621
1.0,200,200.0,0.6805,2.325306006742425,-0.12034335435728849,-0.07876954126961877,-0.4328181901236882,-0.051753770905137886,-0.03387491411505397,-0.1266625336329503,0.5572169204037336,0.44278307959626645,-0.04328181901244621
1.0,200,200.0,0.8,2.273580604929296,-0.10877808723996907,-0.07380958249258995,-0.4328181901236882,-0.04784439443410535,-0.032464027152837756,-0.1522948213704165,0.5483171063554688,0.4516828936445308,-0.043281819012446654
1.0,200,200.0,0.9,2.2302987859168493,-0.09910071827379241,-0.06965928050162162,-0.4328181901236882,-0.04443383052511204,-0.03123316075024698,-0.17465658573238457,0.5395603432476394,0.46043965675236104,-0.04328181901244621
1.0,200,200.0,1.0,2.187016966904403,-0.08942334930761575,-0.06550897850843285,-0.4328181901236882,-0.04088827414731463,-0.029953575806573207,-0.19790344413117084,0.5292781384960624,0.47072186150393763,
10.0,20,200.0,0.5,2.183371608460501,-0.06299089509553824,-0.0862604884632745,-0.27829056953757325,-0.028850285884203297,-0.039507928072810714,-0.06372954756286228,0.3755852363509831,0.6244147636490166,-0.02782905695365656
10.0,20,200.0,0.6805,2.133142493426492,-0.05500707445538211,-0.07876954126961877,-0.2782905695353528,-0.025786872946787345,-0.03692652577704283,-0.08877719157770474,0.36516576427667125,0.6348342357233288,-0.027829056953656117
10.0,20,200.0,0.8,2.0998844375995316,-0.049720770838312944,-0.07380958249258995,-0.2782905695353528,-0.023677860527958814,-0.03514935449350959,-0.10602128938237336,0.35686118241084047,0.6431388175891593,-0.02782905695365656
10.0,20,200.0,0.9,2.072055380645875,-0.04529739608516437,-0.06965928050162162,-0.2782905695353528,-0.021861093341551924,-0.03361844531390291,-0.12087587760504105,0.34880086377549824,0.651199136224502,-0.027829056953656117
10.0,20,200.0,1.0,2.044226323692219,-0.040874021332015786,-0.06550897851065329,-0.2782905695353528,-0.019994861067139758,-0.032045854097178916,-0.13613491143813905,0.3394737017281682,0.6605262982718312,
10.0,200,2000.0,0.5,2.0369867500568475,-0.06299089509331779,-0.04526376837343804,-0.20785955528348568,-0.030923566435353524,-0.022220943937006382,-0.05102133219022775,0.534080912865538,0.4659190871344624,-0.02078595552836182
10.0,200,2000.0,0.6805,1.9994698427083686,-0.05500707445538211,-0.04133301740316675,-0.20785955528348568,-0.027510829761189418,-0.0206719884042759,-0.07074209471376788,0.522946928251325,0.47705307174867473,-0.02078595552836182
10.0,200,2000.0,0.8,1.974628883471762,-0.04972077083720272,-0.03873036085400017,-0.20785955528348568,-0.02517980530588838,-0.019613994902123098,-0.08421209960953482,0.5139591282181947,0.4860408717818057,-0.0207859555283616
10.0,200,2000.0,0.9,1.9538429279434004,-0.04529739608516437,-0.03655255834678073,-0.20785955528348568,-0.023183744935343423,-0.018708033191417114,-0.09574648866582602,0.5051374283952216,0.4948625716047781,-0.02078595552836182
10.0,200,2000.0,1.0,1.9330569724150386,-0.04087402133312601,-0.03437475584067151,-0.20785955528126523,-0.021144757716095974,-0.017782588061916186,-0.10752893383249781,0.49480626179821796,0.5051937382017816,
70.0,20,1400.0,0.5,1.9642996960355719,-0.032504346084705205,-0.05001873883969665,-0.15306321447529656,-0.016547549312514162,-0.02546390397587826,-0.03896126817720708,0.34865153052009046,0.6513484694799093,-0.015306321447505544
70.0,20,1400.0,0.6805,1.9366730688733724,-0.028384562285044268,-0.04567506147412637,-0.15306321447418633,-0.014656352040644898,-0.023584291126998055,-0.05378204306818173,0.33857410416318856,0.6614258958368121,-0.015306321447505544
70.0,20,1400.0,0.8,1.918380731693055,-0.025656741985402576,-0.04279899518677688,-0.15306321447418633,-0.013374165806367007,-0.022309958852122586,-0.06383017174660688,0.3305593760310875,0.6694406239689125,-0.015306321447505544
70.0,20,1400.0,0.9,1.9030744102455495,-0.02337420728637518,-0.04039241396913695,-0.15306321447529656,-0.012282340175736617,-0.02122482113766913,-0.07238649854473764,0.3227949609308325,0.6772050390691674,-0.015306321447505544
70.0,20,1400.0,1.0,1.887768088798044,-0.021091672586237564,-0.03798583275149703,-0.15306321447418633,-0.011172809155634573,-0.020122086487690812,-0.08108157743658165,0.31382807702597443,0.6861719229740251,
70.0,200,14000.0,0.5,1.8794174268401893,-0.032504346084705205,-0.026246508100236095,-0.11222330536965323,-0.01729490512352747,-0.013965236102106171,-0.02985587548752569,0.5049730654319275,0.495026934568072,-0.011222330537026926
70.0,200,14000.0,0.6805,1.8591620609313588,-0.028384562285044268,-0.0239672350554887,-0.11222330536965323,-0.015267395393613424,-0.01289141789150009,-0.041076041835368234,0.49380276521910665,0.5061972347808936,-0.011222330537026926
70.0,200,14000.0,0.8,1.8457504352291088,-0.025656741985402576,-0.02245806671408168,-0.11222330536965323,-0.01390043935285209,-0.01216744489690125,-0.04864072768568985,0.48480682390785607,0.5151931760921433,-0.011222330537026926
