C,g_form,p*,p_ref,gain_pstar_vs_pref
1e+19,exp,2.9034459125471614,2.9423111399110105,0.03886522736384901
1e+19,filter,2.8945254934778544,2.933203954225128,0.03867846074727366
1e+19,log,2.7578647897078783,2.7936194849715603,0.035754695263682024
1e+19,power,2.922028704387492,2.9612814920579136,0.03925278767042162
1e+22,exp,2.0374914578481724,2.0547077882723777,0.01721633042420523
1e+22,filter,2.0512411699777555,2.068896763491127,0.017655593513371315
1e+22,log,2.0325555372911617,2.0496127220157008,0.0170571847245391
1e+22,power,2.038302916115465,2.055545334936374,0.017242418820909045
1e+24,exp,1.8564097072764354,1.8670957019425574,0.010685994666121967
1e+24,filter,1.8597225780427908,1.870545572330847,0.01082299428805622
1e+24,log,1.8560799609376248,1.866752267832489,0.010672306894864203
1e+24,power,1.8564673160742717,1.8671557011160662,0.01068838504179448
