C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,p,regime,cost_form,N_noQ,D_noQ,L_noQ,gain_vs_noQ,tpp_noQ,check_L,check_absdiff_L,check_reldiff_N
1e+19,2048,exp,439519343.40754414,1696910911.4115393,0.9841870059772586,2.9034459125471614,3.86083328723505,4.4749510176281825e+18,5.219558992901733e+18,3.054899894700839e+17,0.44749510176281826,0.5219558992901734,0.03054899894700839,False,False,False,p*,R1 质量内点(Q0<Q*<1),指数型 γe^{λQ},221207724.89147624,7052917166.997083,2.9589429828909948,0.05549707034383333,31.88368385623612,2.903445912547133,2.842170943040401e-14,3.6404518821697707e-07
1e+19,2048,exp,439519487.15623677,1696910629.2083309,0.9841870086422336,2.9423111399110105,3.8608313824436347,4.474951736997676e+18,5.219558224423283e+18,3.0549003857904134e+17,0.4474951736997676,0.5219558224423283,0.030549003857904135,False,False,False,p_ref,R1 质量内点(Q0<Q*<1),指数型 γe^{λQ},221207712.47868043,7052917562.762762,2.998959748645343,0.05664860873433275,31.883687434462797,2.942311139910988,2.2648549702353193e-14,1.4131132575201377e-07
1e+19,4096,exp,431818183.4789468,1599005160.6716092,0.9944618532199089,2.91072620013064,3.7029593052085272,4.142877023128055e+18,5.291482167314194e+18,5.656408095577504e+17,0.4142877023128055,0.5291482167314194,0.05656408095577504,False,False,False,p*,R1 质量内点(Q0<Q*<1),指数型 γe^{λQ},215104412.0868,6817376096.196163,2.971201287593638,0.06047508746299801,31.693334553478063,,,
1e+19,4096,exp,431818352.37863314,1599004308.604786,0.9944619463570082,2.949743505444252,3.702955883641379,4.142876435928325e+18,5.291482834686261e+18,5.656407293854139e+17,0.4142876435928325,0.5291482834686261,0.05656407293854139,False,False,False,p_ref,R1 质量内点(Q0<Q*<1),指数型 γe^{λQ},215104425.44240847,6817375672.912422,3.011470056730087,0.06172655128583493,31.693330617866295,,,
1e+19,8192,exp,405654858.0107781,1529136134.3639295,1.0,2.924081380222339,3.76954966560095,3.7218090087873e+18,5.261889011213181e+18,1.0163019799995186e+18,0.37218090087872996,0.5261889011213181,0.10163019799995186,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},204360238.31119728,6406210459.971548,2.993957745700882,0.06987636547854281,31.34763647229775,,,
1e+19,8192,exp,405654820.64582264,1529136201.0997782,1.0,2.963376854672264,3.769550177328886,3.721808828400991e+18,5.261889240856978e+18,1.0163019307420306e+18,0.37218088284009915,0.5261889240856978,0.10163019307420305,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},204360217.06646532,6406211125.943752,3.034692153021072,0.07131529834880812,31.34764298992803,,,
1e+19,32768,exp,293080382.5624617,1404435219.30992,1.0,2.9866422964913726,4.7919796167544755,2.469674468157277e+18,4.832782432756802e+18,2.697543099085922e+18,0.24696744681572771,0.48327824327568014,0.26975430990859217,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},163283594.58550057,4878532033.619698,3.098455218472077,0.11181292198070425,29.877661904761293,2.9866422964912136,1.5898393712632242e-13,6.630021953668574e-08
1e+19,32768,exp,293080402.909794,1404435168.9274828,1.0,3.0272273231244133,4.791979112161068,2.4696745510197074e+18,4.8327822593865e+18,2.6975431895937925e+18,0.24696745510197074,0.48327822593865,0.26975431895937924,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},163283588.91975814,4878532202.89884,3.141293070212038,0.11406574708762474,29.877663978198562,3.02722732312416,2.531308496145357e-13,1.7826835563283794e-08
1e+19,131072,exp,160743564.72140422,1160181162.1810467,1.0,3.1258466343386937,7.217590105033672,1.1189499343896184e+18,3.992283205599847e+18,4.888766860010536e+18,0.11189499343896184,0.3992283205599847,0.4888766860010536,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},106680391.84303415,2909814816.0051336,3.320140992664835,0.1942943583261414,27.276004200345785,,,
1e+19,131072,exp,160743586.52121863,1160181067.654362,1.0,3.169226878808211,7.217588538135639,1.1189499949726724e+18,3.9922828803253914e+18,4.888767124701938e+18,0.11189499949726724,0.3992282880325391,0.48887671247019376,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},106680375.25438647,2909815268.477228,3.367271853435075,0.198044974626864,27.276012683106707,,,
1e+19,30000,exp,301789464.22380936,1415917251.7736788,1.0,2.9806732079270635,4.691738511864098,2.5638534527881626e+18,4.872293094423675e+18,2.5638534527881626e+18,0.25638534527881623,0.4872293094423675,0.25638534527881623,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},166643856.72012508,5000684392.061926,3.088634301648591,0.1079610937215274,30.008213266814103,,,
1e+19,30000,exp,301789468.3475296,1415917241.8528905,1.0,3.021136131887392,4.691738414881902,2.5638534698573056e+18,4.872293060285389e+18,2.5638534698573056e+18,0.25638534698573057,0.48722930602853887,0.25638534698573057,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},166643867.91232502,5000684056.204025,3.131276803926818,0.11014067203942624,30.008209235967772,,,
1e+19,2048,power,479683123.78415316,1428079110.4680316,1.0,2.922028704387492,2.9771301921195708,4.1101526923212006e+18,5.609260883883005e+18,2.8058642379579402e+17,0.41101526923212006,0.5609260883883005,0.0280586423795794,False,True,False,p*,R2 质量饱和(Q*=1),幂函数型 γQ^λ,221207724.89147624,7052917166.997083,2.9589429828909948,0.03691427850350282,31.88368385623612,2.922028704387473,1.9095836023552692e-14,1.3568108137018697e-07
1e+19,2048,power,479683091.7405903,1428079152.3547437,1.0,2.9612814920579136,2.977130478318048,4.1101525383108296e+18,5.609261048407151e+18,2.8058641328201933e+17,0.41101525383108295,0.560926104840715,0.028058641328201933,False,True,False,p_ref,R2 质量饱和(Q*=1),幂函数型 γQ^λ,221207712.47868043,7052917562.762762,2.998959748645343,0.037678256587429626,31.883687434462797,2.96128149205772,1.936228954946273e-13,2.0270247702569577e-09
1e+19,4096,power,460258027.3357305,1415142178.0738902,1.0,2.9290442219763726,3.074671366984392,3.9079832836792663e+18,5.558446731989058e+18,5.335699843316759e+17,0.3907983283679266,0.5558446731989057,0.05335699843316759,False,True,False,p*,R2 质量饱和(Q*=1),幂函数型 γQ^λ,215104412.0868,6817376096.196163,2.971201287593638,0.0421570656172654,31.693334553478063,,,
1e+19,4096,power,460257993.9240432,1415142223.7019498,1.0,2.968442801451745,3.074671689321038,3.907983125989614e+18,5.558446911208604e+18,5.3356996280178195e+17,0.3907983125989614,0.5558446911208603,0.0533569962801782,False,True,False,p_ref,R2 质量饱和(Q*=1),幂函数型 γQ^λ,215104425.44240847,6817375672.912422,3.011470056730087,0.04302725527834195,31.693330617866295,,,
