C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,regime,wall,mu_N,mu_D,mu_Q,lnN,lnD
1000000000000000.0,2048,exp,3452570.158571634,45188357.910297066,0.6804916175120665,6.973051321817687,13.088324301856327,936095856215676.5,0.0,63904143784323.52,0.9360958562156765,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,8.166045085436284e-16,8.166045066137662e-16,2.1560466967706504e-17,15.05462948515155,17.626350043269774
1258925411794166.2,2048,exp,3830971.874665435,51269621.20928523,0.6804916175120665,6.78832074191776,13.382928115013293,1178474861265133.0,0.0,80450550529033.1,0.9360958562156764,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,6.260206473340585e-16,6.260206524603798e-16,1.8340091574791715e-17,15.15862908214329,17.752608955577436
1584893192461110.8,2048,exp,4250846.343024608,58169276.98181804,0.6804916175120665,6.610035548445554,13.68416364361663,1483611950007280.2,0.0,101281242453830.34,0.9360958562156764,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,4.799154492456233e-16,4.799154527269957e-16,1.5600697511083537e-17,15.262628660610156,17.878867886409974
1995262314968882.8,2048,exp,4716739.218290095,65997457.80104012,0.6804916175120665,6.4379711812571765,13.992178652812061,1867756785105669.2,0.0,127505529863213.69,0.9360958562156766,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,3.6790863045941513e-16,3.6790864103344017e-16,1.3270452260867449e-17,15.36662827523674,18.005126781082797
2511886431509582.0,2048,exp,5233693.312076299,74879132.17978482,0.6804916175120665,6.271910896539824,14.307130302612045,2351366479820502.0,0.0,160519951689079.62,0.9360958562156764,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,2.8204240258609594e-16,2.820423949213309e-16,1.1288248141820601e-17,15.470627765031859,18.131385800587083
3162277660168379.5,2048,exp,5807306.509652425,84956052.31578626,0.6804916175120665,6.111645494917657,14.629166236460799,2960195013887025.0,0.0,202082646281354.25,0.9360958562156764,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,2.1621606857979075e-16,2.1621607352905626e-16,9.602108231290169e-18,15.574627425749657,18.25764464916869
3981071705534969.0,2048,exp,6443786.946481904,96389094.32709174,0.6804916175120665,5.956973059011699,14.958454574559921,3726664726848760.0,0.0,254406978686208.7,0.9360958562156764,0.0,0.0639041437843235,True,False,False,R0 不投质量(Q*=Q0),无,1.657527305323551e-16,1.6575272967065923e-16,8.167812143779678e-18,15.678626960423603,18.383903623794147
5011872336272715.0,2048,exp,7150026.389175455,109360736.83517101,0.6804916175120665,5.807698700125091,15.29515149772511,4691592925866870.0,0.0,320279410405845.0,0.9360958562156765,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,1.2706692945026327e-16,1.2706693391569597e-16,6.947748101586783e-18,15.78262660545715,18.510162488060004
6309573444801943.0,2048,exp,7933669.205301943,124078056.93529633,0.6804916175120665,5.663634313736492,15.639429086906846,5906365556167570.0,0.0,403207888634372.75,0.9360958562156765,0.0,0.0639041437843235,True,False,False,R0 不投质量(Q*=Q0),无,9.740999323181078e-17,9.740999668214209e-17,5.909918419844828e-18,15.886626185880182,18.63642141693638
7943282347242821.0,2048,exp,8803198.720701093,140775982.41875112,0.6804916175120665,5.524598343495486,15.991457978531198,7435673690005137.0,0.0,507608657237684.0,0.9360958562156765,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,7.467472183493022e-17,7.467472163398581e-17,5.0271054588860615e-18,15.99062570439035,18.762680407725615
1e+16,2048,exp,9768030.061642015,159721023.6366939,0.6804916175120665,5.390415553424358,16.351405823770023,9360958562156766.0,0.0,639041437843235.2,0.9360958562156766,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,5.724568997322114e-17,5.724569294166168e-17,4.2761572661833945e-18,16.09462537233162,18.888939249083748
1.2589254117941714e+16,2048,exp,10838605.319035107,181215637.15635726,0.6804916175120665,5.2609168080410535,16.719460836727816,1.178474861265138e+16,0.0,804505505290334.1,0.9360958562156765,0.0,0.0639041437843235,True,False,False,R0 不投质量(Q*=Q0),无,4.388449338223483e-17,4.388449382888793e-17,3.637377453121123e-18,16.19862488509267,19.015198245622106
1.5848931924611108e+16,2048,exp,12026515.3063968,205602913.2586949,0.6804916175120665,5.135938860127942,17.095801071265964,1.4836119500072806e+16,0.0,1012812424538303.5,0.9360958562156766,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,3.3641741285155195e-17,3.36417398326816e-17,3.0940130707853862e-18,16.302624379023097,19.14145726099108
1.9952623149688828e+16,2048,exp,13344620.945354266,233272116.75201875,0.6804916175120665,5.01532414588053,17.480610180480923,1.8677567851056692e+16,0.0,1275055298632137.0,0.9360958562156765,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,2.578961764400972e-17,2.5789616165556117e-17,2.631812903161197e-18,16.406623936172636,19.267716213140947
2.511886431509572e+16,2048,exp,14807192.602272175,264664898.89736357,0.6804916175120665,4.898920587179698,17.874076876446555,2.3513664798204932e+16,0.0,1605199516890790.0,0.9360958562156766,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,1.9770168923380212e-17,1.9770168907692826e-17,2.2386540377075135e-18,16.510623607321094,19.39397505129189
3.162277660168379e+16,2048,exp,16430062.53802817,300282384.5045742,0.6804916175120665,4.786581400739691,18.276399363030794,2.9601950138870252e+16,0.0,2020826462813542.5,0.9360958562156766,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,1.5155661588354976e-17,1.5155662601055875e-17,1.904223875236985e-18,16.614623296337804,19.520233871574586
3.981071705534986e+16,2048,exp,18230797.00678628,340693162.0032439,0.6804916175120665,4.678164913892938,18.68778210170534,3.726664726848775e+16,0.0,2544069786862097.5,0.9360958562156764,0.0,0.0639041437843235,True,False,False,R0 不投质量(Q*=Q0),无,1.1618189866381288e-17,1.1618190562770768e-17,1.6197500939330674e-18,16.718622865215703,19.646492811996097
5.0118723362727144e+16,2048,exp,20228890.73820926,386542279.7673209,0.6804916175120665,4.573534386780937,19.108426891505328,4.6915929258668696e+16,0.0,3202794104058449.5,0.9360958562156765,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,8.906376898186624e-18,8.906377045095746e-18,1.3777709349822797e-18,16.822622375124965,19.772751811386236
