g_form,L_ctx,wall,type,from_state,to_state,C_low,C_high
exp,2048,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),2.511886431509572e+18,3.1622776601683794e+18
exp,2048,D≤1.8e13,I 约束集切换,R1 质量内点(Q0<Q*<1),R2 质量饱和(Q*=1),1e+19,1.2589254117941713e+19
exp,2048,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,1e+25,1.2589254117941714e+25
exp,2048,无,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),2.511886431509572e+18,3.1622776601683794e+18
exp,2048,无,I 约束集切换,R1 质量内点(Q0<Q*<1),R2 质量饱和(Q*=1),1e+19,1.2589254117941713e+19
exp,8192,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),1.995262314968883e+18,2.511886431509572e+18
exp,8192,D≤1.8e13,I 约束集切换,R1 质量内点(Q0<Q*<1),R2 质量饱和(Q*=1),7.943282347242789e+18,1e+19
exp,8192,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,1.2589254117941714e+25,1.5848931924611239e+25
exp,8192,无,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),1.995262314968883e+18,2.511886431509572e+18
exp,8192,无,I 约束集切换,R1 质量内点(Q0<Q*<1),R2 质量饱和(Q*=1),7.943282347242789e+18,1e+19
exp,32768,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),1.2589254117941714e+18,1.5848931924611108e+18
exp,32768,D≤1.8e13,I 约束集切换,R1 质量内点(Q0<Q*<1),R2 质量饱和(Q*=1),3.9810717055349857e+18,5.011872336272715e+18
exp,32768,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,1.995262314968883e+25,2.5118864315095717e+25
exp,32768,无,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),1.2589254117941714e+18,1.5848931924611108e+18
exp,32768,无,I 约束集切换,R1 质量内点(Q0<Q*<1),R2 质量饱和(Q*=1),3.9810717055349857e+18,5.011872336272715e+18
exp,131072,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),3.9810717055349856e+17,5.011872336272715e+17
exp,131072,D≤1.8e13,I 约束集切换,R1 质量内点(Q0<Q*<1),R2 质量饱和(Q*=1),1.2589254117941714e+18,1.5848931924611108e+18
exp,131072,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,5.0118723362727555e+25,6.309573444801943e+25
exp,131072,无,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),3.9810717055349856e+17,5.011872336272715e+17
exp,131072,无,I 约束集切换,R1 质量内点(Q0<Q*<1),R2 质量饱和(Q*=1),1.2589254117941714e+18,1.5848931924611108e+18
filter,2048,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),1e+18,1.2589254117941714e+18
filter,2048,D≤1.8e13,I 约束集切换,R1 质量内点(Q0<Q*<1),R1 质量内点(Q0<Q*<1) + 数据墙,1.2589254117941714e+25,1.5848931924611239e+25
filter,2048,无,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),1e+18,1.2589254117941714e+18
filter,8192,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),7.943282347242789e+17,1e+18
filter,8192,D≤1.8e13,I 约束集切换,R1 质量内点(Q0<Q*<1),R1 质量内点(Q0<Q*<1) + 数据墙,1.5848931924611239e+25,1.995262314968883e+25
filter,8192,无,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),7.943282347242789e+17,1e+18
filter,32768,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),3.9810717055349856e+17,5.011872336272715e+17
filter,32768,D≤1.8e13,I 约束集切换,R1 质量内点(Q0<Q*<1),R1 质量内点(Q0<Q*<1) + 数据墙,2.5118864315095717e+25,3.1622776601683795e+25
filter,32768,无,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),3.9810717055349856e+17,5.011872336272715e+17
filter,131072,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),1.2589254117941714e+17,1.584893192461111e+17
filter,131072,D≤1.8e13,I 约束集切换,R1 质量内点(Q0<Q*<1),R1 质量内点(Q0<Q*<1) + 数据墙,6.309573444801943e+25,7.943282347242788e+25
filter,131072,无,I 约束集切换,R0 不投质量(Q*=Q0),R1 质量内点(Q0<Q*<1),1.2589254117941714e+17,1.584893192461111e+17
log,2048,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),1e+17,1.2589254117941714e+17
log,2048,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,1e+25,1.2589254117941714e+25
log,2048,无,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),1e+17,1.2589254117941714e+17
log,8192,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),7.943282347242789e+16,1e+17
log,8192,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,1.2589254117941714e+25,1.5848931924611239e+25
log,8192,无,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),7.943282347242789e+16,1e+17
log,32768,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),5.0118723362727144e+16,6.309573444801943e+16
log,32768,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,1.995262314968883e+25,2.5118864315095717e+25
log,32768,无,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),5.0118723362727144e+16,6.309573444801943e+16
log,131072,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),1.5848931924611108e+16,1.9952623149688828e+16
log,131072,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,5.0118723362727555e+25,6.309573444801943e+25
log,131072,无,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),1.5848931924611108e+16,1.9952623149688828e+16
power,2048,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),5.011872336272715e+18,6.309573444801943e+18
power,2048,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,1e+25,1.2589254117941714e+25
power,2048,无,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),5.011872336272715e+18,6.309573444801943e+18
power,8192,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),3.9810717055349857e+18,5.011872336272715e+18
power,8192,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,1.2589254117941714e+25,1.5848931924611239e+25
power,8192,无,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),3.9810717055349857e+18,5.011872336272715e+18
power,32768,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),2.511886431509572e+18,3.1622776601683794e+18
power,32768,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,1.995262314968883e+25,2.5118864315095717e+25
power,32768,无,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),2.511886431509572e+18,3.1622776601683794e+18
power,131072,D≤1.8e13,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),7.943282347242789e+17,1e+18
power,131072,D≤1.8e13,I 约束集切换,R2 质量饱和(Q*=1),R2 质量饱和(Q*=1) + 数据墙,5.0118723362727555e+25,6.309573444801943e+25
power,131072,无,I 约束集切换,R0 不投质量(Q*=Q0),R2 质量饱和(Q*=1),7.943282347242789e+17,1e+18
exp,2048,无,III 边际优先序反转,规模优先,质量优先,2.511886431509572e+18,3.1622776601683794e+18
exp,8192,无,III 边际优先序反转,规模优先,质量优先,2.511886431509572e+18,3.1622776601683794e+18
exp,32768,无,III 边际优先序反转,规模优先,质量优先,1.2589254117941714e+18,1.5848931924611108e+18
exp,131072,无,III 边际优先序反转,规模优先,质量优先,3.9810717055349856e+17,5.011872336272715e+17
power,2048,无,III 边际优先序反转,规模优先,质量优先,1e+19,1.2589254117941713e+19
power,8192,无,III 边际优先序反转,规模优先,质量优先,7.943282347242789e+18,1e+19
power,32768,无,III 边际优先序反转,规模优先,质量优先,3.9810717055349857e+18,5.011872336272715e+18
power,131072,无,III 边际优先序反转,规模优先,质量优先,1.2589254117941714e+18,1.5848931924611108e+18
log,2048,无,III 边际优先序反转,规模优先,质量优先,1.2589254117941714e+18,1.5848931924611108e+18
log,8192,无,III 边际优先序反转,规模优先,质量优先,1e+18,1.2589254117941714e+18
log,32768,无,III 边际优先序反转,规模优先,质量优先,6.309573444801943e+17,7.943282347242789e+17
log,131072,无,III 边际优先序反转,规模优先,质量优先,1.995262314968883e+17,2.511886431509572e+17
filter,2048,无,III 边际优先序反转,规模优先,质量优先,1e+18,1.2589254117941714e+18
filter,8192,无,III 边际优先序反转,规模优先,质量优先,7.943282347242789e+17,1e+18
filter,32768,无,III 边际优先序反转,规模优先,质量优先,3.9810717055349856e+17,5.011872336272715e+17
filter,131072,无,III 边际优先序反转,规模优先,质量优先,1.2589254117941714e+17,1.584893192461111e+17
