g_form,L_ctx,gprime_Q0,gprime_Qtop,C1_analytic_Q_leaves_Q0,C2_analytic_Q_reaches_top,C1_numeric,C2_numeric,C1_rel_diff,C_jump_equal_value_Q0_vs_Qtop,transition_type,C1_rel_diff_numeric_vs_analytic,Cjump_rel_diff_numeric
exp,2048,3559211346.045342,24205727609.564102,3.122678241646683e+18,1.1231934485134002e+19,3.0236028306863565e+18,1.1148901757969076e+19,-0.0317277040070836,4.359311146397124e+18,连续型(Q* 连续离开 Q0),-0.03172770400708369,-0.306403528184654
exp,4096,3559211346.045342,24205727609.564102,2.896454524898773e+18,1.0418231510460103e+19,2.805458005980561e+18,1.0341214243736869e+19,-0.0314165191049884,4.0434989734658627e+18,连续型(Q* 连续离开 Q0),-0.03141651910498833,-0.3061806063534429
exp,8192,3559211346.045342,24205727609.564102,2.5237849775555466e+18,9.077783050929868e+18,2.4451520670510305e+18,9.010675770854748e+18,-0.0311567392641655,3.5232477169074785e+18,连续型(Q* 连续离开 Q0),-0.03115673926416551,-0.30599484807237554
exp,32768,3559211346.045342,24205727609.564102,1.3807192520030252e+18,4.966300578113665e+18,1.3387713144741445e+18,4.92958684309651e+18,-0.0303812215756579,1.927508275613635e+18,连续型(Q* 连续离开 Q0),-0.030381221575657924,-0.3054393947813595
exp,131072,3559211346.045342,24205727609.564102,4.397681941986816e+17,1.5817993540395779e+18,4.257129344228472e+17,1.5701056377450074e+18,-0.0319606100696867,6.139240719482166e+17,连续型(Q* 连续离开 Q0),-0.03196061006968676,-0.3065707082116901
exp,30000,3559211346.045342,24205727609.564102,1.458427130835718e+18,5.245806366938738e+18,1.4137887333138255e+18,5.207028778495809e+18,-0.0306072182682953,2.035989665516631e+18,连续型(Q* 连续离开 Q0),-0.030607218268295155,-0.3056012231991966
power,2048,6302289299.492483,20000000000.0,1.1064384269865955e+19,2.1236093360541396e+18,5.85453083102162e+18,5.85453083102162e+18,-0.4708670009802047,5.842939931453795e+18,跳跃型(Q* 由 Q0 直接跳到 1),-0.47086700098020473,0.0019837444341039845
power,4096,6302289299.492483,20000000000.0,1.026281778534421e+19,1.969763813888287e+18,5.416902556586313e+18,5.416902556586313e+18,-0.4721817467789494,5.419645702211793e+18,跳跃型(Q* 由 Q0 直接跳到 1),-0.4721817467789494,-0.000506148515272975
power,8192,6302289299.492483,20000000000.0,8.942369387456544e+18,1.7163271491810596e+18,4.73412797325434e+18,4.73412797325434e+18,-0.4705957931132997,4.722334410206758e+18,跳跃型(Q* 由 Q0 直接跳到 1),-0.4705957931132997,0.002497401078181083
power,32768,6302289299.492483,20000000000.0,4.892217197299895e+18,9.389730201180486e+17,2.5873949409114875e+18,2.5873949409114875e+18,-0.4711201820026472,2.5835080174552566e+18,跳跃型(Q* 由 Q0 直接跳到 1),-0.47112018200264727,0.001504513796732665
power,131072,6302289299.492483,20000000000.0,1.5582030140425413e+18,2.990690173803359e+17,8.228027412836329e+17,8.228027412836329e+17,-0.4719540818054346,8.228643013973576e+17,跳跃型(Q* 由 Q0 直接跳到 1),-0.47195408180543463,-7.481198737158135e-05
power,30000,6302289299.492483,20000000000.0,5.167554655662066e+18,9.918189687707181e+17,2.729043109719044e+18,2.729043109719044e+18,-0.4718888736418407,2.728909505151692e+18,跳跃型(Q* 由 Q0 直接跳到 1),-0.4718888736418406,4.8958958551059695e-05
log,2048,2562487482.409226,1818181818.1818185,1.508697514785206e+18,,1.2308494726407576e+17,1.2308494726407576e+17,-0.9184164180971696,1.227916567453071e+17,跳跃型(Q* 由 Q0 直接跳到 1),-0.9184164180971695,0.002388521553846168
log,4096,2562487482.409226,1818181818.1818185,1.3993999089717742e+18,,1.1382198786200413e+17,1.1382198786200413e+17,-0.9186637164028144,1.1389596350422493e+17,跳跃型(Q* 由 Q0 直接跳到 1),-0.9186637164028143,-0.000649501878247527
log,8192,2562487482.409226,1818181818.1818185,1.2193474972609605e+18,,9.938577426190782e+16,9.938577426190782e+16,-0.918492657355545,9.924169560390315e+16,跳跃型(Q* 由 Q0 直接跳到 1),-0.918492657355545,0.0014517956099795448
log,32768,2562487482.409226,1818181818.1818185,6.670841400405943e+17,,5.431114643733292e+16,5.431114643733292e+16,-0.9185842636971884,5.429342649442177e+16,跳跃型(Q* 由 Q0 直接跳到 1),-0.9185842636971884,0.00032637363407106434
log,131072,2562487482.409226,1818181818.1818185,2.124706905432392e+17,,1.7299515325321674e+16,1.7299515325321674e+16,-0.9185792860130932,1.7292813538922328e+16,跳跃型(Q* 由 Q0 直接跳到 1),-0.9185792860130931,0.0003875474852175209
log,30000,2562487482.409226,1818181818.1818185,7.046278462230953e+17,,5.737926323874286e+16,5.737926323874286e+16,-0.9185679879864188,5.734909460816925e+16,跳跃型(Q* 由 Q0 直接跳到 1),-0.9185679879864189,0.000526052429942192
filter,2048,2168830884.571795,2.2140641620423588e+16,1.0428605233989388e+18,,1.033261935040061e+18,,-0.0092040959874419,7.207571587391259e+24,连续型(Q* 连续离开 Q0),-0.009204095987441874,-0.9999998566421544
filter,4096,2168830884.571795,2.2140641620423588e+16,9.673105082617888e+17,,9.585955954959695e+17,,-0.0090094263335145,6.685416046254406e+24,连续型(Q* 连续离开 Q0),-0.009009426333514758,-0.9999998566139207
filter,8192,2168830884.571795,2.2140641620423588e+16,8.42852640924785e+17,,8.351705215021204e+17,,-0.0091144276587135,5.825246148213534e+24,连续型(Q* 连续离开 Q0),-0.009114427658713509,-0.9999998566291449
filter,32768,2168830884.571795,2.2140641620423588e+16,4.611101029260754e+17,,4.55902668913678e+17,7.899677177930792e+27,-0.0112932550801913,3.186892078320441e+24,连续型(Q* 连续离开 Q0),-0.011293255080191189,-0.9999998569444281
filter,131072,2168830884.571795,2.2140641620423588e+16,1.4686656459159037e+17,,1.4549191728764806e+17,2.516102229270234e+27,-0.0093598383523503,1.015046094658499e+24,连续型(Q* 连续离开 Q0),-0.009359838352350325,-0.9999998566647189
filter,30000,2168830884.571795,2.2140641620423588e+16,4.870618567506444e+17,,4.8143383020137664e+17,8.344284472895208e+27,-0.0115550550125486,3.366252321322569e+24,连续型(Q* 连续离开 Q0),-0.01155505501254861,-0.9999998569822508
