C,L_ctx,gprime_star_at_Q0,gprime_star_at_Q1
1000000000000000.0,2048,93972367.12650521,
1000000000000000.0,32768,135856309.11780098,
1000000000000000.0,131072,227773686.99169818,
1778279410038922.8,2048,121875472.32305573,
1778279410038922.8,32768,176195970.02998188,
1778279410038922.8,131072,295406222.68938917,
3162277660168379.5,2048,158063796.02277467,
3162277660168379.5,32768,228513626.3317822,
3162277660168379.5,131072,383120876.02533066,
5623413251903491.0,2048,204997480.7207612,10346888249.418642
5623413251903491.0,32768,296365792.27694964,10862779848.636078
5623413251903491.0,131072,496880367.22967124,11782037077.224207
1e+16,2048,265867084.62655726,10700159091.064342
1e+16,32768,384365359.68568575,11292966576.984076
1e+16,131072,644418373.6996727,12353690300.9342
1.7782794100389228e+16,2048,344810686.562967,11105904827.470566
1.7782794100389228e+16,32768,498494456.04574007,11788669188.114988
1.7782794100389228e+16,131072,835764995.8566481,13016046543.897518
3.162277660168379e+16,2048,447194943.13221425,11572966926.400278
3.162277660168379e+16,32768,646511807.1254587,12361363810.797382
3.162277660168379e+16,131072,1083927424.2379875,13785994774.4846
5.6234132519034904e+16,2048,579979765.2418879,12111962115.819696
5.6234132519034904e+16,32768,838479760.0419917,13024951341.296093
5.6234132519034904e+16,131072,1405776576.681041,14684245916.545923
1e+17,2048,752192522.0970029,12735715469.63477
1e+17,32768,1087448503.0281386,13796362642.140657
1e+17,131072,1823192031.5951905,15736366508.348738
1.778279410038923e+17,2048,975540354.9275765,13459805569.920042
1.778279410038923e+17,32768,1410343303.7697244,14696363498.374577
1.778279410038923e+17,131072,2364549983.169843,16974135849.35787
3.1622776601683795e+17,2048,1265206260.3336837,14303286393.079031
3.1622776601683795e+17,32768,1829114941.2441192,15750588578.50589
3.1622776601683795e+17,131072,3066653735.1349597,18437333652.46244
5.6234132519034906e+17,2048,1640881937.826879,15289611750.555874
5.6234132519034906e+17,32768,2372230646.923081,16990909351.12668
5.6234132519034906e+17,131072,3977229591.8903985,20176107847.798378
1e+18,2048,2128107110.2254887,16447859522.468231
1e+18,32768,3076614730.3325386,18457209085.348595
1e+18,131072,5158184687.871564,22254114046.8188
1.7782794100389228e+18,2048,2760003348.737338,17814313399.136112
1.7782794100389228e+18,32768,3990150479.1413293,20199791064.593094
1.7782794100389228e+18,131072,6689797204.361873,24752668121.40173
3.1622776601683794e+18,2048,3579527895.161031,19434597843.9465
3.1622776601683794e+18,32768,5174939407.984952,22282496288.09348
3.1622776601683794e+18,131072,8676190214.911972,27776355357.93128
5.623413251903491e+18,2048,4642391819.7238,21366444069.885445
5.623413251903491e+18,32768,6711529405.574362,24786907866.184536
5.623413251903491e+18,131072,11252398818.64243,31460360757.494747
1e+19,2048,6020851988.45721,23683444055.660988
1e+19,32768,8704374530.705446,27817920064.465546
1e+19,131072,14593565030.139378,35980326037.725914
1.7782794100389229e+19,2048,7808615406.268474,26479967504.609238
1.7782794100389229e+19,32768,11288951475.50238,31511177136.454807
1.7782794100389229e+19,131072,18926806657.066765,41565293938.04434
3.162277660168379e+19,2048,10127218389.449213,29877773039.161842
3.162277660168379e+19,32768,14640970961.845787,36042886544.66261
3.162277660168379e+19,131072,24546722589.00101,48514770260.40705
5.6234132519034905e+19,2048,13134279341.285755,34034741357.62865
5.6234132519034905e+19,32768,18988297588.6293,41642863316.67501
5.6234132519034905e+19,131072,31835348783.572502,57220988932.610176
1e+20,2048,17034226835.068167,39156481283.46923
1e+20,32768,24626455211.962868,48611624451.33345
1e+20,131072,41288183877.12046,68197847577.392876
1.778279410038923e+20,2048,22092175984.644314,45511602194.16256
1.778279410038923e+20,32768,31938759590.696663,57342720611.46081
1.778279410038923e+20,131072,53547809059.14636,82118069610.35226
3.1622776601683794e+20,2048,28651956327.10845,53451628187.70155
3.1622776601683794e+20,32768,41422284321.129326,68351750690.15359
3.1622776601683794e+20,131072,69447723097.45914,99861261791.64638
5.6234132519034906e+20,2048,37159573631.0148,63437235081.412704
5.6234132519034906e+20,32768,53721772665.81372,82313768928.71994
5.6234132519034906e+20,131072,90068754695.52333,122575213089.40866
1e+21,2048,48193339262.642586,76071654687.60579
1e+21,32768,69673306448.71527,100111212089.46538
1e+21,131072,116812714615.11414,151755145172.89023
1.7782794100389228e+21,2048,62503276782.823555,92144122717.14165
1.7782794100389228e+21,32768,90361320496.81842,122895886700.9964
1.7782794100389228e+21,131072,151497806190.55038,189345386396.75565
3.1622776601683794e+21,2048,81062345018.13133,112685227225.12833
3.1622776601683794e+21,32768,117192176892.8923,152167631336.72955
3.1622776601683794e+21,131072,196481857458.49097,237870641244.17667
5.623413251903491e+21,2048,105132080974.38197,139038812056.44916
5.623413251903491e+21,32768,151989918801.69345,189877364715.41394
5.623413251903491e+21,131072,254822919699.72238,300607626629.8977
1e+22,2048,136348704817.92856,172952836490.25604
1e+22,32768,197120282291.16397,238558096488.45157
1e+22,131072,330487205707.4835,381804594571.8131
1.7782794100389228e+22,2048,176834723311.30182,216699346847.11517
1.7782794100389228e+22,32768,255650610461.82407,301496806378.8965
1.7782794100389228e+22,131072,428618304473.8784,486970157171.69403
3.1622776601683792e+22,2048,229341859007.34494,273226062427.37607
3.1622776601683792e+22,32768,331560618584.05206,382955717292.29346
3.1622776601683792e+22,131072,555887380158.8003,623245772073.0507
5.623413251903491e+22,2048,297440286276.6006,346357406464.52655
5.623413251903491e+22,32768,430010645182.54645,488461507378.87604
5.623413251903491e+22,131072,720946115545.484,799892123310.4366
1e+23,2048,385758652862.06256,441051326539.2108
1e+23,32768,557694193691.5217,625178958378.1912
1e+23,131072,935016165597.606,1028910970419.9073
1.7782794100389228e+23,2048,500301576205.91406,563737888162.6832
1.7782794100389228e+23,32768,723288841055.9791,802397762133.3391
1.7782794100389228e+23,131072,1212648983778.1038,1325874847239.9307
3.162277660168379e+23,2048,648854988126.3217,722748409369.8512
3.162277660168379e+23,32768,938053327356.4404,1032161384411.9546
3.162277660168379e+23,131072,1572719202634.9753,1710964928178.2104
5.623413251903491e+23,2048,841518846340.5459,928892966748.536
5.623413251903491e+23,32768,1216588274686.2068,1330087190351.1204
5.623413251903491e+23,131072,2039705872362.6543,2210361614660.1523
1e+24,2048,1091390779438.6213,1196179513146.2913
1e+24,32768,1577827508003.6423,1716426192819.781
1e+24,131072,2645352014836.6445,2858013008184.4126
1.7782794100389228e+24,2048,1415455042156.251,1542774573955.964
1.7782794100389228e+24,32768,2046332110474.991,2217445971696.768
1.7782794100389228e+24,131072,3430832122935.2764,3697947507713.477
3.1622776601683796e+24,2048,1835745258978.7188,1992247697757.5098
3.1622776601683796e+24,32768,2653945777708.6934,2867202329952.922
3.1622776601683796e+24,131072,4449547685689.089,4787264667624.678
5.62341325190349e+24,2048,2380831275173.7314,2575148272472.81
5.62341325190349e+24,32768,3441978502172.5537,3709859844714.2925
5.62341325190349e+24,131072,5770744116605.189,6200018169195.406
1e+25,2048,3087768394787.4517,3331107318849.609
1e+25,32768,4464001742383.978,4802721308924.848
1e+25,131072,7484236834988.646,8032253725842.936
1.7782794100389228e+25,2048,4004613265839.283,4311495466858.262
1.7782794100389228e+25,32768,5789486984963.948,6220063979588.515
1.7782794100389228e+25,131072,9706534257151.03,10408498100899.367
3.1622776601683795e+25,2048,5193708765136.437,5582985299765.355
3.1622776601683795e+25,32768,7508568939830.421,8058245694361.978
3.1622776601683795e+25,131072,12588680420259.96,13490350909045.004
