C,mixture,dM6,L,N,D,Q,rank_within_C
1e+17,p_ref,0.0,4.3448772504998345,27635760.964508068,564543803.357952,0.6804916175120665,4.0
1e+17,p*(Q1集成),-0.07360941790188491,4.281061594834975,27635750.8142256,564544010.7081741,0.6804916175120665,2.0
1e+17,p_M6opt(信赖域),-0.13069652584170388,4.231569949240832,27635760.177324213,564543819.4385579,0.6804916175120665,1.0
1e+17,均匀 1/17,-0.05185957724651136,4.299917610567616,27635756.131619524,564543902.0843,0.6804916175120665,3.0
1e+17,单一 pile_cc,1.3597955103792794,5.523751429082022,27635761.32778765,564543795.9368705,0.6804916175120665,5.0
1e+17,单一 github,1.6788834613337107,5.800384601647769,27635761.91049663,564543784.0332819,0.6804916175120665,6.0
1e+19,p_ref,0.0,2.9423111399110105,439519487.15623677,1696910629.2083309,0.9841870086422336,4.0
1e+19,p*(Q1集成),-0.07360941790188491,2.9034459125471614,439519343.40754414,1696910911.4115393,0.9841870059772586,2.0
1e+19,p_M6opt(信赖域),-0.13069652584170388,2.8733043424482956,439519598.2836936,1696910025.285802,0.9841870715560986,1.0
1e+19,均匀 1/17,-0.05185957724651136,2.914929667293395,439519587.6901229,1696909977.7641673,0.9841870821369544,3.0
1e+19,单一 pile_cc,1.3597955103792794,3.66027309621505,439519523.5050214,1696910361.0690744,0.9841870403581862,5.0
1e+19,单一 github,1.6788834613337107,3.8287491705597807,439519535.90744716,1696910289.5623615,0.9841870480273859,6.0
1e+22,p_ref,0.0,2.0547077882723777,4732522989.064613,296079913247.3549,1.0,4.0
1e+22,p*(Q1集成),-0.07360941790188491,2.0374914578481724,4732522368.410889,296079948121.0716,1.0,2.0
1e+22,p_M6opt(信赖域),-0.13069652584170388,2.024139490922358,4732526012.707326,296079743352.9644,1.0,1.0
1e+22,均匀 1/17,-0.05185957724651136,2.042578475978054,4732527299.374152,296079671056.95654,1.0,3.0
1e+22,单一 pile_cc,1.3597955103792794,2.3727471028509437,4732526166.784468,296079734695.5837,1.0,5.0
1e+22,单一 github,1.6788834613337107,2.447377819335304,4732525062.082534,296079796767.26355,1.0,6.0
1e+24,p_ref,0.0,1.8670957019425574,34050691678.699432,4510754552620.894,1.0,4.0
1e+24,p*(Q1集成),-0.07360941790188491,1.8564097072764354,34050710693.405,4510752072809.3,1.0,2.0
1e+24,p_M6opt(信赖域),-0.13069652584170388,1.8481222822656478,34050670314.815735,4510757338804.889,1.0,1.0
1e+24,均匀 1/17,-0.05185957724651136,1.8595671657628199,34050688984.898426,4510754903934.414,1.0,3.0
1e+24,单一 pile_cc,1.3597955103792794,2.0644993492625665,34050682723.170517,4510755720561.2705,1.0,5.0
1e+24,单一 github,1.6788834613337107,2.1108218476481544,34050695112.036476,4510754104860.458,1.0,6.0
1e+26,p_ref,0.0,1.7771774462169991,268271819480.8181,58039782712680.41,1.0,4.0
1e+26,p*(Q1集成),-0.07360941790188491,1.7704859900467793,268271413024.60257,58039870472739.95,1.0,2.0
1e+26,p_M6opt(信赖域),-0.13069652584170388,1.7652964926760366,268271443799.88516,58039863827880.54,1.0,1.0
1e+26,均匀 1/17,-0.05185957724651136,1.772463156958342,268271210687.15308,58039914160562.04,1.0,3.0
1e+26,单一 pile_cc,1.3597955103792794,1.9007895099652496,268271526637.83658,58039845941893.43,1.0,5.0
1e+26,单一 github,1.6788834613337107,1.9297961656231124,268271516507.44824,58039848129199.4,1.0,6.0
