C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,Q0_scenario,Q0,regime
1e+19,2048,exp,471123913.2833704,1476746957.2969873,1.0,2.9155168843623294,3.1345192117402823,4.1743848327064013e+18,5.540643829380841e+18,2.8497133791275702e+17,0.41743848327064015,0.5540643829380841,0.028497133791275702,False,True,False,github 域(最低),0.5567680249763688,R2 质量饱和(Q*=1)
1e+19,2048,power,507289820.9517182,1286826750.2901485,1.0,2.9428649980516783,2.5366697637968643,3.9167646705034245e+18,5.815850861323542e+18,2.6738446817303382e+17,0.3916764670503424,0.5815850861323542,0.026738446817303384,False,True,False,github 域(最低),0.5567680249763688,R2 质量饱和(Q*=1)
1e+19,2048,log,302640914.9910506,3365556995.107963,1.0,2.78296149490639,11.120627874150744,6.111331490724028e+18,3.4714682795092106e+18,4.172002297667604e+17,0.6111331490724028,0.34714682795092106,0.04172002297667604,False,True,False,github 域(最低),0.5567680249763688,R2 质量饱和(Q*=1)
1e+19,2048,filter,335613618.703065,2987039896.6860213,0.869467159905853,2.9082457777977964,8.900234466733046,6.01494761362335e+18,3.5744319626199634e+18,4.1062042375668736e+17,0.601494761362335,0.35744319626199633,0.04106204237566874,False,False,False,github 域(最低),0.5567680249763688,R1 质量内点(Q0<Q*<1)
1e+22,2048,exp,4777390704.264988,290925268815.52454,1.0,2.0380114892574075,60.89626886823443,8.339182049250478e+21,1.091529789520689e+21,5.692881612288327e+20,0.8339182049250479,0.1091529789520689,0.05692881612288327,False,True,False,github 域(最低),0.5567680249763688,R2 质量饱和(Q*=1)
1e+22,2048,power,4885319103.376732,279076488432.15936,1.0,2.039268555852467,57.12553929983033,8.180266201445542e+21,1.261294292535775e+21,5.5843950601868234e+20,0.8180266201445543,0.1261294292535775,0.05584395060186823,False,True,False,github 域(最低),0.5567680249763688,R2 质量饱和(Q*=1)
1e+22,2048,log,4357094390.96751,345319352184.8379,1.0,2.033210562975264,79.25450339122865,9.027534074982548e+21,3.561862654986413e+20,6.162796595188087e+20,0.9027534074982548,0.03561862654986413,0.061627965951880866,False,True,False,github 域(最低),0.5567680249763688,R2 质量饱和(Q*=1)
1e+22,2048,filter,5183519474.42152,255172748711.14163,0.9657497753171248,2.051541366973682,49.227701365898476,7.936157473715229e+21,1.522067509412477e+21,5.4177501687229304e+20,0.7936157473715229,0.1522067509412477,0.054177501687229304,False,False,False,github 域(最低),0.5567680249763688,R1 质量内点(Q0<Q*<1)
1e+24,2048,exp,34105080785.946377,4497376551496.909,1.0,1.8564465184738725,131.86822748562835,9.20300343681738e+23,1.6873819522921912e+22,6.282583679533999e+22,0.9203003436817381,0.016873819522921912,0.06282583679534,False,True,False,github 域(最低),0.5567680249763688,R2 质量饱和(Q*=1)
1e+24,2048,power,34238661183.33253,4464771023814.248,1.0,1.8565370877402219,130.40144881563623,9.172066940732203e+23,2.0178662278047667e+22,6.261464364873185e+22,0.9172066940732203,0.020178662278047668,0.06261464364873184,False,True,False,github 域(最低),0.5567680249763688,R2 质量饱和(Q*=1)
1e+24,2048,log,33623690870.888794,4617959059872.487,1.0,1.8561216316963614,137.3424195935221,9.316369673014365e+23,4.763282397452092e+21,6.35997503011114e+22,0.9316369673014365,0.004763282397452092,0.0635997503011114,False,True,False,github 域(最低),0.5567680249763688,R2 质量饱和(Q*=1)
1e+24,2048,filter,36520264483.51466,3991617694468.2144,0.986933229701682,1.8597437696239583,109.29870719501608,8.746496035143373e+23,6.56409835524173e+22,5.970941293324543e+22,0.8746496035143373,0.0656409835524173,0.05970941293324543,False,False,False,github 域(最低),0.5567680249763688,R1 质量内点(Q0<Q*<1)
1e+19,2048,exp,462855888.44435525,1526223259.5210123,1.0,2.909203486655801,3.2974048675292926,4.2385285365002276e+18,5.472121248741357e+18,2.8935021475841555e+17,0.42385285365002273,0.5472121248741356,0.028935021475841555,False,True,False,wikipedia 域,0.63403127157961,R2 质量饱和(Q*=1)
1e+19,2048,power,492222341.97054565,1361109810.3744035,1.0,2.9315243841943737,2.765233705006937,4.019811951249445e+18,5.705768886211926e+18,2.744191625386288e+17,0.4019811951249445,0.5705768886211926,0.02744191625386288,False,True,False,wikipedia 域,0.63403127157961,R2 质量饱和(Q*=1)
1e+19,2048,log,283047821.99387103,3812063771.8626847,1.0,2.76721550925044,13.467914167328336,6.473978087564843e+18,3.084065008324064e+18,4.4195690411109325e+17,0.6473978087564843,0.30840650083240645,0.04419569041110932,False,True,False,wikipedia 域,0.63403127157961,R2 质量饱和(Q*=1)
1e+19,2048,filter,323023165.4762401,3213775236.9043775,0.8654999097842462,2.9009470996422584,9.949054991663642,6.228743100924032e+18,3.3460413700528865e+18,4.2521552902308064e+17,0.6228743100924032,0.3346041370052886,0.042521552902308066,False,False,False,wikipedia 域,0.63403127157961,R1 质量内点(Q0<Q*<1)
1e+22,2048,exp,4753442661.766439,293659311120.739,1.0,2.03773371153188,61.77823779862562,8.375356185037587e+21,1.0528861660638461e+21,5.71757648898566e+20,0.8375356185037587,0.10528861660638461,0.0571757648898566,False,True,False,wikipedia 域,0.63403127157961,R2 质量饱和(Q*=1)
1e+22,2048,power,4839747231.536749,283987307546.24243,1.0,2.038736759999211,58.67812800133962,8.246560712931013e+21,1.1904740757328974e+21,5.629652113360905e+20,0.8246560712931013,0.11904740757328974,0.05629652113360905,False,True,False,wikipedia 域,0.63403127157961,R2 质量饱和(Q*=1)
1e+22,2048,log,4319485092.946619,350936306599.51373,1.0,2.0327898218334837,81.24493985928213,9.095184869582063e+21,2.839171766544707e+20,6.208979537634689e+20,0.9095184869582063,0.02839171766544707,0.06208979537634689,False,True,False,wikipedia 域,0.63403127157961,R2 质量饱和(Q*=1)
1e+22,2048,filter,5168156040.840668,256597333484.6631,0.9656773649195514,2.0513779759047055,49.64968771394221,7.956810354674213e+21,1.5000047251133602e+21,5.431849202124263e+20,0.7956810354674213,0.15000047251133602,0.054318492021242636,False,False,False,wikipedia 域,0.63403127157961,R1 质量内点(Q0<Q*<1)
1e+24,2048,exp,34075957326.011505,4504531768651.981,1.0,1.8564268075037524,132.19090884391667,9.209773939334883e+23,1.6150549307318845e+22,6.287205675919281e+22,0.9209773939334883,0.016150549307318844,0.06287205675919282,False,True,False,wikipedia 域,0.63403127157961,R2 质量饱和(Q*=1)
1e+24,2048,power,34181766313.097565,4478612338620.306,1.0,1.856498500361987,131.02343213036997,9.18521282194048e+23,1.8774331608171566e+22,6.270438619778035e+22,0.918521282194048,0.018774331608171567,0.06270438619778035,False,True,False,wikipedia 域,0.63403127157961,R2 质量饱和(Q*=1)
1e+24,2048,log,33583759360.628628,4628183501169.511,1.0,1.8560947904319929,137.81016745240518,9.325908058806512e+23,3.7443284378962897e+21,6.366486568145246e+22,0.9325908058806512,0.00374432843789629,0.06366486568145246,False,True,False,wikipedia 域,0.63403127157961,R2 质量饱和(Q*=1)
1e+24,2048,filter,36502898321.30106,3995163516141.6797,0.986928926851459,1.8597322189886185,109.44784386642318,8.750102856401484e+23,6.525567886015093e+22,5.973403549970079e+22,0.8750102856401484,0.06525567886015093,0.05973403549970079,False,False,False,wikipedia 域,0.63403127157961,R1 质量内点(Q0<Q*<1)
1e+19,2048,exp,439519343.40754414,1696910911.4115393,0.9841870059772586,2.9034459125471614,3.86083328723505,4.4749510176281825e+18,5.219558992901733e+18,3.054899894700839e+17,0.44749510176281826,0.5219558992901734,0.03054899894700839,False,False,False,Pile 自然配比 Q_ref,0.6804916175120665,R1 质量内点(Q0<Q*<1)
