g_form,gamma_factor,lambda_factor,gamma,lam,gprime_Q0,C1_Q_leaves_Q0
exp,1.0,1.0,10000000.0,6.0,3559211346.045342,3.122677819862802e+18
exp,0.5,1.0,5000000.0,6.0,1779605673.022671,6.73033646193393e+17
exp,2.0,1.0,20000000.0,6.0,7118422692.090684,1.448830134856629e+19
exp,1.0,0.8,10000000.0,4.800000000000001,1258355230.9786148,3.12449118078009e+17
exp,1.0,1.2,10000000.0,7.199999999999999,9664414062.257631,2.851166863968364e+19
power,1.0,1.0,5000000000.0,4.0,6302289299.492483,1.1064385435238724e+19
power,0.5,1.0,2500000000.0,4.0,3151144649.7462416,2.384717815457196e+18
power,2.0,1.0,10000000000.0,4.0,12604578598.984966,5.133550251043099e+19
power,1.0,0.8,5000000000.0,3.2,6860094499.127966,1.3349780184205314e+19
power,1.0,1.2,5000000000.0,4.8,5558246523.100306,8.377771845154614e+18
log,1.0,1.0,2000000000.0,10.0,2562487482.409226,1.508697448051862e+18
log,0.5,1.0,1000000000.0,10.0,1281243741.204613,3.251709616521266e+17
log,2.0,1.0,4000000000.0,10.0,5124974964.818452,6.999909867757021e+18
log,1.0,0.8,2000000000.0,8.0,2482955696.270842,1.406973231475014e+18
log,1.0,1.2,2000000000.0,12.0,2618400980.206792,1.5825499690261082e+18
