C,g_form,,N,D,Q,L,share_quality,tpp
1e+19,exp,0.025,341271369.8236304,1508594671.1685696,0.8879428343352338,2.8418832639112876,0.3669613467161055,3.082121249865828
1e+19,exp,0.5,441118482.94222397,1647655844.5397153,0.9907633111376433,2.897442337244196,0.5211120724103633,3.7672688920677757
1e+19,exp,0.975,490399698.8760691,2820752928.568052,1.0,2.943634482298165,0.5526446989678462,8.261862843935319
1e+19,filter,0.025,289419039.0532062,2960234572.5804067,0.8450287137306668,2.8526235293444953,0.24712342811941237,8.594950328203849
1e+19,filter,0.5,311084005.5014105,3439015780.369608,0.8629888733698897,2.8904716576665326,0.31526954660788425,11.019198158004208
1e+19,filter,0.975,346745642.704103,3991142199.9079523,0.8794142961382425,2.929868223411732,0.3519818406684914,13.63201601646617
1e+19,log,0.025,245997867.12250572,3790153324.7473307,1.0,2.7098498440782963,0.24194672569295322,12.72583667568381
1e+19,log,0.5,271895976.1191616,4130842025.595724,1.0,2.752280629344683,0.2811380203507219,15.176793880051934
1e+19,log,0.975,298300839.741953,4455159129.215684,1.0,2.7994163711367026,0.3159288657621144,18.097922322166344
1e+19,power,0.025,221207710.86648217,1359001227.6085315,0.7120844753134371,2.8613160225869776,0.0,2.642347340462878
1e+19,power,0.5,478998074.63230944,1429762762.41396,1.0,2.9170939073962323,0.5582514178774758,2.9800917853107296
1e+19,power,0.975,516340210.6837929,7052917614.165591,1.0,2.95608212084609,0.5835680997445754,31.88368789920998
1e+22,exp,0.025,4190796579.1017585,268478999717.98376,1.0,2.0171928650865185,0.08930283717032857,50.91276263181875
1e+22,exp,0.5,4749791978.591852,295596195197.20264,1.0,2.0331974416486887,0.1006994811488609,62.296827660871415
1e+22,exp,0.975,5273482198.201563,329943665393.8305,1.0,2.0519801461799805,0.11488913237932204,78.73097283409942
1e+22,filter,0.025,4633335234.949576,233461156689.61862,0.9631818384893379,2.0309342469939806,0.13491029568653998,40.93980055043783
1e+22,filter,0.5,5179947538.011944,256391937396.54227,0.9657034535860934,2.04686512544835,0.14794015866388766,49.42712836755956
1e+22,filter,0.975,5709682588.74858,283626039081.5706,0.9689974803425918,2.065185352212972,0.16056874315186417,61.34181045197173
1e+22,log,0.025,3764151262.1601214,315701918994.66406,1.0,2.0126155287611645,0.018664694237517723,65.31307656661473
1e+22,log,0.5,4316865564.281389,353226528779.00385,1.0,2.028301427850156,0.02403753308378338,81.78996199918979
1e+22,log,0.975,4833838912.924811,402931040137.9278,1.0,2.0470925134662314,0.02969362748087731,107.0452170147656
1e+22,power,0.025,4259592933.699685,262047952128.48978,1.0,2.0180746228335154,0.09774443286038319,48.97078005661547
1e+22,power,0.5,4812352652.4780445,287606119710.4665,1.0,2.033960367489099,0.11173190577061756,59.80750731224844
1e+22,power,0.975,5345747466.030745,319583701507.2364,1.0,2.0525531197049474,0.1274529789124647,75.14649153172671
1e+24,exp,0.025,29769785086.456234,4014510107715.6587,1.0,1.8438270825807865,0.013267766672532556,104.74901299454788
1e+24,exp,0.5,34231333956.110558,4488174964467.055,1.0,1.8531033356086748,0.015305156654426041,131.11465216282141
1e+24,exp,0.975,38325534784.218956,5147809791728.451,1.0,1.8621331494616922,0.017967016677492908,172.9244731380796
1e+24,filter,0.025,32254906244.311005,3578185098209.824,0.9860420582235976,1.8470571762481265,0.05906910070969527,87.64907596440243
1e+24,filter,0.5,36677467496.94892,3977686106919.093,0.9869710212235676,1.85649533891368,0.06489380435574413,108.61424352762592
1e+24,filter,0.975,40824702007.44146,4500671410606.9375,0.9881736267736448,1.8653196436214006,0.07147203491603282,139.5361793212292
1e+24,log,0.025,29282126041.552753,4111784226647.9966,1.0,1.843523012488262,0.002416044179022606,108.67605322356616
1e+24,log,0.5,33744607232.507835,4609471130904.218,1.0,1.8527676609031898,0.003143702852680878,136.5987715599068
1e+24,log,0.975,37835714741.677376,5308529443342.583,1.0,1.8618220133120995,0.003925847593467224,181.2934141443649
1e+24,power,0.025,29855295382.07001,3997720057901.2812,1.0,1.8438892959289919,0.014768446050262058,104.07643064051287
1e+24,power,0.5,34310517971.682213,4467924073824.081,1.0,1.853163553594435,0.01736240823963061,130.2214069255012
1e+24,power,0.975,38411986136.07317,5120391725497.611,1.0,1.862170853080436,0.0204456902268825,171.51034185638457
