    g_form   L_ctx      transition_type  C1_analytic_Q_leaves_Q0  C_jump_equal_value_Q0_vs_Qtop    C1_numeric  C2_analytic_Q_reaches_top    C2_numeric
0      exp    2048      连续型(Q* 连续离开 Q0)             3.122678e+18                   4.359311e+18  3.023603e+18               1.123193e+19  1.114890e+19
1      exp    4096      连续型(Q* 连续离开 Q0)             2.896455e+18                   4.043499e+18  2.805458e+18               1.041823e+19  1.034121e+19
2      exp    8192      连续型(Q* 连续离开 Q0)             2.523785e+18                   3.523248e+18  2.445152e+18               9.077783e+18  9.010676e+18
3      exp   32768      连续型(Q* 连续离开 Q0)             1.380719e+18                   1.927508e+18  1.338771e+18               4.966301e+18  4.929587e+18
4      exp  131072      连续型(Q* 连续离开 Q0)             4.397682e+17                   6.139241e+17  4.257129e+17               1.581799e+18  1.570106e+18
5      exp   30000      连续型(Q* 连续离开 Q0)             1.458427e+18                   2.035990e+18  1.413789e+18               5.245806e+18  5.207029e+18
6    power    2048  跳跃型(Q* 由 Q0 直接跳到 1)             1.106438e+19                   5.842940e+18  5.854531e+18               2.123609e+18  5.854531e+18
7    power    4096  跳跃型(Q* 由 Q0 直接跳到 1)             1.026282e+19                   5.419646e+18  5.416903e+18               1.969764e+18  5.416903e+18
8    power    8192  跳跃型(Q* 由 Q0 直接跳到 1)             8.942369e+18                   4.722334e+18  4.734128e+18               1.716327e+18  4.734128e+18
9    power   32768  跳跃型(Q* 由 Q0 直接跳到 1)             4.892217e+18                   2.583508e+18  2.587395e+18               9.389730e+17  2.587395e+18
10   power  131072  跳跃型(Q* 由 Q0 直接跳到 1)             1.558203e+18                   8.228643e+17  8.228027e+17               2.990690e+17  8.228027e+17
11   power   30000  跳跃型(Q* 由 Q0 直接跳到 1)             5.167555e+18                   2.728910e+18  2.729043e+18               9.918190e+17  2.729043e+18
12     log    2048  跳跃型(Q* 由 Q0 直接跳到 1)             1.508698e+18                   1.227917e+17  1.230849e+17                        NaN  1.230849e+17
13     log    4096  跳跃型(Q* 由 Q0 直接跳到 1)             1.399400e+18                   1.138960e+17  1.138220e+17                        NaN  1.138220e+17
14     log    8192  跳跃型(Q* 由 Q0 直接跳到 1)             1.219347e+18                   9.924170e+16  9.938577e+16                        NaN  9.938577e+16
15     log   32768  跳跃型(Q* 由 Q0 直接跳到 1)             6.670841e+17                   5.429343e+16  5.431115e+16                        NaN  5.431115e+16
16     log  131072  跳跃型(Q* 由 Q0 直接跳到 1)             2.124707e+17                   1.729281e+16  1.729952e+16                        NaN  1.729952e+16
17     log   30000  跳跃型(Q* 由 Q0 直接跳到 1)             7.046278e+17                   5.734909e+16  5.737926e+16                        NaN  5.737926e+16
18  filter    2048      连续型(Q* 连续离开 Q0)             1.042861e+18                   7.207572e+24  1.033262e+18                        NaN           NaN
19  filter    4096      连续型(Q* 连续离开 Q0)             9.673105e+17                   6.685416e+24  9.585956e+17                        NaN           NaN
20  filter    8192      连续型(Q* 连续离开 Q0)             8.428526e+17                   5.825246e+24  8.351705e+17                        NaN           NaN
21  filter   32768      连续型(Q* 连续离开 Q0)             4.611101e+17                   3.186892e+24  4.559027e+17                        NaN  7.899677e+27
22  filter  131072      连续型(Q* 连续离开 Q0)             1.468666e+17                   1.015046e+24  1.454919e+17                        NaN  2.516102e+27
23  filter   30000      连续型(Q* 连续离开 Q0)             4.870619e+17                   3.366252e+24  4.814338e+17                        NaN  8.344284e+27
