run_id,N_params_B,D_tokens_B,C_FLOPs_1e21,C_over_6ND
8,0.070542,0.134,0.0001,1.7631780989018788
9,0.070542,0.268,0.0001,0.8815890494509394
10,0.070542,0.537,0.0002,0.8799473566214219
11,0.070542,1.074,0.0005,1.0999341957767772
162,0.162405,0.134,0.0001,0.765851479035352
163,0.162405,0.268,0.0003,1.1487772185530278
164,0.162405,0.537,0.0005,0.955531640509657
165,0.162405,1.074,0.001,0.955531640509657
166,0.162405,2.097,0.002,0.9787706074462295
316,0.409009,0.134,0.0003,0.912288796476872
317,0.409009,0.268,0.0007,1.0643369292230174
470,1.040867,0.134,0.0008,0.9559577502427212
624,1.416184,0.134,0.0011,0.9660885901691445
