model_name,N_params_B,D_tokens_B,FLOPs,publication_date,organization,accessibility,country,family,N_params_B_B10,D_tokens_B_B10,val_loss,is_converged,FLOPs_over_6ND,tokens_per_param,is_open,usable_LLM_row
Ling-flash-base-2.0-20T,100.0,20000.0,7.32e+23,2025-09-10,Ant Group,Open weights (unrestricted),China,Ling-flash-base-2.0-20T,100.0,20000.0,1.8412,1.0,0.061,200.0,True,True
FaXin,100.0,3670.0,,2024-11-15,,,,FaXin,100.0,3670.0,1.8882,1.0,,36.7,False,True
PLaMo-100B,100.0,2000.0,1.2e+24,2024-06-14,Preferred Networks Inc,API access,Japan,PLaMo-100B,100.0,2000.0,1.9112,1.0,1.0,20.0,False,True
Yi-Large,100.0,3000.0,1.8e+24,2024-05-13,01.AI,API access,China,Yi-Large,100.0,3000.0,1.8954,1.0,1.0,30.0,False,True
Hunyuan,100.0,2000.0,1.2e+24,2023-09-07,Tencent,API access,China,Hunyuan,100.0,2000.0,1.9112,1.0,1.0,20.0,False,True
Luca 2.0,100.0,2000.0,1.2e+24,2023-08-29,Mianbi Intelligence,Hosted access (no API),China,Luca 2.0,100.0,2000.0,1.9112,1.0,1.0,20.0,False,True
xTrimoPGLM -100B,100.0,275.0,6.2e+23,2023-07-06,"Tsinghua University,BioMap Research",Unreleased,"China,China",xTrimoPGLM -100B,100.0,275.0,2.0206,1.0,3.757575757575757,2.75,False,True
YaLM,100.0,300.0,2.2e+23,2022-06-23,Yandex,Open weights (unrestricted),Russia,YaLM,100.0,300.0,2.0144,1.0,1.2222222222222223,3.0,True,True
DLRM-2020,100.0,0.0,4e+18,2019-05-31,Facebook AI,Unreleased,United States of America,,,,,,inf,0.0,False,False
FLM-101B,101.0,311.5,5.72e+22,2023-09-07,"Chinese Academy of Sciences,Harbin Institute of Technology,Nanyang Technological University,Beijing Academy of Artificial Intelligence / BAAI",Open weights (unrestricted),"China,China,Singapore,China",FLM-101B,101.0,311.5,2.0116,1.0,0.30301585535760645,3.0841584158415842,True,True
Solar Open 100B,102.0,19700.0,,2025-12-31,Upstage,API access,Korea (Republic of),Solar Open 100B,102.0,19700.0,1.841,1.0,,193.13725490196077,False,True
Odyssey 102B,102.0,179.7,1.1e+23,2025-10-18,Anthrogen,Unreleased,United States of America,Odyssey 102B,102.0,179.7,2.0526,1.0,1.0002145914941751,1.761764705882353,False,True
Yuan 2.0,102.6,289.1,1.78e+23,2023-11-27,Inspur,Open weights (restricted use),China,Yuan 2.0,102.6,289.1,2.0164,1.0,1.0001687925310543,2.8177387914230025,True,True
InternLM,104.0,1600.0,9.984e+23,2023-07-06,"Shanghai AI Lab,SenseTime",Unreleased,"China,Hong Kong",InternLM,104.0,1600.0,1.9197,1.0,1.0,15.384615384615385,False,True
Ring-flash-linear-2.0,104.2,1000.0,7.686e+23,2025-10-23,Ant Group,Open weights (unrestricted),China,Ring-flash-linear-2.0,104.2,1000.0,1.9417,1.0,1.2293666026871402,9.596928982725528,True,True
GLM-4.5-Air,106.0,2603.8,1.656e+24,2025-08-05,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China",GLM-4.5-Air,106.0,2603.8,1.8993,1.0,0.9999898551753823,24.56415094339623,True,True
GLM-4.5V,108.0,2013.3,1.8e+24,2025-08-15,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China",GLM-4.5V,108.0,2013.3,1.909,1.0,1.3797137921709521,18.641666666666666,True,True
Llama 4 Scout,109.0,30000.0,4.08e+24,2025-04-05,Meta AI,Open weights (restricted use),United States of America,Llama 4 Scout,109.0,30000.0,1.8308,1.0,0.20795107033639146,275.22935779816515,True,True
Telechat2-115B,115.0,10000.0,6.9e+24,2024-09-20,China Telecom,Open weights (restricted use),China,Telechat2-115B,115.0,10000.0,1.8543,1.0,1.0,86.95652173913044,True,True
gpt-oss-120b,116.8,7047.3,4.94e+24,2025-08-05,OpenAI,Open weights (unrestricted),United States of America,gpt-oss-120b,116.8,7047.3,1.8636,1.0,1.0002535379494089,60.33647260273973,True,True
Galactica,120.0,106.0,3.24e+23,2022-11-16,Meta AI,Open weights (non-commercial),United States of America,Galactica,120.0,106.0,2.0947,1.0,4.245283018867926,0.8833333333333333,True,True
Mistral Large 2,123.0,28861.8,2.13e+25,2024-07-24,Mistral AI,Open weights (non-commercial),France,Mistral Large 2,123.0,28861.8,1.8286,1.0,0.9999996056339585,234.64878048780488,True,True
Step-Audio-Chat 130B,130.0,1668.0,1.925e+24,2025-02-18,StepFun,Open weights (unrestricted),China,Step-Audio-Chat 130B,130.0,1668.0,1.9126,1.0,1.4795855623193752,12.830769230769231,True,True
Step-1,130.0,800.0,6.24e+23,2025-02-18,StepFun,Unreleased,China,Step-1,130.0,800.0,1.948,1.0,1.0,6.153846153846154,False,True
Step-Omni,130.0,2468.0,2.549e+24,2025-02-18,StepFun,Unreleased,China,Step-Omni,130.0,2468.0,1.8965,1.0,1.324128329800939,18.984615384615385,False,True
BlueLM 130B,130.0,1000.0,7.8e+23,2023-11-02,vivo AI lab,Unreleased,China,BlueLM 130B,130.0,1000.0,1.9364,1.0,1.0,7.6923076923076925,False,True
GLM-130B,130.0,152.0,3.549e+23,2022-08-04,Tsinghua University,Open weights (non-commercial),China,GLM-130B,130.0,152.0,2.0607,1.0,2.993421052631579,1.1692307692307693,True,True
DBRX,132.0,12000.0,2.6e+24,2024-03-27,Databricks,Open weights (restricted use),United States of America,DBRX,132.0,12000.0,1.8464,1.0,0.2735690235690236,90.9090909090909,True,True
Pangu Ultra,135.0,13200.0,1.069e+25,2025-04-10,Huawei,Hosted access (no API),China,Pangu Ultra,135.0,13200.0,1.8436,1.0,0.9998129442573888,97.77777777777777,False,True
MEB,135.0,500.0,,2021-09-04,Microsoft,Hosted access (no API),United States of America,MEB,135.0,500.0,1.9739,1.0,,3.7037037037037037,False,True
BIG-G 137B,137.0,681.2,5.6e+23,2022-06-09,Google,Unreleased,United States of America,BIG-G 137B,137.0,681.2,1.9555,1.0,1.0000957234478156,4.972262773722628,False,True
LaMDA,137.0,2080.0,3.55e+23,2022-02-10,Google,Unreleased,United States of America,LaMDA,137.0,2080.0,1.9021,1.0,0.20763148044169943,15.182481751824817,False,True
FLAN 137B,137.0,2490.0,2.047e+24,2021-09-03,Google Research,Unreleased,United States of America,FLAN 137B,137.0,2490.0,1.8949,1.0,1.0001074859046895,18.175182481751825,False,True
Mixtral 8x22B,141.0,2766.0,2.34e+24,2024-04-17,Mistral AI,Open weights (unrestricted),France,Mixtral 8x22B,141.0,2766.0,1.8903,1.0,0.9999846156212981,19.617021276595743,True,True
dots.llm1,142.0,11328.0,1.216e+24,2025-07-06,Rednote,Open weights (unrestricted),China,dots.llm1,142.0,11328.0,1.8462,1.0,0.12599135301450892,79.77464788732394,True,True
GPT-3 175B (davinci),174.6,238.0,3.14e+23,2020-05-28,OpenAI,API access,United States of America,GPT-3 175B (davinci),174.6,238.0,2.0185,1.0,1.25938118660981,1.3631156930126003,False,True
MegaScale (175B),175.0,300.0,2.739e+23,2024-02-23,"ByteDance,Peking University",Unreleased,"China,China",MegaScale (175B),175.0,300.0,2.0016,1.0,0.8695238095238095,1.7142857142857142,False,True
