family,N_params_B,D_tokens_B,val_loss,is_converged,pred_main
Ling-flash-base-2.0-20T,100.0,20000.0,1.8412,1,1.8414923728739596
FaXin,100.0,3670.0,1.8882,1,1.8885608639479308
PLaMo-100B,100.0,2000.0,1.9112,1,1.911634891281919
Yi-Large,100.0,3000.0,1.8954,1,1.8957923172869162
Hunyuan,100.0,2000.0,1.9112,1,1.911634891281919
Luca 2.0,100.0,2000.0,1.9112,1,1.911634891281919
xTrimoPGLM -100B,100.0,275.0,2.0206,1,2.0213091594062784
YaLM,100.0,300.0,2.0144,1,2.0151158849541257
FLM-101B,101.0,311.5,2.0116,1,2.0122350182238327
"Solar Open 100B
",102.0,19700.0,1.841,1,1.841324641913739
Odyssey 102B,102.0,179.7,2.0526,1,2.053369534463309
Yuan 2.0,102.6,289.1,2.0164,1,2.0170891750025364
InternLM,104.0,1600.0,1.9197,1,1.9201728068785746
Ring-flash-linear-2.0,104.2,1000.0,1.9417,1,1.9422273612159258
GLM-4.5-Air,106.0,2603.8,1.8993,1,1.8996727038305201
GLM-4.5V,108.0,2013.3,1.909,1,1.9094512661845309
Llama 4 Scout,109.0,30000.0,1.8308,1,1.8310439242113936
Telechat2-115B,115.0,10000.0,1.8543,1,1.8546524543707426
gpt-oss-120b,116.8,7047.3,1.8636,1,1.8639636705598293
Galactica,120.0,106.0,2.0947,1,2.09559328640955
Mistral Large 2,123.0,28861.8,1.8286,1,1.8289061745616384
Step-Audio-Chat 130B,130.0,1668.0,1.9126,1,1.913020797565216
Step-1,130.0,800.0,1.948,1,1.948500240340872
Step-Omni,130.0,2468.0,1.8965,1,1.8968841780204058
BlueLM 130B,130.0,1000.0,1.9364,1,1.9369436608719788
GLM-130B,130.0,152.0,2.0607,1,2.061466321099225
DBRX,132.0,12000.0,1.8464,1,1.8467421461231095
Pangu Ultra,135.0,13200.0,1.8436,1,1.8438764216835786
MEB,135.0,500.0,1.9739,1,1.974475387232703
BIG-G 137B,137.0,681.2,1.9555,1,1.9560894566780316
LaMDA,137.0,2080.0,1.9021,1,1.9025162970098994
FLAN 137B,137.0,2490.0,1.8949,1,1.8953433409477256
Mixtral 8x22B,141.0,2766.0,1.8903,1,1.8906696667129528
dots.llm1,142.0,11328.0,1.8462,1,1.8465458878904308
GPT-3 175B (davinci),174.6,238.0,2.0185,1,2.019168551582513
MegaScale (175B),175.0,300.0,2.0016,1,2.002303117071796
BlueLM 175B,175.0,1000.0,1.9299,1,1.9304418188031713
OPT-IML (175B),175.0,2.0,2.77,1,2.7727115344161835
BlenderBot 3,175.0,1.3,2.9007,1,2.903690153741118
OPT-175B,175.0,180.0,2.0402,1,2.0409176307034396
BLUUMI,176.0,38.0,2.1978,1,2.1989329938695987
BLOOMZ-176B,176.0,20.0,2.2857,1,2.287120330586948
XuanYuan 2.0,176.2,366.0,1.9879,1,1.9885614314209392
BLOOM-176B,176.2,379.0,1.9856,1,1.9862515151717943
Jurassic-1-Jumbo,178.0,300.0,2.0013,1,2.001950816102716
Falcon-180B,180.0,3500.0,1.8765,1,1.8768302309715368
SenseChat,180.0,3601.9,1.8754,1,1.8758201716169793
Mi:dm 200B,200.0,1000.0,1.9272,1,1.927728235734653
Amazon Titan,200.0,4000.0,1.8697,1,1.8700679480058733
HyperCLOVA 204B,204.0,560.0,1.9584,1,1.9589323696988812
PanGu-α,207.0,41.2,2.1845,1,2.185632204370169
Qwen3-235B-A22B-Thinking (Jul 2025),235.0,36000.0,1.8108,1,1.811094469054168
Qwen3-235B-A22B (Jul 2025),235.0,36000.0,1.8108,1,1.811094469054168
Qwen3-235B-A22B,235.0,36000.0,1.8108,1,1.811094469054168
K-EXAONE,236.0,11000.0,1.8366,1,1.8368841341588948
DeepSeek-V2.5,236.0,1263.6,1.9127,1,1.9131653826717812
