N_params_B,D_tokens_B,val_loss,step,interpolated,pred
0.070542,0.134,4.7385,0,1,4.739711188187268
0.070542,0.136,4.7325,0,1,4.730694332054274
0.070542,0.138,4.7206,0,1,4.7218456353164475
0.070542,0.14,4.7148,0,1,4.713159592095496
0.070542,0.143,4.7028,0,1,4.700424083906009
0.070542,0.145,4.6893,0,1,4.692122226779741
0.070542,0.147,4.6888,0,1,4.683965668463392
0.070542,0.149,4.6782,0,1,4.675949940355793
0.070542,0.152,4.6683,0,1,4.664181107124541
0.070542,0.154,4.6623,0,1,4.656499157789025
0.070542,0.156,4.6557,0,1,4.6489438646419305
0.070542,0.159,4.6424,0,1,4.637840413605827
0.070542,0.161,4.6357,0,1,4.630586023090047
0.070542,0.164,4.6249,0,1,4.619918028256265
0.070542,0.166,4.6204,0,1,4.612943838665317
0.070542,0.169,4.6124,0,1,4.602681784999286
0.070542,0.172,4.6031,0,1,4.59265030604095
0.070542,0.174,4.5913,0,1,4.586086250814226
0.070542,0.177,4.5817,0,1,4.576419160504139
0.070542,0.18,4.573,0,1,4.566959564192121
0.070542,0.183,4.5675,0,1,4.557699659691723
0.070542,0.185,4.5565,0,1,4.551633665815306
0.070542,0.188,4.5478,0,1,4.542690357617725
0.070542,0.191,4.5431,0,1,4.53392788931771
0.070542,0.194,4.5327,0,1,4.525339848736872
0.070542,0.197,4.5253,0,1,4.51692014577155
0.070542,0.2,4.5174,0,1,4.508662991601522
0.070542,0.203,4.5103,0,1,4.5005628795298716
0.070542,0.207,4.4993,0,1,4.489997993158804
0.070542,0.21,4.4892,0,1,4.48224435275093
0.070542,0.213,4.4785,0,1,4.474631219202891
0.070542,0.216,4.4762,0,1,4.4671541204796785
0.070542,0.22,4.4628,0,1,4.457388912449852
0.070542,0.223,4.4602,0,1,4.450212949578177
0.070542,0.227,4.4468,0,1,4.440834948920784
0.070542,0.23,4.4381,0,1,4.433939178329625
0.070542,0.234,4.4321,0,1,4.424921858890444
0.070542,0.237,4.4191,0,1,4.418287370405701
0.070542,0.241,4.4169,0,1,4.409606743993558
0.070542,0.245,4.4045,0,1,4.401108612932013
0.070542,0.249,4.3966,0,1,4.392786253644611
0.070542,0.253,4.3846,0,1,4.3846332932497925
0.070542,0.256,4.3778,0,1,4.378626092438533
0.070542,0.26,4.3706,0,1,4.370755217292491
0.070542,0.265,4.3621,0,1,4.36113185682879
0.070542,0.269,4.352,0,1,4.3535989936463935
0.070542,0.273,4.3475,0,1,4.3462081662647165
0.070542,0.277,4.3394,0,1,4.338954673510408
0.070542,0.281,4.3319,0,1,4.331834034856272
0.070542,0.286,4.3262,0,1,4.323113571390283
0.070542,0.29,4.318,0,1,4.316276526497601
0.070542,0.295,4.3098,0,1,4.307898059804083
0.070542,0.299,4.3032,0,1,4.301325097605077
0.070542,0.304,4.2945,0,1,4.293265447587327
0.070542,0.309,4.2916,0,1,4.28537372103988
0.070542,0.314,4.2826,0,1,4.277643785751142
0.070542,0.318,4.2751,0,1,4.271572409348694
0.070542,0.323,4.2681,0,1,4.2641192437708115
0.070542,0.328,4.2611,0,1,4.2568123199668655
0.070542,0.334,4.2514,0,1,4.248229980072421
0.070542,0.339,4.249,0,1,4.241227413007796
0.070542,0.344,4.2394,0,1,4.2343558216109285
0.070542,0.349,4.2332,0,1,4.22761090512144
0.070542,0.355,4.2291,0,1,4.219678456113766
0.070542,0.36,4.2221,0,1,4.213198055020253
0.070542,0.366,4.2122,0,1,4.205572004389865
0.070542,0.372,4.206,0,1,4.198104327573516
0.070542,0.377,4.1995,0,1,4.191998075311526
0.070542,0.383,4.1915,0,1,4.184805992458113
0.070542,0.389,4.1858,0,1,4.1777567067493795
0.070542,0.395,4.179,0,1,4.170845245148587
0.070542,0.402,4.1698,0,1,4.162949773393999
0.070542,0.408,4.164,0,1,4.156321018103935
0.070542,0.414,4.1563,0,1,4.14981588544507
0.070542,0.421,4.1503,0,1,4.142377419838134
0.070542,0.427,4.1425,0,1,4.136126500631017
0.070542,0.434,4.1329,0,1,4.128974355544964
0.070542,0.441,4.1278,0,1,4.121968371082964
0.070542,0.447,4.1219,0,1,4.116075596560087
0.070542,0.454,4.1118,0,1,4.109327361563752
0.070542,0.461,4.1049,0,1,4.1027110167171905
0.070542,0.469,4.1007,0,1,4.095305186657398
0.070542,0.476,4.0913,0,1,4.088956516148427
0.070542,0.483,4.0887,0,1,4.082726244843921
0.070542,0.491,4.077,0,1,4.075745948797696
0.070542,0.499,4.0708,0,1,4.0689097392293645
0.070542,0.506,4.0651,0,1,4.063042146458115
0.070542,0.514,4.055,0,1,4.056462256902988
0.070542,0.522,4.0514,0,1,4.050012170611266
0.070542,0.53,4.0444,0,1,4.043687395658505
0.070542,0.539,4.0371,0,1,4.036716499470992
0.070542,0.547,4.0314,0,1,4.030644084403065
0.070542,0.556,4.0241,0,1,4.023947063096333
0.070542,0.564,4.0213,0,1,4.0181096147369715
0.070542,0.573,4.011,0,1,4.011667873043302
0.070542,0.582,4.0087,0,1,4.005354362148612
0.070542,0.591,4.0009,0,1,3.9991646049040765
0.070542,0.6,3.9959,0,1,3.9930943456498387
0.070542,0.61,3.9911,0,1,3.9864848479457446
0.070542,0.619,3.9808,0,1,3.980653803993546
0.070542,0.629,3.9812,0,1,3.9743008256700834
0.070542,0.638,3.9734,0,1,3.9686927072028277
0.070542,0.648,3.966,0,1,3.962579036879786
0.070542,0.659,3.9602,0,1,3.9559919688592142
0.070542,0.669,3.9581,0,1,3.950124709719982
0.070542,0.679,3.9541,0,1,3.944368653938743
0.070542,0.69,3.9465,0,1,3.938161022414561
0.070542,0.701,3.9388,0,1,3.9320787934460526
0.070542,0.711,3.9303,0,1,3.926654572378709
0.070542,0.723,3.9258,0,1,3.9202729968714762
0.070542,0.734,3.9187,0,1,3.9145411990454586
0.070542,0.745,3.9162,0,1,3.908918315707087
0.070542,0.757,3.9103,0,1,3.902904213958948
0.070542,0.769,3.9052,0,1,3.897010926302459
0.070542,0.781,3.8995,0,1,3.8912341965203647
0.070542,0.793,3.8902,0,1,3.8855699808237407
0.070542,0.805,3.8832,0,1,3.8800144342244867
0.070542,0.818,3.8807,0,1,3.874114316245667
0.070542,0.83,3.8726,0,1,3.8687736146823966
0.070542,0.843,3.8715,0,1,3.863098273274648
0.070542,0.856,3.8656,0,1,3.857533871578345
0.070542,0.87,3.8569,0,1,3.8516611477054186
0.070542,0.883,3.8486,0,1,3.8463152140504038
0.070542,0.897,3.8477,0,1,3.8406695823634065
0.070542,0.911,3.8391,0,1,3.8351356309359677
0.070542,0.925,3.8333,0,1,3.8297094844981947
