C,N_opt_B,D_opt_B,Q,cost_form,dL_per_FLOP_via_N,dL_per_FLOP_via_D,dL_per_FLOP_via_Q,ratio_Q_over_N,better,g_prime,FLOPs_per_token_for_0p01Q
1e+19,0.22790499962689573,7.3129886110229005,0.6805,指数型 γe^{λQ},1.9897022550896535e-20,1.989702254356906e-20,3.246131750953481e-20,1.6314660862698849,质量,3559211346.045342,35592113.46045342
1e+19,0.22790499962689573,7.3129886110229005,0.6805,幂函数型 γQ^λ,1.9897022550896535e-20,1.989702254356906e-20,1.8332495399222733e-20,0.9213687802950544,参数,6302289299.492483,63022892.994924836
1e+19,0.22790499962689573,7.3129886110229005,0.6805,对数渐进型 γln(1+λQ),1.9897022550896535e-20,1.989702254356906e-20,4.508770886907519e-20,2.2660530616448233,质量,2562487482.409226,25624874.82409226
1e+19,0.22790499962689573,7.3129886110229005,0.8,指数型 γe^{λQ},1.7984873916576657e-20,1.864414725671892e-20,1.584729550306514e-20,0.8811457659682946,参数,7290625051.124098,72906250.51124097
1e+19,0.22790499962689573,7.3129886110229005,0.8,幂函数型 γQ^λ,1.7984873916576657e-20,1.864414725671892e-20,1.1282879842501265e-20,0.6273538471738651,参数,10240000000.000002,102400000.00000001
1e+19,0.22790499962689573,7.3129886110229005,0.8,对数渐进型 γln(1+λQ),1.7984873916576657e-20,1.864414725671892e-20,5.199151031424584e-20,2.890846527777171,质量,2222222222.2222223,22222222.222222224
1e+19,0.22790499962689573,7.3129886110229005,0.9,指数型 γe^{λQ},1.6384861771356895e-20,1.759578959270591e-20,8.697180172748403e-21,0.5308058312675137,参数,13284384972.25123,132843849.7225123
1e+19,0.22790499962689573,7.3129886110229005,0.9,幂函数型 γQ^λ,1.6384861771356895e-20,1.759578959270591e-20,7.924327132223609e-21,0.48363710617787925,参数,14580000000.000002,145800000.00000003
1e+19,0.22790499962689573,7.3129886110229005,0.9,对数渐进型 γln(1+λQ),1.6384861771356895e-20,1.759578959270591e-20,5.776834479391013e-20,3.5257145040367406,质量,2000000000.0,20000000.0
1e+22,5.161158109121752,322.9249388273972,0.6805,指数型 γe^{λQ},6.887879425487852e-24,6.887879423045361e-24,2.5448189937474505e-22,36.94633480851339,质量,3559211346.045342,35592113.46045342
