N_B,tokens_per_param,Q,dQ,dL_gain,gain_over_Nterm,N_equiv_multiplier,extra_params_B,substitutable_by_N,gain_over_Dterm,D_equiv_multiplier,substitutable_by_D
0.07,5,0.5,0.1,0.15798720759129825,0.1578168126406598,1.6572580944897695,0.04600806661428387,True,0.08668518462772397,1.3823255201905469,True
0.07,5,0.6805,0.1,0.15798720759129736,0.18072261409284227,1.7972650629639455,0.05580855440747619,True,0.09492890587007254,1.4278114224746326,True
0.07,5,0.8,0.1,0.15798720759129736,0.19993701066407568,1.9271960343765302,0.06490372240635713,True,0.10130807025515023,1.4643313421675317,True
0.07,5,0.9,0.1,0.15798720759129825,0.21946123062918155,2.0724473545086717,0.07507131481560703,True,0.10734400807469455,1.4999943913641356,True
0.07,5,0.5,0.3,0.47396162277389386,0.4734504379219785,6.596107364737191,0.3917275155316034,True,0.2600555538831714,2.9311897085788945,True
0.07,5,0.5,0.5,0.7899360379564895,0.7890840632032973,97.25069141538715,6.7375483990771015,True,0.4334259231386189,7.603849043124417,True
0.07,5,0.6805,0.3,0.47396162277389386,0.5421678422785288,9.952042044783969,0.6266429431348779,True,0.2847867176102187,3.3094768334562534,True
0.07,20,0.5,0.1,0.12977281813870922,0.12963285343347714,1.5043322279220421,0.03530325595454295,True,0.10498332855153476,1.4859154563193961,True
0.07,20,0.6805,0.1,0.12977281813870833,0.1484479869591307,1.6042021104715978,0.04229414773301185,True,0.11496719487643778,1.5466406732146325,True
0.07,20,0.8,0.1,0.12977281813870833,0.164230950845259,1.6949449043092597,0.04864614330164818,True,0.1226929200208089,1.5958258921777067,True
0.07,20,0.9,0.1,0.12977281813870922,0.18026840783599463,1.7943377003544614,0.0556036390248123,True,0.13000296782133242,1.644223130031241,True
0.07,20,0.5,0.3,0.3893184544161268,0.3888985603004305,4.256688924624066,0.22796822472368464,True,0.3149499856546036,3.859916619657911,True
0.07,20,0.5,0.5,0.6488640906935443,0.6481642671673838,21.5913745002854,1.4413962150199782,True,0.5249166427576724,14.260712582822253,True
0.07,20,0.6805,0.3,0.38931845441612634,0.44534396087739364,5.660612704020373,0.32624288928142614,True,0.34490158462931453,4.527981721504997,True
0.07,100,0.5,0.1,0.1081928197182842,0.10807612982638472,1.3998877481536267,0.027992142370753873,True,0.1373692173105265,1.6949094911778149,True
0.07,100,0.6805,0.1,0.10819281971828376,0.12376248370783224,1.4748828103651128,0.0332417967255579,True,0.15043296678110704,1.7898237557324457,True
0.07,100,0.8,0.1,0.10819281971828332,0.13692088922636544,1.5420003863609257,0.03794002704526481,True,0.16054197009507115,1.8679827744403141,True
0.07,100,0.9,0.1,0.1081928197182842,0.15029146804113544,1.6144600107593643,0.043012200753155504,True,0.17010706541749218,1.9460038666822985,True
0.07,100,0.5,0.3,0.32457845915485173,0.3242283894791532,3.1665267024474386,0.1516568691713207,True,0.41210765193157844,6.664327580919354,True
0.07,100,0.5,0.5,0.5409640985914193,0.5403806491319217,9.838655427705724,0.6187058799394007,True,0.6868460865526304,63.1642405729079,True
0.07,100,0.6805,0.3,0.32457845915485173,0.37128745112349726,3.9154496286651663,0.20408147400656165,True,0.45129890034332176,8.525895617094655,True
0.07,1000,0.5,0.1,0.09018280776817988,0.09008554232933595,1.3200345774516307,0.02240242042161415,True,0.21821064961705464,2.4084568863579805,True
0.07,1000,0.6805,0.1,0.090182807768179,0.10316071164609507,1.3774415305394907,0.026420907137764352,True,0.23896238216835594,2.651288525591173,True
0.07,1000,0.8,0.1,0.090182807768179,0.11412874037945786,1.428205477906657,0.029974383453465998,True,0.2550205080229623,2.8610644743638933,True
0.07,1000,0.9,0.1,0.09018280776817944,0.12527362358096183,1.482389258022247,0.0337672480615573,True,0.2702146374270502,3.0795125488954334,True
0.07,1000,0.5,0.3,0.2705484233045383,0.2702566269880065,2.5260182688390973,0.10682127881873682,True,0.6546319488511607,44.527868917469974,True
0.07,1000,0.5,0.5,0.45091403884089676,0.45042771164667705,5.816006035326707,0.3371204224728695,True,1.0910532480852666,inf,False
0.07,1000,0.6805,0.3,0.2705484233045379,0.30948213493828625,2.9717343504561753,0.1380214045319323,True,0.7168871465050701,90.54395027841079,True
0.4,5,0.5,0.1,0.09268712430429948,0.16746363534240624,1.7143746826497654,0.2857498730599062,True,0.08285868564615409,1.361842565701359,True
0.4,5,0.6805,0.1,0.0926871243042986,0.19176959310083486,1.8704774899616632,0.3481909959846653,True,0.09073850859292083,1.4044547838108046,True
0.4,5,0.8,0.1,0.09268712430429815,0.21215850253886667,2.01645445443413,0.40658178177365195,True,0.09683608084518325,1.4386063643805653,True
0.4,5,0.9,0.1,0.09268712430429904,0.23287617385583986,2.1808581321049645,0.4723432528419858,True,0.10260557740353092,1.4719052453809554,True
0.4,5,0.5,0.3,0.27806137291289756,0.5023909060272171,7.789249720860871,2.7156998883443486,True,0.2485760569384615,2.7744115267005705,True
0.4,5,0.5,0.5,0.46343562152149476,0.8373181767120265,208.72129678869555,83.08851871547823,True,0.4142934282307681,6.753557650285917,True
0.4,5,0.6805,0.3,0.2780613729128967,0.5753087793025065,12.413396820924225,4.565358728369691,True,0.27221552577876335,3.1098502918877613,True
0.4,20,0.5,0.1,0.07537003166451894,0.1361757589649065,1.538091579821009,0.21523663192840364,True,0.09934156021691626,1.4529471208335563,True
0.4,20,0.6805,0.1,0.0753700316645185,0.15594054096283388,1.6464464436344763,0.25857857745379054,True,0.10878889696454223,1.5086959164086116,True
0.4,20,0.8,0.1,0.0753700316645185,0.172520111873939,1.7453692707058341,0.29814770828233367,True,0.11609944426989026,1.5537264929994323,True
0.4,20,0.9,0.1,0.0753700316645185,0.18936702081512813,1.8542193341590365,0.3416877336636146,True,0.1230166525903302,1.5979303181405962,True
0.4,20,0.5,0.3,0.2261100949935564,0.4085272768947187,4.685686183906668,1.4742744735626674,True,0.2980246806507482,3.537778294172089,True
0.4,20,0.5,0.5,0.3768501583225934,0.6808787948245301,28.769918678027604,11.107967471211042,True,0.49670780108457957,11.606335729338928,True
0.4,20,0.6805,0.3,0.22611009499355594,0.4678216228885026,6.393013139071301,2.1572052556285204,True,0.32636669089362735,4.0986336931080425,True
0.4,100,0.5,0.1,0.06212491670497755,0.11224497981622165,1.419310496699475,0.16772419867979,True,0.12851460336816664,1.634218444447012,True
0.4,100,0.6805,0.1,0.06212491670497755,0.1285364076980461,1.4987723182711288,0.19950892730845152,True,0.14073628311988043,1.7187439357402086,True
0.4,100,0.8,0.1,0.06212491670497711,0.1422023759762774,1.5700912378655263,0.22803649514621052,True,0.15019367522545496,1.788024853583513,True
0.4,100,0.9,0.1,0.06212491670497755,0.15608870176908585,1.6472967485113457,0.25891869940453827,True,0.15914221883374285,1.8569033087990434,True
0.4,100,0.5,0.3,0.18637475011493265,0.33673493944866495,3.3453699220567956,0.9381479688227183,True,0.38554381010449995,5.691470297823587,True
0.4,100,0.5,0.5,0.3106245835248873,0.5612248990811075,11.277645880757001,4.111058352302801,True,0.6425730168408323,39.39224880374365,True
0.4,100,0.6805,0.3,0.18637475011493265,0.38560922309413836,4.190009266027742,1.276003706411097,True,0.42220884935964126,7.08977290192876,True
0.4,1000,0.5,0.1,0.05107094561311376,0.0922730775923924,1.329412725243201,0.13176509009728044,True,0.2013361526125872,2.231637761515057,True
0.4,1000,0.6805,0.1,0.05107094561311332,0.10566574950958312,1.3888200100523573,0.15552800402094294,True,0.2204831282494624,2.4336213083527936,True
0.4,1000,0.8,0.1,0.05107094561311332,0.1169001134283715,1.44142800551205,0.17657120220482003,True,0.23529945954864048,2.6062208627998387,True
0.4,1000,0.9,0.1,0.05107094561311376,0.12831562634886912,1.497656101486659,0.1990624405946636,True,0.24931860830185498,2.784223150192737,True
0.4,1000,0.5,0.3,0.15321283683934128,0.2768192327771772,2.5940327836597237,0.6376131134638895,True,0.6040084578377616,27.322600068255227,True
0.4,1000,0.5,0.5,0.25535472806556836,0.4613653879619612,6.170249449107081,2.0680997796428326,True,1.0066807630629342,inf,False
0.4,1000,0.6805,0.3,0.15321283683934084,0.31699724852875116,3.06893491818396,0.827573967273584,True,0.661449384748391,47.813281876172866,True
1.0,5,0.5,0.1,0.07010167636776421,0.172953968612969,1.74806354384385,0.7480635438438501,True,0.08100178586778267,1.3520427123667105,True
1.0,5,0.6805,0.1,0.07010167636776465,0.19805680270984366,1.9139368736476567,0.9139368736476567,True,0.08870501849852841,1.3932966399661069,True
1.0,5,0.8,0.1,0.07010167636776421,0.21911416716862808,2.069739445731179,1.0697394457311789,True,0.09466594146079137,1.426331142482707,True
1.0,5,0.9,0.1,0.07010167636776465,0.24051107203912772,2.2459693457052854,1.2459693457052854,True,0.1003061410504871,1.4585169146468557,True
1.0,5,0.5,0.3,0.21030502910329352,0.5188619058389092,8.599851582300063,7.599851582300063,True,0.24300535760334904,2.7021971933150133,True
1.0,5,0.5,0.5,0.3505083818388224,0.8647698430648483,359.45061244115453,358.45061244115453,True,0.4050089293389149,6.384749038471146,True
1.0,5,0.6805,0.3,0.21030502910329396,0.594170408129531,14.187902103982442,13.187902103982442,True,0.26611505549558523,3.018527930077665,True
1.0,20,0.5,0.1,0.05670406358199509,0.13989954793003995,1.5577594889135882,0.5577594889135882,True,0.0966037577450927,1.437285799993292,True
1.0,20,0.6805,0.1,0.056704063581995534,0.16020480701186168,1.671156487963942,0.671156487963942,True,0.10579073073516163,1.4907116406343985,True
1.0,20,0.8,0.1,0.05670406358199509,0.17723775393992128,1.7749677251693063,0.7749677251693063,True,0.11289980310454792,1.533808940313252,True
1.0,20,0.9,0.1,0.056704063581995534,0.1945453493798594,1.8894997019133786,0.8894997019133786,True,0.1196263767098055,1.5760666875816662,True
1.0,20,0.5,0.3,0.17011219074598571,0.4196986437901209,4.955976344518388,3.9559763445183878,True,0.28981127323527883,3.393844540287969,True
1.0,20,0.5,0.5,0.28352031790997634,0.6994977396502019,34.33411285105547,33.33411285105547,True,0.483018788725465,10.545830667020544,True
1.0,20,0.6805,0.3,0.1701121907459866,0.48061442103558505,6.8672945644322825,5.8672945644322825,True,0.3173721922054849,3.909044955652554,True
1.0,100,0.5,0.1,0.04645679371850209,0.1146176134290531,1.4305261039600203,0.43052610396002033,True,0.12421769103490353,1.6057687830988614,True
1.0,100,0.6805,0.1,0.04645679371850253,0.13125340940160968,1.512600547420404,0.5126005474204041,True,0.1360307363973587,1.685552364731163,True
1.0,100,0.8,0.1,0.04645679371850209,0.14520824882349376,1.5863854386037297,0.5863854386037297,True,0.1451719186426221,1.7508014620159673,True
