Q,N_B,D_critical_B,tokens_per_param_critical
0.5,0.07,7.602035721245889e-05,0.001086005103035127
0.5,1.0,0.0019187530257846884,0.0019187530257846884
0.5,12.0,0.03919049948360797,0.0032658749569673307
0.5,70.0,0.3334487664416506,0.004763553806309295
0.5,175.0,1.0142416604397197,0.0057956666310841135
0.5,1000.0,8.416243398672586,0.008416243398672585
0.5,10000.0,137.76895256588813,0.013776895256588812
0.6805,0.07,0.00012828865521017916,0.001832695074431131
0.6805,1.0,0.0032380043239002023,0.0032380043239002023
0.6805,12.0,0.06613618588657862,0.005511348823881552
0.6805,70.0,0.5627136650876152,0.00803876664410879
0.6805,175.0,1.7115902035596628,0.009780515448912359
0.6805,1000.0,14.202887057209214,0.014202887057209214
0.6805,10000.0,232.49290456499114,0.023249290456499115
0.8,0.07,0.00019026358251268723,0.0027180511787526745
0.8,1.0,0.004802250844764809,0.004802250844764809
0.8,12.0,0.09808589574728846,0.008173824645607373
0.8,70.0,0.8345548378616031,0.011922211969451474
0.8,175.0,2.5384417927629963,0.014505381672931406
0.8,1000.0,21.064155432142122,0.021064155432142125
0.8,10000.0,344.8078308938862,0.03448078308938862
0.9,0.07,0.0002745989969322876,0.003922842813318395
0.9,1.0,0.006930875828019867,0.006930875828019867
0.9,12.0,0.14156302656402617,0.011796918880335515
0.9,70.0,1.2044760134089378,0.017206800191556255
0.9,175.0,3.6636205460771,0.020934974549011998
0.9,1000.0,30.400962057498937,0.030400962057498936
0.9,10000.0,497.6458618482348,0.04976458618482348
