mixture_domain,Q_kernel,nearest_quality_domain,min_distance,confidence,mapping_type,a16_quality_domain,omega_arxiv,omega_book,omega_c4,omega_commoncrawl,omega_github,omega_stackexchange,omega_wikipedia,Q_a16,lambda,Q_final
arxiv,0.6570213570637664,arxiv,1.516054425902499,1.0,direct,arxiv,0.437558417183264,0.1111130093633216,0.08961788909375615,0.10072387320472768,0.05678740717539567,0.1055684788135717,0.09863092516596318,0.7255384502179558,1.0,0.7255384502179558
gutenberg_pg_19,0.6237143706957986,book,1.8871449402486062,0.8,near_direct,book,0.09266492667165173,0.44384478434878616,0.0960943463916482,0.11341020794015788,0.05705617448941616,0.10549466301117735,0.09143489714716248,0.628419455069276,0.8,0.6274784381945806
stackexchange,0.6166592573678988,stackexchange,0.4244593346212632,1.0,direct,stackexchange,0.07592732526508125,0.0858984631975034,0.11078163520505749,0.10877746132239985,0.09033629492486128,0.4069832956974094,0.12129552438768733,0.6257799866293712,1.0,0.6257799866293712
ubuntu_irc,0.6194917241017592,commoncrawl,3.016012003175402,0.6283069020457779,inferred,(none),0.12749688370029025,0.1567603486559123,0.1599263503202428,0.17989310480819506,0.07874757546704776,0.14723042788548274,0.1499453091628291,0.6175993467274508,0.6283069020457779,0.618788340493004
philpapers,0.619275864226899,commoncrawl,2.4468404486332975,0.6757039245069132,inferred,(none),0.12458468415563803,0.16004333866697776,0.16119244695322962,0.18352618459509062,0.08123902344647255,0.1440347608315352,0.14537956135105612,0.6175993467274508,0.6757039245069132,0.6187321761813325
pubmed_central,0.6186634770092432,book,3.870193511020118,0.5684650077376704,inferred,(none),0.13049314293888756,0.163309983796957,0.13701638539453265,0.15200732436827485,0.10341158155537997,0.16283801762808467,0.1509235643178835,0.6175993467274508,0.5684650077376704,0.6182042675563237
europarl,0.6180696206621211,commoncrawl,2.2795144887984624,0.6910287480288011,inferred,(none),0.11952163433683416,0.14683653482744083,0.17124680407898468,0.18339280587977536,0.07563143325865568,0.14415478451137517,0.15921600310693404,0.6175993467274508,0.6910287480288011,0.6179243195357565
dm_mathematics,0.617342082927935,stackexchange,7.472789950282645,0.4055547462248721,inferred,(none),0.1254545523865598,0.1258620989489618,0.13632732987213178,0.141279302073885,0.10212384017326864,0.20374861794850058,0.16520425859669222,0.6175993467274508,0.4055547462248721,0.6174950121725253
pile_cc,0.6149550984359535,wikipedia,1.730135109600645,0.8,near_direct,commoncrawl,0.07827335764972627,0.09603838574124639,0.12506582419588944,0.3705343316125214,0.07238017595615485,0.12676095113462746,0.13094697370983419,0.6167828664288522,0.8,0.6164173128302725
hackernews,0.614207988088596,stackexchange,5.098241448867056,0.5,inferred,(none),0.10340079626479486,0.12010408769582542,0.16465921896714622,0.16619830705822716,0.09907236259726213,0.17464665561212178,0.17191857180462222,0.6175993467274508,0.5,0.6159036674080234
freelaw,0.614016422315709,stackexchange,5.590894945022196,0.47695541164406985,inferred,(none),0.10146086823987752,0.13656833872473884,0.1459623843316804,0.16091538743128636,0.11702372978027065,0.17932947540974767,0.15873981608239857,0.6175993467274508,0.47695541164406985,0.6158904515397589
uspto_backgrounds,0.6149470989870542,c4,2.5590976454482828,0.6657980515257438,inferred,(none),0.10513271905968921,0.11460502085977911,0.18543520261221003,0.18456826759792316,0.0867714411925719,0.1552810076190232,0.1682063410588034,0.6175993467274508,0.6657980515257438,0.6158334853497313
nih_exporter,0.6137013414080001,c4,3.7387129977206035,0.5769229070582924,inferred,(none),0.1017786414130956,0.0995909532380289,0.19167096177099913,0.18708037290624083,0.09256644882680741,0.1538026797633978,0.1735099420814304,0.6175993467274508,0.5769229070582924,0.6153504981668245
pubmed_abstracts,0.613118853738168,c4,3.9446344170980012,0.563785406814602,inferred,(none),0.09987369331104567,0.09324072552576486,0.19390176698660344,0.18570337896286424,0.0938489630172914,0.15585445935891207,0.17757701283751842,0.6175993467274508,0.563785406814602,0.6150733101647581
enron_emails,0.6105965114713194,wikipedia,2.4755471714242616,0.6731428224981222,inferred,(none),0.08724534082626914,0.09659476899827911,0.16913114226104137,0.16531835912901072,0.11477620443503034,0.18291851398174616,0.18401567036862312,0.6175993467274508,0.6731428224981222,0.6128854384376492
wikipedia_en,0.5986528052617197,wikipedia,1.1373034363105732,0.8,near_direct,wikipedia,0.07221986557172108,0.08034345761268936,0.12147896425781524,0.12122132732522328,0.07820211829946436,0.12239245985081378,0.4041418070822729,0.5615218982740249,0.8,0.5689480796715639
github,0.5911755441402058,github,4.869809819344804,1.0,direct,github,0.05467474024192903,0.06699849418361326,0.10258368362147777,0.10535343612397986,0.4491396006326518,0.12325744489479726,0.0979926003015511,0.5561609556173255,1.0,0.5561609556173255
