domain,p_star,p_train_mean,Q,gamma_M3
arxiv,0.06460134893508084,0.11302252583269279,0.7255384502179558,-0.030144462350996198
freelaw,0.06323436086735441,0.0968248321520278,0.6158904515397589,-0.02787954517724285
nih_exporter,0.011116639550048681,0.00588968021709595,0.6153504981668245,-0.004929432097394945
pubmed_central,0.08265718949791664,0.11375419105058357,0.6182042675563237,-0.03806979364231352
wikipedia_en,0.06977332665268761,0.07507775607983627,0.5689480796715639,-0.02965659489532713
dm_mathematics,0.05990603198432015,0.0254628540970504,0.6174950121725253,-0.055319169522700246
github,0.07315401891358253,0.11070066007050916,0.5561609556173255,-0.03209998083565848
philpapers,0.009878047578007197,0.005487697351193036,0.6187321761813325,-0.007742249894318011
stackexchange,0.14617091216489217,0.09943242344413017,0.6257799866293712,-0.05616823061900177
enron_emails,0.006124426929797414,0.002211033043406226,0.6128854384376492,-0.008565720056882777
gutenberg_pg_19,0.032971106982015254,0.04691494424753537,0.6274784381945806,-0.01422785325905132
pile_cc,0.16767887047684993,0.11948759779188561,0.6164173128302725,-0.04833127303281263
ubuntu_irc,0.05240900917574635,0.019599998284005892,0.618788340493004,-0.0465435924742289
europarl,0.0034302556915519287,0.012737064754031531,0.6179243195357565,-8.680827157368026e-05
hackernews,0.047244628575471494,0.011650822378108678,0.6159036674080234,-0.020803657597573515
pubmed_abstracts,0.06084195662720916,0.06618116611257162,0.6150733101647581,-0.022871299870733698
uspto_backgrounds,0.048807869397467604,0.07556475309333588,0.6158334853497313,-0.022450961466042463
