domain,Q_j,gamma_j
arxiv,0.7255384502179558,-0.3461833108181516
gutenberg_pg_19,0.6274784381945806,-0.003615580586743479
stackexchange,0.6257799866293712,-0.12175309322856108
ubuntu_irc,0.618788340493004,0.006749925244390282
philpapers,0.6187321761813325,-0.011616303935753945
pubmed_central,0.6182042675563237,-0.08357071145909614
europarl,0.6179243195357565,0.01640216766297599
dm_mathematics,0.6174950121725253,-0.010975559163053053
pile_cc,0.6164173128302725,-0.015143164407407884
hackernews,0.6159036674080234,0.002481373564998379
freelaw,0.6158904515397589,0.018617142095490712
uspto_backgrounds,0.6158334853497313,0.00036952490569603497
nih_exporter,0.6153504981668245,0.02923093313817546
pubmed_abstracts,0.6150733101647581,-0.008378908842358992
enron_emails,0.6128854384376492,0.034135481488835814
wikipedia_en,0.5689480796715639,-0.011855376642625075
github,0.5561609556173255,-0.024626102868227483
