model,N_B,D_B,loss_B10_est,classic_pred,Psi_hat
Ling-flash-base-2.0-20T,100.0,20000.0,1.8412,1.8413454886355995,0.9990399798973275
FaXin,100.0,3670.0,1.8882,1.8884600916472514,0.9986907837066716
PLaMo-100B,100.0,2000.0,1.9112,1.9115520993286692,0.9984122082534878
Yi-Large,100.0,3000.0,1.8954,1.8956974590084026,0.9985553191356835
Hunyuan,100.0,2000.0,1.9112,1.9115520993286692,0.9984122082534878
Luca 2.0,100.0,2000.0,1.9112,1.9115520993286692,0.9984122082534878
xTrimoPGLM -100B,100.0,275.0,2.0206,2.0212841170776796,0.9979362119786175
YaLM,100.0,300.0,2.0144,2.015088554749498,0.9978832623958976
FLM-101B,101.0,311.5,2.0116,2.0122066518077073,0.9981183761530418
"Solar Open 100B
",102.0,19700.0,1.841,1.8411780662657005,0.9988237139136411
Odyssey 102B,102.0,179.7,2.0526,2.053354898030072,0.9979235766556408
Yuan 2.0,102.6,289.1,2.0164,2.017062735245469,0.9979749261863734
InternLM,104.0,1600.0,1.9197,1.920096585812449,0.9982779494235715
Ring-flash-linear-2.0,104.2,1000.0,1.9417,1.9421652842297354,0.9981563211287243
GLM-4.5-Air,106.0,2603.8,1.8993,1.8995818389438648,0.9986565269027223
GLM-4.5V,108.0,2013.3,1.909,1.9093680129160284,0.9983239381774364
Llama 4 Scout,109.0,30000.0,1.8308,1.8308869041708433,0.9993840467373808
Telechat2-115B,115.0,10000.0,1.8543,1.8545230443685385,0.9986459595783176
gpt-oss-120b,116.8,7047.3,1.8636,1.8638437716843246,0.9985993817490337
Galactica,120.0,106.0,2.0947,2.0955889020142435,0.9978094579995975
Mistral Large 2,123.0,28861.8,1.8286,1.828749665907699,0.9989228923113566
Step-Audio-Chat 130B,130.0,1668.0,1.9126,1.9129425748121707,0.9984647853865195
Step-1,130.0,800.0,1.948,1.9484440941413557,0.9982830046483785
Step-Omni,130.0,2468.0,1.8965,1.8967942215078715,0.9985786141132036
BlueLM 130B,130.0,1000.0,1.9364,1.9368808414970742,0.9980539259862773
GLM-130B,130.0,152.0,2.0607,2.0614545981555534,0.9979696360583987
DBRX,132.0,12000.0,1.8464,1.846607423852105,0.9986772233006815
Pangu Ultra,135.0,13200.0,1.8436,1.8437391250940451,0.9990962447886476
MEB,135.0,500.0,1.9739,1.974432889209322,0.9981278148620425
BIG-G 137B,137.0,681.2,1.9555,1.9560379024938523,0.9979796323210235
LaMDA,137.0,2080.0,1.9021,1.9024312745904906,0.998442037864823
FLAN 137B,137.0,2490.0,1.8949,1.8952529480064157,0.9982821148390899
Mixtral 8x22B,141.0,2766.0,1.8903,1.8905760593424354,0.9986250522425636
dots.llm1,142.0,11328.0,1.8462,1.8464124508475517,0.9986434786419647
GPT-3 175B (davinci),174.6,238.0,2.0185,2.0191453740008103,0.998040445888575
MegaScale (175B),175.0,300.0,2.0016,2.0022739455579908,0.9978432081970746
BlueLM 175B,175.0,1000.0,1.9299,1.930378041294907,0.9980129636177052
OPT-IML (175B),175.0,2.0,2.77,2.7725393955077324,0.9976546611053497
BlenderBot 3,175.0,1.3,2.9007,2.903441953867137,0.9977407262991753
OPT-175B,175.0,180.0,2.0402,2.0409011824366723,0.9980029163170608
BLUUMI,176.0,38.0,2.1978,2.1989372410198165,0.9977663457691093
BLOOMZ-176B,176.0,20.0,2.2857,2.287119132677441,0.9976241713212455
