N,D,Q,r,s
0.41,50,0.3,1.2181267747076066,1.3209205448327168
0.41,50,0.5,1.2369007020755793,1.3499007522652284
0.41,50,0.7,1.259198005251743,1.3845932226966715
0.41,50,0.8,1.2719919930831574,1.4046329096420065
1.0,100,0.3,1.231525664721056,1.2999501117571777
1.0,100,0.5,1.25160799796418,1.326747219179388
1.0,100,0.7,1.2754899039715923,1.358768319260496
1.0,100,0.8,1.289208023863433,1.3772366169723649
7.0,1000,0.3,1.2337830574335895,1.2968987205697897
7.0,1000,0.5,1.2540875321437082,1.323381378664985
7.0,1000,0.7,1.2782388125105406,1.3550183510675935
7.0,1000,0.8,1.2921141964488427,1.3732610121289055
70.0,1400,0.3,1.3757803184374513,1.2127563785059756
70.0,1400,0.5,1.4110259857715517,1.2308949811938787
70.0,1400,0.7,1.4535023094291732,1.2524026000790673
70.0,1400,0.8,1.478178764209395,1.2647263131138444
