domain,Q_j,gamma_j,p_ref,c_j
arxiv,0.7255384502179558,-0.032068168788805425,0.11302252583269279,0.242392956985823
gutenberg_pg_19,0.6274784381945806,-0.014316112641696903,0.04691494424753537,0.10802522408715401
stackexchange,0.6257799866293712,-0.05619046132820332,0.09943242344413017,-0.1493137533822977
ubuntu_irc,0.618788340493004,-0.046600561700316866,0.019599998284005892,1.0651390023378808
philpapers,0.6187321761813325,-0.007922733158240972,0.005487697351193035,-0.392123993264096
pubmed_central,0.6182042675563237,-0.03808375040183826,0.11375419105058357,0.1826614955238112
europarl,0.6179243195357565,9.537784959381322e-06,0.012737064754031531,-0.2795500285917169
dm_mathematics,0.6174950121725253,-0.0552889029740104,0.0254628540970504,1.3919186937358716
pile_cc,0.6164173128302725,-0.048244580416049405,0.11948759779188561,-0.48802105462891815
hackernews,0.6159036674080234,-0.02071455662715286,0.011650822378108678,-0.6211282501613524
freelaw,0.6158904515397589,-0.02782350114087258,0.0968248321520278,0.34029495317338304
uspto_backgrounds,0.6158334853497313,-0.022392622910543013,0.07556475309333588,-0.03972796696670017
nih_exporter,0.6153504981668245,-0.005115491271561583,0.00588968021709595,0.43804661302586667
pubmed_abstracts,0.6150733101647581,-0.022796413716234497,0.06618116611257162,-0.32808536423213425
enron_emails,0.6128854384376492,-0.008666782272165222,0.002211033043406226,0.07634393421655264
wikipedia_en,0.5689480796715639,-0.02888190296417084,0.07507775607983627,-0.025411819808332313
github,0.5561609556173255,-0.030868447486592406,0.11070066007050916,0.3440779233026364
