model_name,n_layers,n_heads,d_model,vocab_size,max_position_embeddings,training_data_TB
EleutherAI/pythia-70m,6,8,512,50257,2048,0.3
EleutherAI/pythia-160m,12,12,768,50257,2048,0.3
EleutherAI/pythia-410m,24,16,1024,50257,2048,0.3
EleutherAI/pythia-1b,16,8,2048,50257,2048,0.3
EleutherAI/pythia-1.4b,24,16,2048,50257,2048,0.3
EleutherAI/pythia-2.8b,32,32,2560,50257,2048,0.3
EleutherAI/pythia-6.9b,32,32,4096,50257,2048,0.3
EleutherAI/pythia-12b,36,40,4096,50257,2048,0.3
meta-llama/Llama-2-7b-hf,32,32,4096,32000,4096,2.0
meta-llama/Llama-2-13b-hf,40,40,5120,32000,4096,2.0
meta-llama/Llama-2-70b-hf,80,64,8192,32000,4096,2.0
meta-llama/Meta-Llama-3-8B,32,32,4096,128256,8192,15.0
meta-llama/Meta-Llama-3-70B,80,64,8192,128256,8192,15.0
meta-llama/Llama-3.1-8B,32,32,4096,128256,131072,15.0
mistralai/Mistral-7B-v0.1,32,32,4096,32000,32768,8.0
mistralai/Mixtral-8x7B-v0.1,32,32,4096,32000,32768,8.0
Qwen/Qwen2-0.5B,24,14,896,151936,32768,12.0
Qwen/Qwen2-1.5B,28,16,1536,151936,32768,12.0
Qwen/Qwen2-7B,32,28,3584,151936,32768,12.0
Qwen/Qwen2.5-0.5B,24,14,896,151936,32768,18.0
Qwen/Qwen2.5-1.5B,28,16,1536,151936,32768,18.0
Qwen/Qwen2.5-7B,28,28,3584,151936,32768,18.0
Qwen/Qwen2.5-14B,40,40,5120,151936,32768,18.0
Qwen/Qwen2.5-32B,64,40,5120,151936,32768,18.0
Qwen/Qwen2.5-72B,80,64,8192,151936,32768,18.0
google/gemma-2-2b,26,8,2304,256128,8192,2.0
google/gemma-2-9b,42,16,3584,256128,8192,8.0
google/gemma-2-27b,46,32,4608,256128,8192,13.0
google/gemma-7b,28,16,3072,256000,8192,6.0
microsoft/phi-2,32,32,2560,51200,2048,1.4
microsoft/Phi-3-mini-4k-instruct,32,32,3072,32064,4096,3.3
microsoft/Phi-3-small-8k-instruct,32,32,4096,100352,8192,7.0
microsoft/Phi-3-medium-4k-instruct,40,40,5120,32064,4096,10.0
01-ai/Yi-6B,32,32,4096,64000,4096,3.0
01-ai/Yi-34B,48,56,7168,64000,4096,3.0
tiiuae/falcon-7b,32,71,4544,65024,2048,1.5
tiiuae/falcon-40b,60,232,8192,65024,2048,1.5
cerebras/Cerebras-GPT-111M,10,10,768,50257,2048,2.05
cerebras/Cerebras-GPT-256M,18,16,1024,50257,2048,2.05
cerebras/Cerebras-GPT-590M,18,18,1536,50257,2048,2.05
cerebras/Cerebras-GPT-1.3B,24,24,2048,50257,2048,2.05
cerebras/Cerebras-GPT-2.7B,32,32,2560,50257,2048,2.05
cerebras/Cerebras-GPT-6.7B,32,32,4096,50257,2048,2.05
cerebras/Cerebras-GPT-13B,40,40,5120,50257,2048,2.05
deepseek-ai/deepseek-llm-7b-base,30,30,4096,102021,4096,2.0
