domain,Q_j,p_ref,p_star,delta
arxiv,0.7255384502179558,0.11302252583269279,0.048669165591149276,-0.0643533602415435
gutenberg_pg_19,0.6274784381945806,0.04691494424753537,0.024561563643036487,-0.02235338060449888
stackexchange,0.6257799866293712,0.09943242344413017,0.1452732333751041,0.04584080993097392
ubuntu_irc,0.618788340493004,0.019599998284005892,0.040093779607508526,0.020493781323502634
philpapers,0.6187321761813325,0.005487697351193035,0.017229709103836297,0.01174201175264326
pubmed_central,0.6182042675563237,0.11375419105058357,0.06478065497330025,-0.04897353607728332
europarl,0.6179243195357565,0.012737064754031531,0.0022003408645553295,-0.010536723889476202
dm_mathematics,0.6174950121725253,0.0254628540970504,0.03939034112197381,0.01392748702492341
pile_cc,0.6164173128302725,0.11948759779188561,0.2499761147612506,0.13048851696936498
hackernews,0.6159036674080234,0.011650822378108678,0.06598320652333359,0.05433238414522491
freelaw,0.6158904515397589,0.0968248321520278,0.03980607289835321,-0.0570187592536746
uspto_backgrounds,0.6158334853497313,0.07556475309333588,0.051539727790501075,-0.024025025302834804
nih_exporter,0.6153504981668245,0.00588968021709595,0.006277029388974528,0.0003873491718785777
pubmed_abstracts,0.6150733101647581,0.06618116611257162,0.08534316221519933,0.019161996102627712
enron_emails,0.6128854384376492,0.002211033043406226,0.009006272923230526,0.0067952398798243
wikipedia_en,0.5689480796715639,0.07507775607983627,0.062019443792900544,-0.013058312286935728
github,0.5561609556173255,0.11070066007050916,0.0478501814257924,-0.06285047864471677
