g,Lctx,kappa_c,C,Q,regime,N,D,L
指数型,2048,6.4096,1000000000000000.0,0.6200709735609296,A,3458694.5730926604,45108341.52564136,8.012661938325838
指数型,2048,6.4096,1333521432163324.0,0.6200709735609296,A,3938695.694669621,52822219.31625134,7.73938129896388
指数型,2048,6.4096,1778279410038922.8,0.6200709735609296,A,4485311.856067559,61855230.299435854,7.477912128040679
指数型,2048,6.4096,2371373705661655.5,0.6200709735609296,A,5107787.95970622,72432956.52704833,7.227743921822761
指数型,2048,6.4096,3162277660168379.5,0.6200709735609296,A,5816651.924888336,84819556.33907194,6.988388241069589
指数型,2048,6.4096,4216965034285822.5,0.6200709735609296,A,6623892.746176769,99324361.20939599,6.759377757383627
指数型,2048,6.4096,5623413251903491.0,0.6200709735609296,A,7543163.2628929475,116309600.70360708,6.540265340778144
指数型,2048,6.4096,7498942093324558.0,0.6200709735609296,A,8590011.069170648,136199448.46474206,6.33062318668126
指数型,2048,6.4096,1e+16,0.6200709735609296,A,9782141.469940271,159490615.13306728,6.130041980671767
指数型,2048,6.4096,1.333521432163324e+16,0.6200709735609296,A,11139716.93020916,186764752.73766878,5.938130099315934
指数型,2048,6.4096,1.7782794100389228e+16,0.6200709735609296,A,12685698.082216237,218702980.3356152,5.75451284554495
指数型,2048,6.4096,2.371373705661655e+16,0.6200709735609296,A,14446232.057902245,256102893.64859167,5.578831717080136
指数型,2048,6.4096,3.162277660168379e+16,0.6200709735609296,A,16451094.714552946,299898483.4798847,5.410743706477574
指数型,2048,6.4096,4.216965034285822e+16,0.6200709735609296,A,18734194.232962728,351183460.3358403,5.249920631425518
指数型,2048,6.4096,5.623413251903491e+16,0.6200709735609296,A,21334144.605458945,411238567.73929614,5.096048493987028
指数型,2048,6.4096,7.498942093324558e+16,0.6200709735609296,A,24294918.71317349,481563566.3323641,4.948826867536811
指数型,2048,6.4096,1e+17,0.6200709735609296,A,27666592.038036376,563914687.509952,4.807968310195254
指数型,2048,6.4096,1.333521432163324e+17,0.6200709735609296,A,31506189.587870006,660348491.9163753,4.673197803614457
指数型,2048,6.4096,1.778279410038923e+17,0.6200709735609296,A,35878650.35860279,773273228.0865349,4.544252216020494
指数型,2048,6.4096,2.3713737056616554e+17,0.6200709735609296,A,40857925.64552068,905508973.8148322,4.420879788463552
指数型,2048,6.4096,3.1622776601683795e+17,0.6200709735609296,A,46528229.77926267,1060358062.1666538,4.302839643272837
指数型,2048,6.4096,4.216965034285823e+17,0.6200709735609296,A,52985464.44021954,1241687550.8864248,4.189901313756593
指数型,2048,6.4096,5.6234132519034906e+17,0.6200709735609296,A,60338840.640720405,1454025794.7168963,4.081844294228943
指数型,2048,6.4096,7.498942093324558e+17,0.6200709735609296,A,68712725.80754548,1702675532.337267,3.97845760948504
指数型,2048,6.4096,1e+18,0.6200709735609296,A,78248747.20441055,1993846312.0487137,3.8795394028839407
指数型,2048,6.4096,1.333521432163324e+18,0.6200709735609296,A,89108187.26954602,2334809563.283731,3.7848965422349545
指数型,2048,6.4096,1.7782794100389228e+18,0.6200709735609296,A,101474711.38064387,2734080186.551485,3.6943442427179933
