model_dir,n_tasks,mean_all,ifeval,bbh,math,gpqa,musr,mmlu_pro
0-hero_Matter-0.2-7B-DPO,44,28.215830870012205,33.588711286054334,35.957820153737636,0.7831536056611599,26.00566758232446,38.126934523809524,11.63563829787234
01-ai_Yi-1.5-34B,45,46.98523147669541,29.563280983346406,59.754891365260285,12.849460552633863,37.198315934159055,42.352323082010585,46.65890957446808
01-ai_Yi-1.5-34B-32K,45,47.29105434934222,32.21856895260132,60.14322362144493,12.315964375171722,37.088871815172155,43.965554728835976,47.09109042553192
01-ai_Yi-1.5-34B-Chat,45,49.80896236736798,63.95486198841297,60.82995149254802,21.198214387231513,36.58826172196558,42.79606068121693,45.20445478723404
01-ai_Yi-1.5-34B-Chat-16K,44,48.37788637879027,49.81404894568633,60.990145948040755,17.497862640107485,34.472645119142605,43.96086722883597,45.44547872340425
01-ai_Yi-1.5-6B,45,36.01119255884255,26.985343333466318,44.88086801526067,4.994357363505583,30.90512558843096,43.8512359457672,31.008976063829785
01-ai_Yi-1.5-6B-Chat,45,38.25239478974138,50.65459647069774,45.52913087012178,11.400095598684747,31.965130379035582,44.28794229497355,31.97307180851064
01-ai_Yi-1.5-9B,45,41.56438340793503,30.46627393094767,51.426745620317206,9.481548734753703,38.60807263439394,43.27208581349207,39.16223404255319
01-ai_Yi-1.5-9B-32K,45,39.839979494158676,23.59190281785662,49.62392896025098,8.427868230698289,36.643851406330434,41.84582919973545,37.649601063829785
01-ai_Yi-1.5-9B-Chat,45,44.28983665442867,62.6596874071907,55.5784389352313,10.461801911803489,33.48132659426703,42.55804811507936,39.752327127659576
01-ai_Yi-1.5-9B-Chat-16K,45,41.41904430257532,43.28071738542623,51.52212445965725,11.786489394462047,31.18102942452775,40.961222718253964,39.935172872340424
01-ai_Yi-34B,45,42.24239608190683,31.597827098764608,54.56833658982282,4.144453758109661,36.56083296131534,41.17345403439154,44.1156914893617
01-ai_Yi-34B-200K,45,41.49403893768919,15.817032141384857,54.4021880661157,4.284549614160937,35.15631489362614,38.152715773809526,45.34574468085106
01-ai_Yi-34B-Chat,45,42.97185656744319,49.255752514439465,55.59510724764263,5.822393059299672,33.63784623746872,39.75891617063492,40.93251329787234
01-ai_Yi-6B,45,33.56257374134691,29.769345337039056,43.075261824970916,1.5664867750733862,26.91731914152216,39.34799107142857,29.911901595744684
01-ai_Yi-6B-200K,45,33.50412373651144,8.645394220667828,42.875546449756584,1.2288350373494863,27.35540408044603,45.84726769179894,28.440824468085108
01-ai_Yi-6B-Chat,45,32.51704435285661,35.51709464221599,41.30811122869302,0.615898179927177,29.413006654512525,36.852496693121694,30.61003989361702
01-ai_Yi-9B,45,38.36216147439545,27.817191717974975,49.39072335445649,4.012957329774861,31.382119639774842,40.52451636904762,35.73803191489361
01-ai_Yi-9B-200K,45,37.84756305375952,24.016553854882822,47.92787300581126,5.421426025290133,31.392520953133367,42.91975446428572,36.22007978723404
01-ai_Yi-Coder-9B-Chat,44,36.36132866228034,50.12755045501491,48.13751456265883,2.8837323390381235,23.954729554561773,39.891984953703705,24.251994680851062
1-800-LLMs_Qwen-2.5-14B-Hindi,44,52.68859190482604,61.75669445958945,65.22830907234105,23.52592676810266,36.73060574539182,44.88062996031746,52.62632978723404
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,44,51.53974236589451,31.5040758520725,62.83253573076048,28.402978733230377,37.532119434908864,44.89000496031746,51.637300531914896
1024m_PHI-4-Hindi,44,52.69176416845575,0.9692061507910124,67.09485178480546,21.3143072241967,39.92552702703709,49.12008101851852,52.3936170212766
1024m_QWEN-14B-B100,44,48.271570124446946,78.44286493171451,65.31843769402357,0.0,34.6993528935643,40.96825396825396,51.78690159574468
152334H_miqu-1-70b-sf,44,47.33758259399789,53.36861749048081,61.01766610162289,10.209903391824767,35.363185588647,45.807423941798945,42.278922872340424
1TuanPham_T-VisStar-7B-v0.1,44,38.717755320581745,39.8997437909192,50.51399488037255,4.126923726206338,28.628211949310945,43.72519841269841,32.106050531914896
1TuanPham_T-VisStar-v0.1,44,38.717755320581745,39.8997437909192,50.51399488037255,4.126923726206338,28.628211949310945,43.72519841269841,32.106050531914896
3rd-Degree-Burn_L-3.1-Science-Writer-8B,44,39.35639336343989,45.16416441708002,50.39966518923404,9.434128721373062,27.669831741245332,39.583659887566135,36.49434840425532
3rd-Degree-Burn_Llama-3.1-8B-Squareroot,44,30.05791355002316,22.983683293660818,34.59494745211966,19.892503165208495,25.493848060962154,30.87377645502645,17.49501329787234
3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,44,27.04336765807176,31.781450994472443,33.41675364749283,5.376067448279029,25.718939605789437,33.38802083333333,11.269946808510637
3rd-Degree-Burn_Llama-Squared-8B,44,33.26942937056563,31.624090745887578,44.302123600373136,3.742676285639579,26.84578104827685,30.876120205026453,23.66190159574468
4season_final_model_test_v2,44,45.97265189881515,32.534563846150434,63.413099894983695,1.4002269568150754,32.337880531567606,43.13901703042328,35.280917553191486
AALF_FuseChat-Llama-3.1-8B-Instruct-preview,44,40.1333752153358,74.14643146850356,51.18876447682354,6.685739506071762,30.491579170270445,38.173809523809524,37.32546542553192
AALF_FuseChat-Llama-3.1-8B-SFT-preview,44,41.74094792700344,74.20389012265234,52.39543634979202,10.489229320714614,30.706654689456702,40.169841269841264,37.433510638297875
AALF_gemma-2-27b-it-SimPO-37K,44,29.859500320967573,26.61815095058888,39.104881476951164,0.0,28.40828308529651,34.85412119708995,19.71409574468085
AALF_gemma-2-27b-it-SimPO-37K-100steps,44,29.858334977794026,26.904169824953346,39.30299058613006,0.0,28.24109120512225,33.26901455026455,21.251662234042552
AELLM_gemma-2-aeria-infinity-9b,44,44.508098637922615,76.85169793924564,59.83058922287686,0.0,33.17314065269183,40.16749751984127,38.6220079787234
AELLM_gemma-2-lyco-infinity-9b,44,43.54422427890495,74.35127683435506,58.39107442508046,0.0,32.816338909040255,40.03442873677249,37.8656914893617
AGI-0_Art-v0-3B,44,29.614479782314778,33.62118068945952,33.97643970965649,12.229440995880106,26.00863377394418,39.901359953703704,25.282579787234045
AGI-0_Artificium-llama3.1-8B-001,44,34.55260851996637,54.12051135431766,42.55450886191351,9.245857511437249,26.34875494565092,37.917046957671964,31.815159574468083
AGI-0_smartllama3.1-8B-001,44,37.781821534806475,36.21280424828345,46.68964380074762,10.285798490739928,30.67887905345959,43.844204695767196,34.86535904255319
AI-MO_NuminaMath-7B-CoT,44,33.39890030429913,26.99160449828677,43.135403541856526,7.259304986255695,26.479657029678005,33.00990823412698,28.681848404255316
AI-MO_NuminaMath-7B-TIR,44,31.48843959090336,27.820959498574894,41.430539080056555,1.4560153465177588,26.080171867189485,35.08275876322751,27.32712765957447
AI-Sweden-Models_Llama-3-8B-instruct,44,32.60309594624523,24.361305779775442,41.72395728546459,0.4174753445040118,26.811226501872476,47.6867931547619,25.972406914893615
AI-Sweden-Models_gpt-sw3-40b,44,25.42892729828153,14.839126850091091,32.66873484532107,0.6396095522509231,23.19543804443133,36.30381531084656,12.757646276595743
