Model,date,#Params (B),S_avg,S_pc1,mtype,open_R2,lic,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,C_FLOPs
GPT-2 (1.5B),2019-07-01,1.5,5.0,5.0,pretrained,True,historical,24.6,0.0,0.0,0.0,0.0,0.0,1.920000000001e+21
GPT-3 (175B),2020-07-01,175.0,50.0,50.0,pretrained,True,historical,29.2,14.3,0.0,0.0,0.0,2.5,
GPT-Neo (2.7B),2021-07-01,2.7,2.0,2.0,pretrained,True,historical,5.0,0.0,0.0,0.0,0.0,0.0,7.9e+21
GPT-J (6B),2021-07-01,6.0,5.0,5.0,pretrained,True,historical,6.9,0.0,0.0,0.0,0.0,0.0,1.5e+22
OPT (175B),2022-07-01,175.0,30.0,30.0,pretrained,True,historical,14.0,0.0,0.0,0.0,0.0,0.0,4.3e+23
Chinchilla (70B),2022-07-01,70.0,35.0,35.0,pretrained,True,historical,35.1,65.4,5.7,0.0,8.5,54.7,
OPT (1.3B),2022-07-01,1.3,1.0,1.0,pretrained,True,historical,5.0,0.0,0.0,0.0,0.0,0.0,
OPT (6.7B),2022-07-01,6.7,4.0,4.0,pretrained,True,historical,6.7,0.0,0.0,0.0,0.0,0.0,1.2060000000001e+22
OPT (30B),2022-07-01,30.0,12.0,12.0,pretrained,True,historical,8.5,0.0,0.0,0.0,0.0,0.0,5.4000000000001e+22
BLOOM (7B),2022-07-01,7.1,5.0,5.0,pretrained,True,historical,3.4,0.0,0.0,0.0,0.0,0.0,
BLOOM (176B),2022-07-01,176.0,25.0,25.0,pretrained,True,historical,8.5,0.0,0.0,0.0,0.0,0.0,3.65664e+23
Yi (6B),2023-07-01,6.0,5.0,5.0,pretrained,True,historical,13.6,0.0,0.0,0.0,0.0,0.0,1.26e+23
Yi (34B),2023-07-01,34.0,15.0,15.0,pretrained,True,historical,22.4,0.0,0.0,0.0,0.0,0.0,6.1e+23
Falcon (40B),2023-07-01,40.0,12.0,12.0,pretrained,True,historical,9.4,0.0,0.0,0.0,0.0,0.0,2.4e+23
Falcon (7B),2023-07-01,7.0,5.0,5.0,pretrained,True,historical,5.2,0.0,0.0,0.0,0.0,0.0,6.3e+22
Pythia-12B,2023-07-01,12.0,8.0,8.0,pretrained,True,historical,3.3,2.9,2.8,0.9,3.0,6.1,2.1590000000001e+22
LLaMA (13B),2023-07-01,13.0,15.0,15.0,pretrained,True,historical,9.5,28.1,4.0,0.0,4.8,0.0,7.8e+22
Pythia-1B,2023-07-01,1.0,1.0,1.0,pretrained,True,historical,2.3,2.2,0.9,0.9,2.7,1.5,1.799000000001e+21
LLaMA (65B),2023-07-01,65.0,35.0,35.0,pretrained,True,historical,14.4,30.6,6.8,0.0,3.4,57.0,5.5e+23
LLaMA (33B),2023-07-01,33.0,25.0,25.0,pretrained,True,historical,12.1,29.2,6.4,0.0,4.1,0.0,2.7300000000001e+23
Mixtral (8x7B),2023-07-01,46.7,20.0,20.0,pretrained,True,historical,19.7,0.0,0.0,0.0,0.0,0.0,7.74e+23
LLaMA (7B),2023-07-01,7.0,10.0,10.0,pretrained,True,historical,8.0,25.2,3.3,0.0,4.1,0.0,4.00000001e+22
Pythia-6.9B,2023-07-01,6.9,5.0,5.0,pretrained,True,historical,2.8,2.5,3.3,0.7,2.8,6.0,1.2420000000001e+22
Mistral (7B),2023-07-01,7.0,12.0,12.0,pretrained,True,historical,14.6,0.0,0.0,0.0,0.0,0.0,
mosaicml/mpt-7b,2024-06-08,7.0,6.032029339143736,6.186355319297453,pretrained,True,apache-2.0,21.51990053059216,6.550600790794161,1.5861027190332326,1.342281879194629,2.904947916666668,2.288342198581559,4.2e+22
google/gemma-7b,2024-06-08,8.538,15.442818570272308,17.050536011156147,pretrained,True,gemma,26.59321710838353,21.11609932329174,7.401812688821751,4.921700223713646,10.979947916666667,21.644134160756497,3.07e+23
ibm/merlinite-7b,2024-06-09,7.242,16.751033885892248,19.34382628811806,chat,True,apache-2.0,24.98703440205322,29.97724776968684,2.416918429003021,6.263982102908276,13.877864583333334,22.9831560283688,
EleutherAI/pythia-160m,2024-06-09,0.213,5.730394616916023,7.445418327160416,pretrained,True,apache-2.0,18.15516163778773,2.198832279508135,0.906344410876133,1.1185682326621946,10.675520833333332,1.3279403073286051,2.87900000001e+20
Qwen/Qwen1.5-7B,2024-06-09,7.721,16.024674155407357,17.648358350534984,pretrained,False,other,26.842998798742894,23.075768754340448,9.290030211480364,6.487695749440718,9.158333333333331,21.293218085106385,1.68e+23
tiiuae/falcon-11B,2024-06-09,11.103,13.851902586180216,13.963522562958364,pretrained,False,unknown,32.613243970442866,21.937999462890275,2.794561933534743,2.796420581655479,7.530729166666667,15.438460401891252,
Qwen/Qwen2-1.5B,2024-06-09,1.544,10.445452935561454,10.654423863331685,pretrained,True,apache-2.0,21.132705665412217,11.781833653483533,7.02416918429003,1.9015659955257265,3.5932291666666667,17.239213947990542,6.3e+22
EleutherAI/gpt-neox-20b,2024-06-09,20.739,6.1165221524743325,5.56678020023179,pretrained,True,apache-2.0,25.86880587951081,4.929114201526899,1.3595166163141994,0.0,2.816666666666666,1.725029550827422,9.31627008e+22
tiiuae/falcon-40b,2024-06-09,40.0,11.40130446230009,11.958569798926726,pretrained,True,apache-2.0,24.96453853553017,16.583304730312175,1.812688821752266,3.1319910514541416,5.193229166666668,16.722074468085104,2.4e+23
tiiuae/falcon-40b-instruct,2024-06-09,40.0,10.484506782098748,10.240697794511572,chat,True,apache-2.0,24.54487426694504,17.220114203264526,1.9637462235649543,0.0,5.161979166666666,14.016326832151298,
EleutherAI/pythia-410m,2024-06-09,0.506,5.227072311484412,5.40749701985165,pretrained,True,apache-2.0,21.954525104500505,2.7154281203357478,0.9818731117824772,1.230425055928408,3.0598958333333326,1.4202866430260035,7.37700000001e+20
tiiuae/falcon-7b-instruct,2024-06-09,7.0,5.1165739086852,5.162448091691445,chat,True,apache-2.0,19.68886997610784,4.823178460674432,1.2084592145015105,0.0,3.2539062500000004,1.725029550827422,
Qwen/Qwen2-7B,2024-06-09,7.616,23.9251621404824,25.724712465253027,pretrained,True,apache-2.0,31.48667757106699,34.711136202753416,20.39274924471299,7.270693512304249,14.322916666666666,35.366799645390074,2.9400000000001e+23
microsoft/phi-1_5,2024-06-09,1.418,7.170966845799231,7.743818413440843,pretrained,True,mit,20.32839532440591,7.468938770070243,1.812688821752266,2.348993288590602,3.385416666666666,7.681368203309693,1.17e+21
bigcode/starcoder2-7b,2024-06-09,7.174,8.2934383764798,8.469427031635039,pretrained,True,bigcode-openrail-m,22.09193827932109,11.395110106503443,3.096676737160121,0.2237136465324418,5.8166666666666655,7.1365248226950335,1.55e+23
microsoft/phi-2,2024-06-09,2.78,15.5342915582149,17.05314028195752,pretrained,True,mit,27.3875539125077,28.038519293439304,2.9456193353474323,2.9082774049217,13.83697916666666,18.088800236406616,2.27e+22
bigcode/starcoder2-3b,2024-06-09,3.03,6.549147626379535,6.176120071183416,pretrained,True,bigcode-openrail-m,20.370838264693237,8.909299421083569,1.5105740181268883,0.0,1.432291666666666,7.071882387706856,5.94e+22
tiiuae/falcon-7b,2024-06-09,7.0,5.17344472031948,5.53799309035362,pretrained,True,apache-2.0,18.205140139274903,5.963936911876051,0.9818731117824772,0.0,4.497135416666667,1.392582742316784,6.3e+22
bigcode/starcoder2-15b,2024-06-09,15.958,12.539175421645837,12.326021471629312,pretrained,True,bigcode-openrail-m,27.802231412651764,20.373540752678547,5.966767371601208,3.1319910514541416,2.9283854166666674,15.032136524822691,3.87e+23
stabilityai/stablelm-2-12b-chat,2024-06-12,12.143,16.778178021081665,15.967192403267132,chat,False,other,40.81647805600252,25.25369709081264,5.362537764350453,2.2371364653243813,7.728385416666669,19.27083333333333,
