domain,Q_used,source
arxiv,0.5314993383888529,direct/near_direct
freelaw,0.5456828449383707,default(均值)
nih_exporter,0.5456828449383707,default(均值)
pubmed_central,0.5456828449383707,default(均值)
wikipedia_en,0.5406789965575712,direct/near_direct
dm_mathematics,0.5456828449383707,default(均值)
github,0.5628982219336126,direct/near_direct
philpapers,0.5456828449383707,default(均值)
stackexchange,0.5197356090236628,direct/near_direct
enron_emails,0.5456828449383707,default(均值)
gutenberg_pg_19,0.5419892348177079,direct/near_direct
pile_cc,0.5772956689088162,direct/near_direct
ubuntu_irc,0.5456828449383707,default(均值)
europarl,0.5456828449383707,default(均值)
hackernews,0.5456828449383707,default(均值)
pubmed_abstracts,0.5456828449383707,default(均值)
uspto_backgrounds,0.5456828449383707,default(均值)
