domain,p_optimal,p_uniform,p_best_observed_train,p_train_mean
arxiv,0.0,0.058823529411764705,0.0,0.11300390625
freelaw,0.0,0.058823529411764705,0.185,0.09680859374999999
nih_exporter,0.0,0.058823529411764705,0.003,0.005888671875
pubmed_central,0.0,0.058823529411764705,0.044,0.113728515625
wikipedia_en,0.0,0.058823529411764705,0.136,0.075078125
dm_mathematics,0.0,0.058823529411764705,0.132,0.025460937500000003
github,0.0,0.058823529411764705,0.016,0.110689453125
philpapers,0.0,0.058823529411764705,0.022,0.005486328125
stackexchange,0.0,0.058823529411764705,0.105,0.09942382812499999
enron_emails,0.0,0.058823529411764705,0.0,0.0022109375000000002
gutenberg_pg_19,0.0,0.058823529411764705,0.011,0.046912109375
pile_cc,0.0,0.058823529411764705,0.052,0.119482421875
ubuntu_irc,1.0,0.058823529411764705,0.008,0.019599609375
europarl,0.0,0.058823529411764705,0.0,0.012736328125000002
hackernews,0.0,0.058823529411764705,0.074,0.0116484375
pubmed_abstracts,0.0,0.058823529411764705,0.077,0.066173828125
uspto_backgrounds,0.0,0.058823529411764705,0.137,0.075548828125
