domain,p_gbm_opt,p_gbm_opt_cap30,p_uniform,p_best_observed_train,p_train_mean
arxiv,0.013982952293440596,0.013982952293440598,0.058823529411764705,0.0,0.11300390625
freelaw,0.1453389316846945,0.14533893168469453,0.058823529411764705,0.185,0.09680859374999999
nih_exporter,0.037052678126753495,0.0370526781267535,0.058823529411764705,0.003,0.005888671875
pubmed_central,0.04393828381694368,0.04393828381694369,0.058823529411764705,0.044,0.113728515625
wikipedia_en,0.047112765708043194,0.0471127657080432,0.058823529411764705,0.136,0.075078125
dm_mathematics,0.0276533385997062,0.027653338599706204,0.058823529411764705,0.132,0.025460937500000003
github,0.009357436089135264,0.009357436089135265,0.058823529411764705,0.016,0.110689453125
philpapers,0.030557350013182695,0.0305573500131827,0.058823529411764705,0.022,0.005486328125
stackexchange,0.17785679160038823,0.17785679160038825,0.058823529411764705,0.105,0.09942382812499999
enron_emails,0.036017997901956714,0.03601799790195672,0.058823529411764705,0.0,0.0022109375000000002
gutenberg_pg_19,0.017246892382910904,0.017246892382910908,0.058823529411764705,0.011,0.046912109375
pile_cc,0.14687807523970023,0.14687807523970026,0.058823529411764705,0.052,0.119482421875
ubuntu_irc,0.008390350010791974,0.008390350010791976,0.058823529411764705,0.008,0.019599609375
europarl,0.003908387283400561,0.003908387283400562,0.058823529411764705,0.0,0.012736328125000002
hackernews,0.016286194312655856,0.01628619431265586,0.058823529411764705,0.074,0.0116484375
pubmed_abstracts,0.1479841249506603,0.14798412495066032,0.058823529411764705,0.077,0.066173828125
uspto_backgrounds,0.09043744998563566,0.09043744998563567,0.058823529411764705,0.137,0.075548828125
