domain,p_random_best
arxiv,0.0625309195726679
freelaw,0.07360844859337315
nih_exporter,0.06169791996344793
pubmed_central,0.07444080056022323
wikipedia_en,0.09108125739557121
dm_mathematics,0.10050614623404061
github,0.022855404208472683
philpapers,0.002712679752132934
stackexchange,0.11953423276811113
enron_emails,0.023189899802145558
gutenberg_pg_19,0.06267077721470699
pile_cc,0.004827108500933719
ubuntu_irc,0.11151543176696724
europarl,0.002695395446502006
hackernews,0.03873219859916504
pubmed_abstracts,0.07100253640315506
uspto_backgrounds,0.0763988432183837
