id,domain,fineweb_edu,fluency_en,modernbert_cleanliness,modernbert_readability,modernbert_reasoning,modernbert_professionalism,dsir_books,dsir_wiki,dsir_math,qurater,ad_en,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length,content_chars,content_latex_marks,content_digit_frac,content_alpha_frac
BkiUdvE4eIfiUWiFdbiw,arxiv,1.3297353982925415,0.0250244140625,-0.8934733072916666,-0.692450205485026,0.3326822916666667,-0.4435221354166667,-1961.1743289,-1934.91548054,-1629.94474532,1.6060791015625,0.482421875,83.0,10.0,3.39185707,42.168674698795186,28.957055214723923,12.060301507537687,8.040201005025125,16.542599272378048,12.5,1.6677602909446716,7.192771084337349,815,15,0.022085889570552148,0.7104294478527607
BkiUdb44dbjiU9oEeWKt,arxiv,1.7331242561340332,-0.091796875,-0.588134765625,-0.59326171875,-0.4451497395833333,-0.043782552083333336,-154369.18833858,-153364.53506907,-90314.71144863,4.83837890625,0.193359375,9571.0,540.0,6.3790167,25.953400898547695,38.79553515737732,0.6053693630461485,0.807159150728198,12.647271262329063,30.821205821205822,2.8428835632122555,7.145334865740257,107417,2743,0.0003909995624528706,0.033914557286090656
BkiUd0E5qhDBdMC-Fcd6,arxiv,3.1166553497314453,-0.107421875,-1.5166829427083333,-0.8264973958333334,-0.5166015625,-0.2535807291666667,-11232.84448784,-10967.79408182,-7571.03470828,4.40625,0.2958984375,1129.0,55.0,5.50254974,43.57838795394154,31.670984455958546,0.9984639016897081,0.5069124423963134,19.492032426012017,29.87012987012987,2.1510652887458006,5.766164747564216,9264,178,0.011010362694300517,0.3855785837651123
BkiUdPA4dbgg3Wyis_JT,arxiv,3.0763978958129883,-0.15234375,-0.4677734375,-0.6393229166666666,-0.4187825520833333,-0.18977864583333334,-42351.61297065,-40494.7602938,-29592.9795644,4.47265625,0.177734375,9641.0,920.0,6.08390266,19.62045006740641,34.774782202434935,0.7638016049502079,0.44087788842695547,3.0937775979217714,38.859180035650624,22.24032928239046,5.364070117207759,72774,513,0.0015252700140159948,0.05316459174980075
BkiUdILxK7FjYAb_67PT,arxiv,2.6187286376953125,-0.1201171875,-0.5076090494791666,-0.5208333333333334,-0.5319010416666666,-0.13444010416666666,-10655.54313657,-10351.29855005,-8341.18487053,6.103515625,0.0361328125,2458.0,151.0,5.72361449,33.36045565500407,25.279337221344093,0.8206079634651062,0.47095761381475665,22.791402850482694,42.857142857142854,4.172290251923287,5.701383238405207,18347,108,0.003379299067967515,0.21736523682345887
BkiUfYzxK6-gD5TlfjZo,arxiv,1.1885628700256348,0.332275390625,-0.365234375,-0.4886067708333333,-0.2880859375,-0.023111979166666668,-31678.20477217,-31203.72955155,-24333.19169891,1.3788728713989258,0.1591796875,6910.0,384.0,6.00791403,21.143270622286543,21.538952027305797,0.42700574085496035,1.6605778811026237,36.067880566935266,52.02156334231805,1.1885749211959455,6.100434153400868,53322,240,0.002756835827613368,0.07032744458197367
BkiUdZY5qrqCyq8KqH5a,arxiv,2.209501266479492,-0.07421875,-0.5190836588541666,-0.4599609375,-0.39306640625,-0.09375,-14980.26077953,-14547.54274361,-10655.80422186,3.781494140625,0.216796875,2339.0,188.0,5.75492169,31.08165882855921,24.078516902944386,0.9330600127235457,0.46653000636177283,20.178803632872818,29.910714285714285,1.7697639729624945,6.048311244121419,18340,170,0.003544165757906216,0.21319520174482007
BkiUcQrxK02iP15vfcUN,arxiv,2.7331137657165527,-0.119140625,-0.3982747395833333,-0.5999348958333334,-0.4368489583333333,-0.0234375,-44745.59197306,-44183.94024203,-27952.16573781,4.57421875,0.255859375,4966.0,326.0,5.80272899,20.7209021345147,35.6762755037704,0.5415499533146592,0.903828197945845,10.364483201431863,16.509926854754443,8.346475533559836,5.391663310511478,39651,1316,0.0009583617058838364,0.0937681269072659
BkiUd-7xK7IAD7XMJnpB,arxiv,2.6080095767974854,0.029296875,-0.43780517578125,-0.4440104166666667,-0.3343098958333333,-0.10677083333333333,-42902.1883601,-42193.5265106,-26749.78202732,4.47265625,0.009765625,7410.0,416.0,6.07193194,22.52361673414305,27.90986843210726,0.7449856733524355,0.5134670487106017,30.204365138082323,43.54304635761589,3.800917620259147,5.887314439946019,59513,912,0.000688925108799758,0.06795153999966394
BkiUdC84eIZjfagW4Wnr,arxiv,1.5654466152191162,-0.111328125,-0.4347330729166667,-0.4112955729166667,-0.4635416666666667,-0.01953125,-99277.06362318,-98331.70379868,-52166.76165494,5.818359375,0.0908203125,10552.0,551.0,6.43998743,23.36050037907506,35.69238130450859,0.8126712983619095,0.26770348651921727,18.130877703939507,29.72727272727273,5.099632196829859,5.947308567096285,91958,1684,0.0013701907392505274,0.04285652145544705
