metric,spearman_with_fineweb_edu,prior_direction,check
fluency_en,-0.19553847897418214,1,冲突(翻转)
modernbert_cleanliness,-0.0858013330098867,1,冲突(翻转)
modernbert_readability,-0.22140164799657475,1,冲突(翻转)
modernbert_reasoning,-0.26761376635847045,1,冲突(翻转)
modernbert_professionalism,-0.27954906143438185,1,冲突(翻转)
dsir_books,-0.3697196340903636,1,冲突(翻转)
dsir_wiki,-0.36875612495412663,1,冲突(翻转)
dsir_math,-0.360600348442584,1,冲突(翻转)
qurater,0.544657379935285,1,一致
ad_en,0.13930802345333862,-1,冲突(翻转)
rps_doc_word_count,0.3660437015810144,1,一致
rps_doc_num_sentences,0.33580209335427746,1,一致
rps_doc_unigram_entropy,0.3209665890776273,1,一致
rps_doc_frac_unique_words,-0.37495077035351076,1,冲突(翻转)
rps_doc_frac_no_alph_words,0.01921979074033441,-1,冲突(翻转)
rps_doc_frac_chars_top_2gram,-0.06200964792450009,-1,一致
rps_doc_frac_chars_top_3gram,0.10006473836655627,-1,冲突(翻转)
rps_lines_uppercase_letter_fraction,0.0540538405770058,-1,冲突(翻转)
rps_lines_ending_with_terminal_punctution_mark,-0.08237280066651034,1,冲突(翻转)
rps_lines_numerical_chars_fraction,0.12038752084009217,-1,冲突(翻转)
rps_doc_mean_word_length,-0.05220564422037711,1,冲突(翻转)
