metric,entropy,diff_coeff,weight,direction
fineweb_edu,0.9881002879613228,0.011899712038677235,0.03132040389316,1
fluency_en,0.9860373984750275,0.013962601524972529,0.036749991742657584,1
modernbert_cleanliness,0.9892438131254835,0.010756186874516516,0.028310610892531472,1
modernbert_readability,0.9893744046327144,0.010625595367285579,0.027966890074901996,1
modernbert_reasoning,0.9895369180871625,0.010463081912837513,0.027539149721619305,1
modernbert_professionalism,0.9896159658121962,0.010384034187803759,0.027331093705906858,1
dsir_books,0.9983688864630619,0.0016311135369381224,0.0042931404227645135,1
dsir_wiki,0.9984300973369392,0.0015699026630607849,0.004132031541620142,1
dsir_math,0.9983143754221423,0.0016856245778577028,0.004436615139857551,1
qurater,0.9893703946452267,0.010629605354773308,0.02797744448389223,1
ad_en,0.9834895520501216,0.016510447949878437,0.04345600099955615,-1
rps_doc_word_count,0.9042498139912122,0.09575018600878782,0.25201740083231394,1
rps_doc_num_sentences,0.9073868400273639,0.09261315997263608,0.2437606529247778,1
rps_doc_unigram_entropy,0.9932430644292441,0.006756935570755851,0.017784459864934474,1
rps_doc_frac_unique_words,0.9911175264813273,0.008882473518672662,0.02337894037022855,1
rps_doc_frac_no_alph_words,0.9972822784541875,0.0027177215458125126,0.007153125740129503,-1
rps_doc_frac_chars_top_2gram,0.9969222749019039,0.003077725098096118,0.008100666035545613,-1
rps_doc_frac_chars_top_3gram,0.9972670692721627,0.0027329307278373127,0.007193156769649631,-1
rps_lines_uppercase_letter_fraction,0.9892079636678943,0.010792036332105681,0.028404967754898723,-1
rps_lines_ending_with_terminal_punctution_mark,0.9843530734626964,0.015646926537303596,0.041183186386536105,1
rps_lines_numerical_chars_fraction,0.9974126198562343,0.002587380143765694,0.006810063206949002,-1
rps_doc_mean_word_length,0.9617405607035737,0.03825943929642628,0.10070000749556886,1
