metric,outlier_count,outlier_rate
rps_doc_num_sentences,15246,0.29759906304899475
rps_doc_word_count,12616,0.2462619558852235
dsir_wiki,4286,0.08366191684559829
rps_doc_mean_word_length,4073,0.07950419675971111
rps_lines_numerical_chars_fraction,3130,0.0610970134686707
rps_doc_frac_chars_top_3gram,2168,0.04231895373804411
rps_doc_frac_chars_top_2gram,1165,0.022740581690415772
rps_lines_ending_with_terminal_punctution_mark,1051,0.02051532305289869
modernbert_reasoning,971,0.018953738044114776
fluency_en,929,0.018133905914503222
rps_doc_frac_no_alph_words,861,0.016806558657036893
qurater,641,0.012512199882881124
fineweb_edu,604,0.011789966816318564
rps_doc_frac_unique_words,597,0.011653328128049971
dsir_books,592,0.011555729065000976
modernbert_professionalism,500,0.009759906304899472
modernbert_readability,460,0.008979113800507515
ad_en,414,0.008081202420456764
modernbert_cleanliness,378,0.007378489166504002
rps_lines_uppercase_letter_fraction,361,0.0070466523521374195
dsir_math,108,0.0021081397618582863
rps_doc_unigram_entropy,79,0.0015420651961741167
