,missing_A1,missing_A2,missing_A3
fineweb_edu,0.0,0.0,0.0
fluency_en,0.0,0.0,0.0
modernbert_cleanliness,0.0,0.0,0.0
modernbert_readability,0.0,0.0,0.0
modernbert_reasoning,0.0002537575639273863,0.0,0.0
modernbert_professionalism,9.759906304899473e-05,0.0,4.907927284149358e-06
dsir_books,0.0,0.0,0.0
dsir_wiki,0.0,0.0,0.0
dsir_math,0.0,0.0,0.0
qurater,0.0,0.0,0.0
ad_en,0.0,0.0,0.0
rps_doc_word_count,0.0,0.0,0.0
rps_doc_num_sentences,0.0,0.0,0.0
rps_doc_unigram_entropy,0.0,0.0,0.0
rps_doc_frac_unique_words,0.0,0.0,0.0
rps_doc_frac_no_alph_words,0.0,0.0,0.0
rps_doc_frac_chars_top_2gram,0.0,0.0,0.0
rps_doc_frac_chars_top_3gram,0.0,0.0,0.0
rps_lines_uppercase_letter_fraction,0.0,0.0,0.0
rps_lines_ending_with_terminal_punctution_mark,0.0,0.0,0.0
rps_lines_numerical_chars_fraction,0.0,0.0,0.0
rps_doc_mean_word_length,0.0,0.0,0.0
