,p1,p99,direction,reason
fineweb_edu,0.034469933509826654,3.2404500007629395,1,"教育价值评分,越高越好"
fluency_en,-0.2490234375,0.4776611328125,1,"语言流畅度,越高越好"
modernbert_cleanliness,-2.0758463541666665,0.6155126953124999,1,"文本洁净度,越高越好"
modernbert_readability,-1.0010921223958333,0.4726370747884114,1,"可读性,越高越好"
modernbert_reasoning,-0.45114583333333336,0.7210156249999997,1,"推理含量,越高越好"
modernbert_professionalism,-0.5354427083333334,0.25390136718750006,1,"专业性,越高越好"
dsir_books,-56918.4092252888,-232.54878165960002,1,"与书籍高质量语料的重要性权重,越高越好"
dsir_wiki,-60860.8279476777,-228.26818290040012,1,"与维基语料的重要性权重,越高越好"
dsir_math,-45615.732442883906,-227.74308688770012,1,"与数学语料的重要性权重,越高越好"
qurater,-4.053837890625,5.44970703125,1,"质量评级器得分,越高越好"
ad_en,-0.2552923583984375,0.482421875,-1,"广告含量,越低越好"
rps_doc_word_count,10.0,10201.969999999994,1,"文档词数,过短多为碎片,正向(弱)"
rps_doc_num_sentences,1.0,758.1299999999974,1,"句数,文档完整性,正向(弱)"
rps_doc_unigram_entropy,2.1371304051999997,6.325648439699999,1,"词汇丰富度,越高越好"
rps_doc_frac_unique_words,17.204759645793803,100.0,1,"词汇多样性,越高越好"
rps_doc_frac_no_alph_words,16.636897675691845,99.90756177631864,-1,"非字母词占比(乱码/模板噪声),越低越好"
rps_doc_frac_chars_top_2gram,0.0,21.0,-1,"高频二元组重复度,越低越好"
rps_doc_frac_chars_top_3gram,0.0,20.63594320725811,-1,"高频三元组重复度,越低越好"
rps_lines_uppercase_letter_fraction,1.1270577141703508,52.7577506193827,-1,"大写字母占比(标题党/噪声),越低越好"
rps_lines_ending_with_terminal_punctution_mark,0.4300563580039559,100.0,1,"句终标点占比(行文规范),越高越好"
rps_lines_numerical_chars_fraction,0.0,19.177330331870227,-1,"数字字符占比(表格/噪声),越低越好(弱)"
rps_doc_mean_word_length,3.9545454545454546,16.64097402597402,1,"平均词长,正向(弱)"
