N,D,spearman_Q_L_B67
0.07,10.0,-0.983350676378772
0.07,50.0,-0.9625390218522374
0.07,150.0,-0.9667013527575443
0.07,300.0,-0.8792924037460977
0.07,600.0,-0.983350676378772
0.16,10.0,-0.9292403746097815
0.16,50.0,-0.9521331945889698
0.16,150.0,-0.983350676378772
0.16,300.0,-0.9771071800208116
0.16,600.0,-1.0
0.41,10.0,-0.9105098855359002
0.41,50.0,-0.9771071800208116
0.41,150.0,-0.9771071800208116
0.41,300.0,-0.9125910509885536
0.41,600.0,-0.983350676378772
0.7,10.0,-0.983350676378772
0.7,50.0,-0.9521331945889698
0.7,150.0,-0.983350676378772
0.7,300.0,-0.9771071800208116
0.7,600.0,-0.9604578563995839
1.0,10.0,-0.9687825182101978
1.0,50.0,-0.8980228928199793
1.0,150.0,-0.9125910509885536
1.0,300.0,-0.9458896982310094
1.0,600.0,-0.9521331945889698
2.8,10.0,-0.983350676378772
2.8,50.0,-0.768990634755463
2.8,150.0,-0.8459937565036421
2.8,300.0,-0.9334027055150885
2.8,600.0,-0.983350676378772
4.0,10.0,-0.8730489073881373
4.0,50.0,-0.8938605619146722
4.0,150.0,-0.9937565036420396
4.0,300.0,-0.9125910509885536
4.0,600.0,-0.6462018730489074
6.9,10.0,-0.8605619146722165
6.9,50.0,-0.9167533818938606
6.9,150.0,-0.7273673257023934
6.9,300.0,-0.9334027055150885
6.9,600.0,-0.8938605619146722
11.97,10.0,-0.8522372528616025
11.97,50.0,-0.8314255983350676
11.97,150.0,-0.8647242455775235
11.97,300.0,-0.9209157127991675
11.97,600.0,-0.935483870967742
