N,D,spearman_Q_L_B8,n_Q,type
0.07,5,1.0,12,calibrated
0.07,10,1.0,4,calibrated
0.07,20,1.0,12,calibrated
0.07,50,1.0,4,calibrated
0.07,100,1.0,12,calibrated
0.07,150,1.0,4,calibrated
0.07,300,1.0,4,calibrated
0.07,500,1.0,12,calibrated
0.07,1000,1.0,12,calibrated
0.07,2000,1.0,12,calibrated
0.16,5,1.0,12,calibrated
0.16,10,1.0,4,calibrated
0.16,20,1.0,12,calibrated
0.16,50,1.0,4,calibrated
0.16,100,1.0,12,calibrated
0.16,150,1.0,4,calibrated
0.16,300,1.0,4,calibrated
0.16,500,1.0,12,calibrated
0.16,1000,1.0,12,calibrated
0.16,2000,1.0,12,calibrated
0.41,5,1.0,12,calibrated
0.41,10,1.0,4,calibrated
0.41,20,1.0,12,calibrated
0.41,50,1.0,4,calibrated
0.41,100,1.0,12,calibrated
0.41,150,1.0,4,calibrated
0.41,300,1.0,4,calibrated
0.41,500,1.0,12,calibrated
0.41,1000,1.0,12,calibrated
0.41,2000,1.0,12,calibrated
0.7,5,1.0,12,calibrated
0.7,10,0.9930069930069931,12,calibrated
0.7,20,1.0,12,calibrated
0.7,50,1.0,12,calibrated
0.7,100,1.0,12,calibrated
0.7,150,1.0,12,calibrated
0.7,300,1.0,12,calibrated
0.7,500,1.0,12,calibrated
0.7,1000,1.0,12,calibrated
0.7,2000,1.0,12,calibrated
1.0,5,1.0,12,calibrated
1.0,10,1.0,12,calibrated
1.0,20,1.0,12,calibrated
1.0,50,1.0,12,calibrated
1.0,100,0.9982502173821435,12,calibrated
1.0,150,0.9982502173821435,12,calibrated
1.0,300,0.9982502173821435,12,calibrated
1.0,500,0.9982502173821435,12,calibrated
1.0,1000,0.9982502173821435,12,calibrated
1.0,2000,0.9982502173821435,12,calibrated
2.8,5,0.9982502173821435,12,calibrated
2.8,10,0.9982502173821435,12,calibrated
2.8,20,0.9982502173821435,12,calibrated
