model_dir,BBH,GPQA,IFEval,MATH Lvl 5,MMLU-PRO,MUSR
0-hero_Matter-0.2-7B-DPO,35.84447144592953,25.922818791946305,33.02792147058693,0.8308157099697886,11.63563829787234,38.095238095238095
01-ai_Yi-1.5-34B,59.53827460510328,36.577181208053695,28.41172533322695,14.04833836858006,46.65890957446808,42.32804232804233
01-ai_Yi-1.5-34B-32K,59.81600416594341,36.3255033557047,31.186917379220468,13.444108761329304,47.09109042553192,43.91534391534391
01-ai_Yi-1.5-34B-Chat,60.649192848463805,36.49328859060403,60.66758423205982,23.338368580060422,45.20445478723404,42.72486772486773
01-ai_Yi-1.5-34B-Chat-16K,60.70126714112133,33.808724832214764,45.6449997118756,18.806646525679756,45.44547872340425,43.91534391534391
01-ai_Yi-1.5-6B,44.81860788057629,31.20805369127517,26.10606524022926,5.664652567975831,31.008976063829785,43.783068783068785
01-ai_Yi-1.5-6B-Chat,45.061621246311404,31.79530201342282,48.02302335580704,12.537764350453173,31.97307180851064,44.17989417989418
01-ai_Yi-1.5-9B,51.3626106578719,37.919463087248324,29.358435617494916,10.196374622356496,39.16223404255319,43.25396825396825
01-ai_Yi-1.5-9B-32K,49.401145634438464,35.90604026845637,23.031113002389215,9.592145015105741,37.649601063829785,41.7989417989418
01-ai_Yi-1.5-9B-Chat,55.28554070473876,33.47315436241611,60.45525871354672,11.63141993957704,39.752327127659576,42.46031746031746
01-ai_Yi-1.5-9B-Chat-16K,51.24110397500434,30.87248322147651,42.14040966856829,12.613293051359516,39.935172872340424,40.87301587301587
01-ai_Yi-34B,54.504426314875886,36.66107382550335,30.45751938190667,4.45619335347432,44.1156914893617,41.13756613756614
01-ai_Yi-34B-200K,54.01839958340566,35.65436241610738,15.424850507763843,4.45619335347432,45.34574468085106,38.095238095238095
01-ai_Yi-34B-Chat,55.268182607186255,33.808724832214764,46.98887839820565,6.268882175226587,40.93251329787234,39.682539682539684
01-ai_Yi-6B,42.66620378406527,26.929530201342285,28.933784580468714,1.5105740181268883,29.911901595744684,39.285714285714285
01-ai_Yi-6B-200K,42.45790661343517,28.187919463087248,8.433068702154728,1.2084592145015105,28.440824468085108,45.767195767195766
01-ai_Yi-6B-Chat,40.87831973615692,29.446308724832214,33.952135888331846,0.6797583081570997,30.61003989361702,36.77248677248677
01-ai_Yi-9B,49.2622808540184,31.79530201342282,27.08779372066118,4.380664652567976,35.73803191489361,40.476190476190474
01-ai_Yi-9B-200K,47.80420065960771,31.543624161073826,23.270921155866432,5.81570996978852,36.22007978723404,42.857142857142854
01-ai_Yi-Coder-9B-Chat,48.029855927790315,24.748322147651006,48.17041006750976,2.9456193353474323,24.251994680851062,39.81481481481482
1-800-LLMs_Qwen-2.5-14B-Hindi,64.97135913903837,36.241610738255034,58.257091184723194,25.075528700906347,52.62632978723404,44.84126984126984
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,62.575941676792226,36.99664429530201,30.774677854758703,30.589123867069485,51.637300531914896,44.84126984126984
1024m_PHI-4-Hindi,66.96754035757681,39.76510067114094,0.816832670647216,23.11178247734139,52.3936170212766,49.074074074074076
1024m_QWEN-14B-B100,65.11022391945843,35.06711409395973,77.62104549262622,0.0,51.78690159574468,40.87301587301587
152334H_miqu-1-70b-sf,60.87484811664642,35.06711409395973,51.81740005407873,10.80060422960725,42.278922872340424,45.767195767195766
1TuanPham_T-VisStar-7B-v0.1,50.32112480472141,28.523489932885905,36.07040430502179,4.531722054380665,32.106050531914896,43.65079365079365
1TuanPham_T-VisStar-v0.1,50.32112480472141,28.523489932885905,36.07040430502179,4.531722054380665,32.106050531914896,43.65079365079365
3rd-Degree-Burn_L-3.1-Science-Writer-8B,50.078111438986284,27.432885906040266,42.625012743963794,10.27190332326284,36.49434840425532,39.55026455026455
3rd-Degree-Burn_Llama-3.1-8B-Squareroot,34.247526471098766,25.671140939597315,22.134381219608418,21.07250755287009,17.49501329787234,30.82010582010582
3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,33.153966325290746,25.587248322147648,28.92381104358657,6.193353474320242,11.269946808510637,33.33333333333333
3rd-Degree-Burn_Llama-Squared-8B,44.106925880923455,27.181208053691275,27.552449722292405,4.229607250755287,23.66190159574468,30.82010582010582
4season_final_model_test_v2,63.235549383787536,32.718120805369125,31.911328608093193,1.3595166163141994,35.280917553191486,43.12169312169312
AALF_FuseChat-Llama-3.1-8B-Instruct-preview,50.9460163166117,30.536912751677853,71.89579205397236,7.02416918429003,37.32546542553192,38.095238095238095
AALF_FuseChat-Llama-3.1-8B-SFT-preview,52.2131574379448,30.453020134228186,72.80504616639405,11.404833836858005,37.433510638297875,40.07936507936508
AALF_gemma-2-27b-it-SimPO-37K,38.899496615170975,28.02013422818792,24.065257959990603,0.0,19.71409574468085,34.78835978835979
AALF_gemma-2-27b-it-SimPO-37K-100steps,39.17722617601111,28.859060402684566,25.67642743476199,0.0,21.251662234042552,33.2010582010582
AELLM_gemma-2-aeria-infinity-9b,59.76392987328589,33.38926174496644,75.9399504426034,0.0,38.6220079787234,40.07936507936508
AELLM_gemma-2-lyco-infinity-9b,58.28849158132269,32.802013422818796,73.16475839660988,0.0,37.8656914893617,39.94708994708995
AGI-0_Art-v0-3B,33.865648324943585,26.090604026845636,33.180294950730726,13.595166163141995,25.282579787234045,39.81481481481482
AGI-0_Artificium-llama3.1-8B-001,42.37111612567263,26.593959731543627,52.47687247614108,10.27190332326284,31.815159574468083,37.83068783068783
AGI-0_smartllama3.1-8B-001,46.39819475785454,30.620805369127517,35.178659290682056,11.858006042296072,34.86535904255319,43.783068783068785
AI-MO_NuminaMath-7B-CoT,42.978649540010416,26.593959731543627,26.88544173903022,7.930513595166164,28.681848404255316,32.93650793650794
AI-MO_NuminaMath-7B-TIR,41.27755597986461,25.838926174496645,27.562423259174544,1.7371601208459215,27.32712765957447,35.05291005291005
AI-Sweden-Models_Llama-3-8B-instruct,41.4684950529422,26.593959731543627,24.012841482821138,0.4531722054380665,25.972406914893615,47.61904761904761
AI-Sweden-Models_gpt-sw3-40b,32.45964242319042,23.48993288590604,14.702988071649889,0.6042296072507553,12.757646276595743,36.24338624338625
AI4free_Dhanishtha,33.76149973962853,25.25167785234899,24.664778343683647,25.604229607250755,16.4311835106383,35.58201058201058
AI4free_t2,28.745009546953654,25.75503355704698,38.66828902866616,18.957703927492446,11.436170212765957,38.35978835978836
AIDC-AI_Marco-o1,53.34143377885784,25.922818791946305,47.7083028586373,10.649546827794563,41.165226063829785,41.269841269841265
Aashraf995_Creative-7B-nerd,55.84099982641902,32.63422818791946,47.21871301480073,28.54984894259819,44.921875,45.10582010582011
Aashraf995_Gemma-Evo-10B,60.354105190071174,35.40268456375839,73.32211864519476,20.090634441087612,42.75265957446808,45.8994708994709
Aashraf995_Qwen-Evo-7B,56.81305328935948,32.5503355704698,47.57343847657549,29.984894259818727,44.622672872340424,45.370370370370374
Aashraf995_QwenStock-14B,65.2838048949835,38.92617449664429,50.08632650256873,33.383685800604226,53.82313829787234,47.883597883597886
AbacusResearch_Jallabi-34B,59.868078458600934,33.89261744966443,35.28604103777976,3.927492447129909,46.81682180851064,48.148148148148145
Ahdoot_StructuredThinker-v0.3-MoreStructure,48.13400451310537,29.697986577181208,41.92808415005519,23.48942598187311,36.10372340425532,41.53439153439153
Ahdoot_Test_StealthThinker,46.1031070994619,29.61409395973154,42.20036170693759,14.577039274924472,35.97074468085106,42.72486772486773
AicoresSecurity_Cybernet-Sec-3B-R1-V0,44.87068217323381,26.34228187919463,63.58018945287394,11.555891238670695,30.1030585106383,33.06878306878307
AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder,44.52352022218365,27.181208053691275,70.97656440466851,14.879154078549849,31.78191489361702,33.99470899470899
AicoresSecurity_Cybernet-Sec-3B-R1-V1,42.63148758896025,26.090604026845636,61.45693426774292,15.181268882175228,28.76496010638298,32.804232804232804
AicoresSecurity_Cybernet-Sec-3B-R1-V1.1,43.672973442110745,27.097315436241608,67.30209178313542,17.598187311178247,30.8843085106383,35.317460317460316
Alepach_notHumpback-M0,28.6408609616386,25.419463087248324,26.83047646910198,0.3021148036253776,11.627327127659575,34.78835978835979
Alepach_notHumpback-M1,29.109529595556328,25.335570469798657,22.88627508344526,0.6042296072507553,10.987367021276597,35.317460317460316
