task,leaderboard_bbh_boolean_expressions,leaderboard_bbh_causal_judgement,leaderboard_bbh_date_understanding,leaderboard_bbh_disambiguation_qa,leaderboard_bbh_formal_fallacies,leaderboard_bbh_geometric_shapes,leaderboard_bbh_hyperbaton,leaderboard_bbh_logical_deduction_five_objects,leaderboard_bbh_logical_deduction_seven_objects,leaderboard_bbh_logical_deduction_three_objects,leaderboard_bbh_movie_recommendation,leaderboard_bbh_navigate,leaderboard_bbh_object_counting,leaderboard_bbh_penguins_in_a_table,leaderboard_bbh_reasoning_about_colored_objects,leaderboard_bbh_ruin_names,leaderboard_bbh_salient_translation_error_detection,leaderboard_bbh_snarks,leaderboard_bbh_sports_understanding,leaderboard_bbh_temporal_sequences,leaderboard_bbh_tracking_shuffled_objects_five_objects,leaderboard_bbh_tracking_shuffled_objects_seven_objects,leaderboard_bbh_tracking_shuffled_objects_three_objects,leaderboard_bbh_web_of_lies,leaderboard_gpqa_diamond,leaderboard_gpqa_extended,leaderboard_gpqa_main,leaderboard_math_algebra_hard,leaderboard_math_counting_and_prob_hard,leaderboard_math_geometry_hard,leaderboard_math_intermediate_algebra_hard,leaderboard_math_num_theory_hard,leaderboard_math_prealgebra_hard,leaderboard_math_precalculus_hard,leaderboard_musr_murder_mysteries,leaderboard_musr_object_placements,leaderboard_musr_team_allocation
leaderboard_bbh_boolean_expressions,1.0,0.694154416025973,0.8037239490787085,0.6987989146436202,0.7428451536771586,0.7355812526431127,0.6658186776092855,0.8278434594023792,0.8129035697873512,0.8550629985947756,0.7058527308439423,0.7235790130783175,0.6688421520256481,0.8580571026720832,0.8509646978734231,0.7868319392986719,0.8237153818033869,0.7582359351777449,0.6853382430969878,0.6613452259854662,0.4649053069877802,0.5463445878884993,0.11011856036732354,0.35167054288421806,0.697919774120698,0.7053065761240188,0.7278267542123681,0.6499092714392651,0.6489338075917138,0.6074718929555207,0.5791377277974287,0.6320429562412243,0.6733165927835323,0.6029804306309375,0.6511826336569171,0.4879169564386566,0.4575710091264641
leaderboard_bbh_causal_judgement,0.694154416025973,1.0,0.724585602942462,0.7078093625301705,0.6889471172386706,0.6501587292149291,0.6557796217421137,0.7680685347121564,0.7741137215895817,0.7654770580504214,0.6318332808216388,0.6008983672985231,0.6189373257377768,0.7743536504203199,0.781780366776296,0.7929174160535711,0.7675298062155491,0.7113810180697091,0.7291293572385404,0.6184749005180987,0.43584352713726365,0.5667679493432661,0.09630762626852349,0.16444480741286124,0.6443279592151189,0.5638818535389812,0.611659677939643,0.5079721444401584,0.5239957337467608,0.4865008488250604,0.4683619880761595,0.502512679439286,0.5632864758452605,0.5029774615315745,0.68481682233113,0.49377931425008775,0.4803880803733878
leaderboard_bbh_date_understanding,0.8037239490787085,0.724585602942462,1.0,0.7360156463776488,0.7555772459508093,0.8036839268235985,0.6534491425786845,0.8865031882777915,0.8747962531292629,0.8823458914304227,0.767317744734583,0.6883825395533085,0.639613455606417,0.8749864001059345,0.8523216527947686,0.8123047378111032,0.8710275359245981,0.7847464682512091,0.6462339080721128,0.6386305436521573,0.41835461147133857,0.5438057295715266,0.059129113295788044,0.31827993173878916,0.7197405368289479,0.7327264938851433,0.7359692523319534,0.5777524344093693,0.6001577561112982,0.5485540163731603,0.5210961085639433,0.5631605506330437,0.6111816514363007,0.5708033665376241,0.6244589459297915,0.4822210403016749,0.5218653702572074
leaderboard_bbh_disambiguation_qa,0.6987989146436202,0.7078093625301705,0.7360156463776488,1.0,0.7291225970759949,0.6643723412200583,0.6449030513128128,0.7935396600606909,0.7924111318239857,0.7956263251259164,0.7032753602059446,0.5564069011897428,0.5997791969809091,0.7978567754055838,0.7566885116525386,0.7317558081883335,0.770081916053566,0.7376738337268398,0.6827952626209373,0.5869673084587085,0.41889201125779696,0.5441549337649076,0.023256617567155292,0.21147936173094012,0.6425809005598986,0.5983732748703617,0.6911998403467152,0.47812384092397275,0.5025054373812481,0.4633884320329118,0.4610417614725346,0.4763112407294685,0.5314317207374611,0.4928114904301866,0.6426310708535058,0.5467634066094197,0.5402619977681922
leaderboard_bbh_formal_fallacies,0.7428451536771586,0.6889471172386706,0.7555772459508093,0.7291225970759949,1.0,0.6845747112705581,0.6102935205732768,0.8060721739745187,0.8187884237553509,0.8147013469424726,0.5848764395907665,0.676451268468373,0.6359530518505516,0.8325166266597349,0.8288242513808156,0.7856500526451305,0.8282857392294241,0.7545135226500178,0.6271314499888696,0.7098603630022999,0.5232374944069147,0.6634086000200352,0.0817916688641196,0.3143570357648692,0.6794805053493393,0.6588852010867272,0.6812401525777474,0.569239120478758,0.5851308814112186,0.5446773751207347,0.5274054733215736,0.578794779919205,0.6001805383756683,0.560614197226641,0.5918564566566448,0.49200632977165615,0.5479313606327405
leaderboard_bbh_geometric_shapes,0.7355812526431127,0.6501587292149291,0.8036839268235985,0.6643723412200583,0.6845747112705581,1.0,0.5921703109595496,0.8176276651741756,0.7988392406446845,0.8214335066691559,0.6634583455737004,0.6514016705466865,0.5504956048681464,0.8031730930338361,0.7764693695064366,0.7401195955136596,0.8023386971985718,0.7316295678990034,0.6249333104991542,0.5916612237156366,0.39018592356588805,0.5072467025130994,-0.021813512812013408,0.2646242710448946,0.6736030949673595,0.6495710954729946,0.6795483436097952,0.5463826465533037,0.5472437625822323,0.5160738998734656,0.48626049379787667,0.5350582390797984,0.5691554723053046,0.532541714012135,0.5871382779851518,0.47846960004109784,0.494597493061276
leaderboard_bbh_hyperbaton,0.6658186776092855,0.6557796217421137,0.6534491425786845,0.6449030513128128,0.6102935205732768,0.5921703109595496,1.0,0.7071904245726681,0.6954376501190336,0.7127395155503099,0.5931676850293095,0.5235029046576498,0.605993302344583,0.7030225884833611,0.7403164357136717,0.7224993217087896,0.6985847099700035,0.636564938503481,0.6119991326196784,0.540357212794358,0.40795432698220363,0.5572547718021775,0.1282651015892154,0.10705704802851726,0.596668907335942,0.5550429441006545,0.6154426750706855,0.5013501708051082,0.4881924126608417,0.4618503972398726,0.42755471911835835,0.4908468772944064,0.530668621529791,0.47825854364749526,0.5978849461126755,0.4738358374444525,0.322679771068837
leaderboard_bbh_logical_deduction_five_objects,0.8278434594023792,0.7680685347121564,0.8865031882777915,0.7935396600606909,0.8060721739745187,0.8176276651741756,0.7071904245726681,1.0,0.9477109330929491,0.9617162091207052,0.7322026870229317,0.7352733062045299,0.643279729496575,0.9062415635035369,0.893796973574837,0.8466642851780661,0.9097920246648896,0.8417570902981965,0.6799151196478088,0.7218923912218225,0.476239017160232,0.5929586002262354,0.025903386889918008,0.3312582451577664,0.7567912367582104,0.7366024183058895,0.7682277447636262,0.620821356379577,0.6316320347677972,0.5862923328565102,0.5667488277025693,0.6097587009429215,0.6509558341958334,0.5971964457836204,0.6602781039815223,0.5204964240431406,0.5586268279956815
leaderboard_bbh_logical_deduction_seven_objects,0.8129035697873512,0.7741137215895817,0.8747962531292629,0.7924111318239857,0.8187884237553509,0.7988392406446845,0.6954376501190336,0.9477109330929491,1.0,0.941788779394012,0.7042963694592791,0.7194396730193902,0.6581307884175023,0.916813895421143,0.9079189979425086,0.8598580401979603,0.9045751760512887,0.8014006226353255,0.7039656809105101,0.7075685662592411,0.4799970324242581,0.6153626579484193,0.0401104583265537,0.31617117083918156,0.7419884225888205,0.7265072652504994,0.7603767118408181,0.6109922136071227,0.6152554221422187,0.5768321361240508,0.5519657183121971,0.6012234267473937,0.6421668060783208,0.5901793676858629,0.6529198516041341,0.5080202230367006,0.5342829522938037
leaderboard_bbh_logical_deduction_three_objects,0.8550629985947756,0.7654770580504214,0.8823458914304227,0.7956263251259164,0.8147013469424726,0.8214335066691559,0.7127395155503099,0.9617162091207052,0.941788779394012,1.0,0.727721500332438,0.7438267196906356,0.6442100781910338,0.921634973334619,0.9144289766520229,0.8562233856096098,0.9224651180768165,0.8510033752921942,0.6853388799246671,0.7369875506912807,0.5049794514101539,0.6189443042674773,0.03350438668232385,0.3417106632717048,0.763443025315114,0.7447561379661635,0.7876681095814196,0.6355327989914648,0.6436910674538213,0.601044108494841,0.5743494927439337,0.623239059038453,0.663304361959091,0.6134238849818591,0.6751844914535071,0.5318923924858918,0.5665381219852532
