task,count,mean,std,mean_pct,std_pct
leaderboard_bbh_temporal_sequences,1860,0.3927645161290323,0.27146638324851846,39.27645161290323,27.146638324851846
leaderboard_bbh_ruin_names,1860,0.5216408602150537,0.24634978226161716,52.164086021505376,24.634978226161717
leaderboard_bbh_reasoning_about_colored_objects,1860,0.480552688172043,0.23439092763774097,48.0552688172043,23.4390927637741
leaderboard_math_algebra_hard,1857,0.2007552723298936,0.20187999891211372,20.07552723298936,20.187999891211373
leaderboard_bbh_logical_deduction_three_objects,1860,0.5841096774193548,0.19501954995833842,58.41096774193548,19.50195499583384
leaderboard_math_prealgebra_hard,1857,0.20534175406876654,0.1868458311324735,20.534175406876653,18.68458311324735
leaderboard_bbh_movie_recommendation,1860,0.5790440860215054,0.17378807183856254,57.90440860215054,17.378807183856253
leaderboard_bbh_salient_translation_error_detection,1860,0.4063139784946237,0.17164897916281946,40.63139784946237,17.164897916281944
leaderboard_bbh_date_understanding,1860,0.4586,0.16014332338149043,45.86,16.014332338149043
leaderboard_bbh_penguins_in_a_table,1860,0.4495505965532479,0.15791780792971893,44.95505965532479,15.791780792971894
leaderboard_bbh_logical_deduction_seven_objects,1860,0.36331182795698924,0.15683647538325646,36.33118279569892,15.683647538325646
leaderboard_bbh_geometric_shapes,1860,0.3285279569892473,0.1542402741019649,32.85279569892473,15.424027410196489
leaderboard_bbh_logical_deduction_five_objects,1860,0.3940182795698925,0.14507250209894104,39.40182795698925,14.507250209894105
leaderboard_bbh_disambiguation_qa,1860,0.5302430107526881,0.14426513559640694,53.02430107526881,14.426513559640695
leaderboard_bbh_object_counting,1860,0.3409129032258064,0.14123449781464367,34.09129032258064,14.123449781464368
leaderboard_math_num_theory_hard,1857,0.10326486652819447,0.12950379383740385,10.326486652819447,12.950379383740385
leaderboard_bbh_sports_understanding,1860,0.6800677419354838,0.1282724949302459,68.00677419354838,12.82724949302459
leaderboard_bbh_boolean_expressions,1860,0.7639655913978495,0.12509154861171545,76.39655913978494,12.509154861171545
leaderboard_bbh_snarks,1860,0.6026247432644678,0.11926616953979133,60.26247432644678,11.926616953979133
leaderboard_math_counting_and_prob_hard,1857,0.08651641120611529,0.11543330421443544,8.65164112061153,11.543330421443544
leaderboard_bbh_hyperbaton,1860,0.6319892473118279,0.10735487542009362,63.19892473118279,10.735487542009361
leaderboard_bbh_navigate,1860,0.5850408602150537,0.0950843030568235,58.50408602150537,9.50843030568235
leaderboard_musr_team_allocation,1856,0.36696012931034483,0.08403289385973502,36.69601293103448,8.403289385973501
leaderboard_bbh_formal_fallacies,1860,0.5572860215053763,0.08133103262244767,55.72860215053763,8.133103262244767
leaderboard_math_geometry_hard,1857,0.05486447675462215,0.0731407255985429,5.486447675462215,7.31407255985429
leaderboard_musr_object_placements,1856,0.29733053273168103,0.06069518609055375,29.733053273168103,6.069518609055375
leaderboard_bbh_tracking_shuffled_objects_seven_objects,1860,0.17434193548387097,0.06001666672332736,17.434193548387096,6.001666672332736
leaderboard_math_precalculus_hard,1857,0.043284269730150184,0.058418987908076044,4.328426973015018,5.841898790807605
leaderboard_bbh_causal_judgement,1860,0.5781978034615606,0.05795950856421362,57.81978034615606,5.795950856421362
leaderboard_math_intermediate_algebra_hard,1857,0.0351411647049773,0.05084247589868631,3.51411647049773,5.084247589868631
leaderboard_gpqa_diamond,1856,0.29439959944270294,0.05036963032227561,29.439959944270296,5.036963032227561
leaderboard_bbh_tracking_shuffled_objects_five_objects,1860,0.20326774193548386,0.04616297499763924,20.326774193548385,4.616297499763924
leaderboard_bbh_web_of_lies,1860,0.5115623655913978,0.04254456111248033,51.15623655913978,4.254456111248033
leaderboard_gpqa_main,1856,0.2972933343596059,0.04216258236080461,29.72933343596059,4.216258236080462
leaderboard_gpqa_extended,1856,0.2999308450170519,0.038414752764931746,29.99308450170519,3.8414752764931746
leaderboard_musr_murder_mysteries,1856,0.5370592672413793,0.03438536547451372,53.70592672413793,3.4385365474513723
leaderboard_bbh_tracking_shuffled_objects_three_objects,1860,0.3298129032258065,0.033276442407859715,32.98129032258065,3.3276442407859714
