model_dir,bbh_from_subtasks,BBH,abs_diff
0-hero_Matter-0.2-7B-DPO,35.96254301656297,10.055525080241036,25.90701793632193
01-ai_Yi-1.5-34B,59.76391706360017,42.74936268839652,17.014554375203645
01-ai_Yi-1.5-34B-32K,60.156857765424164,43.38184666762572,16.77501109779844
01-ai_Yi-1.5-34B-Chat,60.837483102718195,44.262825981005655,16.57465712171254
01-ai_Yi-1.5-34B-Chat-16K,61.00218256499572,44.53615654671034,16.466026018285383
01-ai_Yi-1.5-6B,44.88346218753918,22.027904536694773,22.855557650844407
01-ai_Yi-1.5-6B-Chat,45.54861043778055,23.67872313235784,21.86988730542271
01-ai_Yi-1.5-9B,51.4294179104191,30.50071699492122,20.928700915497878
01-ai_Yi-1.5-9B-32K,49.6332115988265,28.937011582169664,20.696200016656835
01-ai_Yi-1.5-9B-Chat,55.59064302816849,36.95293138417893,18.63771164398956
01-ai_Yi-1.5-9B-Chat-16K,51.53383364651778,31.49760894701832,20.036224699499456
01-ai_Yi-34B,54.570999517945616,35.542431259008794,19.028568258936822
01-ai_Yi-34B-200K,54.418179252895285,36.02211028900003,18.396068963895253
01-ai_Yi-34B-Chat,55.608729107661645,37.623987597243485,17.98474151041816
01-ai_Yi-6B,43.092305910008655,19.408504737915056,23.6838011720936
01-ai_Yi-6B-200K,42.89294810960331,20.148020103768047,22.744928005835263
01-ai_Yi-6B-Chat,41.32601920754869,17.00016656742376,24.32585264012493
01-ai_Yi-9B,49.39607512530807,27.62695611207793,21.769119013230142
01-ai_Yi-9B-200K,47.933026020236404,26.49249509714754,21.440530923088865
01-ai_Yi-Coder-9B-Chat,48.142000339111675,25.94315294491389,22.198847394197784
1-800-LLMs_Qwen-2.5-14B-Hindi,65.239015319562,49.32988995210337,15.909125367458628
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,62.843227149675826,46.54015554088327,16.303071608792557
1024m_PHI-4-Hindi,67.10015642760666,52.46181381023763,14.638342617369034
1024m_QWEN-14B-B100,65.3271132679638,49.77664782103219,15.550465446931604
152334H_miqu-1-70b-sf,61.02361685099691,43.807147003691966,17.216469847304943
1TuanPham_T-VisStar-7B-v0.1,50.52203113352468,30.24383447882599,20.27819665469869
1TuanPham_T-VisStar-v0.1,50.52203113352468,30.24383447882599,20.27819665469869
3rd-Degree-Burn_L-3.1-Science-Writer-8B,50.41306326216103,29.19930078641656,21.21376247574447
3rd-Degree-Burn_Llama-3.1-8B-Squareroot,34.609423326328866,8.618063681935197,25.99135964439367
3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,33.42770311925125,6.515144725982737,26.91255839326851
3rd-Degree-Burn_Llama-Squared-8B,44.31025683868353,21.277103190106818,23.03315364857671
4season_final_model_test_v2,63.42049783295018,47.410670136906425,16.009827696043757
AALF_FuseChat-Llama-3.1-8B-Instruct-preview,51.19887898349903,30.84806521622957,20.350813767269457
AALF_FuseChat-Llama-3.1-8B-SFT-preview,52.40303130445233,32.53678156315301,19.866249741299313
AALF_gemma-2-27b-it-SimPO-37K,39.113439179525336,15.307880971954305,23.805558207571032
