数据集,指标,指标中文,最小值,最大值,均值,有效数,总行数,最小值(元素),最大值(元素)
A1_sample,dsir_books,DSIR图书相似度,-1242823.60370116,-24.02237722,-4697.6895073791775,51230,51230,,
A1_sample,dsir_wiki,DSIR百科相似度,-1561611.03426511,-25.0120389,-4826.223804802524,51230,51230,,
A1_sample,dsir_math,DSIR数学相似度,-1668348.05111975,-22.86740911,-4380.175070731871,51230,51230,,
A1_sample,rps_doc_word_count,文档词数,1.0,552671.0,951.7855943782939,51230,51230,,
A1_sample,rps_doc_num_sentences,文档句数,1.0,25078.0,72.64895569002537,51230,51230,,
A1_sample,rps_doc_unigram_entropy,一元词熵,0.0,7.84673154,4.536075693867081,51230,51230,,
A1_sample,rps_doc_frac_unique_words,唯一词占比,5.088363331179848,100.0,56.34188503346631,51230,51230,,
A1_sample,rps_doc_frac_no_alph_words,非字母词占比,4.347826086956516,100.0,28.294274380936795,51230,51230,,
A1_sample,rps_doc_frac_chars_top_2gram,最高频2-gram字符占比,0.0,135.13338722716247,3.5870232064886847,51230,51230,,
A1_sample,rps_doc_frac_chars_top_3gram,最高频3-gram字符占比,0.0,201.6814874696847,2.9163775954724604,51230,51230,,
A1_sample,rps_lines_uppercase_letter_fraction,大写字母行占比,0.0,86.95652173913044,20.083446680856348,51230,51230,,
A1_sample,rps_lines_ending_with_terminal_punctution_mark,句末标点行占比,0.0,100.0,54.5922408628873,51230,51230,,
A1_sample,rps_lines_numerical_chars_fraction,数字字符行占比,0.0,72.34424037417816,2.4988664533558524,51230,51230,,
A1_sample,rps_doc_mean_word_length,平均词长,1.9272030651340997,83.0,6.206584586105446,51230,51230,,
A1_sample,fluency_en,英语流畅度,,,,51230,51230,-3.921875,3.716796875
A1_sample,modernbert_cleanliness,ModernBERT干净度,,,,51230,51230,-21.015625,20.8125
A1_sample,modernbert_readability,ModernBERT可读性,,,,51230,51230,-13.296875,16.234375
A1_sample,modernbert_reasoning,ModernBERT推理性,,,,51230,51230,-10.3515625,17.953125
A1_sample,modernbert_professionalism,ModernBERT专业性,,,,51230,51230,-11.0,18.484375
A1_sample,qurater,QuRater质量等级,,,,51230,51230,-8.375,12.8203125
A1_sample,ad_en,英文广告含量,,,,51230,51230,-3.97265625,4.6796875
A1_sample,fineweb_edu,FineWeb教育价值,,,,51230,51230,-0.652137815952301,4.375569820404053
A2_arxiv,dsir_books,DSIR图书相似度,-2026325.80102772,-316.68028944,-51540.452952973086,17523,17523,,
A2_arxiv,dsir_wiki,DSIR百科相似度,-1966147.71309439,-313.93355077,-50951.931298065174,17523,17523,,
A2_arxiv,dsir_math,DSIR数学相似度,-1508740.10117446,-306.94026452,-33394.4667697296,17523,17523,,
A2_arxiv,rps_doc_word_count,文档词数,10.0,217176.0,7027.644410203732,17523,17523,,
A2_arxiv,rps_doc_num_sentences,文档句数,1.0,30449.0,465.1799349426468,17523,17523,,
A2_arxiv,rps_doc_unigram_entropy,一元词熵,2.30258509,7.80240899,5.927951075331276,17523,17523,,
A2_arxiv,rps_doc_frac_unique_words,唯一词占比,2.720757022773438,100.0,24.802553877800804,17523,17523,,
A2_arxiv,rps_doc_frac_no_alph_words,非字母词占比,15.985130111524157,91.47592509058103,30.46636315983602,17523,17523,,
A2_arxiv,rps_doc_frac_chars_top_2gram,最高频2-gram字符占比,0.0,21.883763659220577,1.161278013413774,17523,17523,,
A2_arxiv,rps_doc_frac_chars_top_3gram,最高频3-gram字符占比,0.0,35.37375495600038,0.8996134853295915,17523,17523,,
A2_arxiv,rps_lines_uppercase_letter_fraction,大写字母行占比,0.5336562412395783,87.8054690204223,19.032866450123468,17523,17523,,
A2_arxiv,rps_lines_ending_with_terminal_punctution_mark,句末标点行占比,0.20883054892601433,100.0,34.97276860637065,17523,17523,,
A2_arxiv,rps_lines_numerical_chars_fraction,数字字符行占比,0.0,85.67810452791292,4.123259840350194,17523,17523,,
A2_arxiv,rps_doc_mean_word_length,平均词长,2.986633821449751,39.0,5.818180279833932,17523,17523,,
A2_arxiv,fluency_en,英语流畅度,,,,17523,17523,-3.783203125,3.44921875
A2_arxiv,modernbert_cleanliness,ModernBERT干净度,,,,17523,17523,-16.8125,16.71875
A2_arxiv,modernbert_readability,ModernBERT可读性,,,,17523,17523,-10.109375,12.5390625
A2_arxiv,modernbert_reasoning,ModernBERT推理性,,,,17523,17523,-8.375,15.703125
A2_arxiv,modernbert_professionalism,ModernBERT专业性,,,,17523,17523,-6.75390625,13.953125
A2_arxiv,qurater,QuRater质量等级,,,,17523,17523,-5.296875,12.53125
A2_arxiv,ad_en,英文广告含量,,,,17523,17523,-3.9296875,4.53515625
A2_arxiv,fineweb_edu,FineWeb教育价值,,,,17523,17523,-0.13706642389297485,4.345012187957764
A3_github,dsir_books,DSIR图书相似度,-1875504.79852465,-16.82294988,-5417.6570613872245,203752,203752,,
A3_github,dsir_wiki,DSIR百科相似度,-1906833.36424408,-17.66218046,-5441.128661353359,203752,203752,,
A3_github,dsir_math,DSIR数学相似度,-1754034.28491041,-15.05893869,-5037.957220225164,203752,203752,,
A3_github,rps_doc_word_count,文档词数,1.0,93541.0,348.97868977973224,203752,203752,,
A3_github,rps_doc_num_sentences,文档句数,1.0,26727.0,70.92058482861518,203752,203752,,
A3_github,rps_doc_unigram_entropy,一元词熵,0.0,7.40034161,3.8449947976407928,203752,203752,,
A3_github,rps_doc_frac_unique_words,唯一词占比,1.2174256383258752,100.0,60.202507460311246,203752,203752,,
A3_github,rps_doc_frac_no_alph_words,非字母词占比,4.347826086956516,99.58013873676525,35.358940170962676,203752,203752,,
A3_github,rps_doc_frac_chars_top_2gram,最高频2-gram字符占比,0.0,194.0,3.8202766107817347,203752,203752,,
A3_github,rps_doc_frac_chars_top_3gram,最高频3-gram字符占比,0.0,284.0,3.1740154697867995,203752,203752,,
