指标,指标中文,指标族,方向,等权EW,熵权EWM,CRITIC,PCA隐含,组合权重
modernbert_professionalism,ModernBERT专业性,分类器打分,1,0.045454545454545456,0.15313003385201668,0.08102393628907612,0.04804888850095704,0.11544709391243332
modernbert_reasoning,ModernBERT推理性,分类器打分,1,0.045454545454545456,0.10144752541217429,0.05187287021239326,0.09256199194880363,0.07518600602160258
rps_lines_ending_with_terminal_punctution_mark,句末标点行占比,文本统计,1,0.045454545454545456,0.07444667064996827,0.061759376822084884,0.006968288482736462,0.0702781368746201
ad_en,英文广告含量,分类器打分,-1,0.045454545454545456,0.0827941058562899,0.05540801151586033,0.012127171405710388,0.07019919616679265
fluency_en,英语流畅度,分类器打分,1,0.045454545454545456,0.07529032632852292,0.0607151863739222,0.03092950748454427,0.07007520916888686
modernbert_cleanliness,ModernBERT干净度,分类器打分,1,0.045454545454545456,0.05872532510319054,0.05794222185204406,0.05742521293564469,0.06045836997746801
rps_doc_mean_word_length,平均词长,文本统计,0,0.045454545454545456,0.05516712015233563,0.06088835055774403,0.008990083457937451,0.06006941578304143
rps_lines_uppercase_letter_fraction,大写字母行占比,文本统计,-1,0.045454545454545456,0.050587663737780945,0.05801375368214756,0.015807619334406896,0.05614795480423184
qurater,QuRater质量等级,分类器打分,1,0.045454545454545456,0.049823660952642894,0.052635025770656485,0.010271083708809168,0.053076390968556375
modernbert_readability,ModernBERT可读性,分类器打分,1,0.045454545454545456,0.04817325669726317,0.05397059154950507,0.05920588628970462,0.05284790060384748
fineweb_edu,FineWeb教育价值,分类器打分,1,0.045454545454545456,0.06040799885449879,0.03954280638636007,0.06562639026480938,0.05065555936825881
rps_doc_num_sentences,文档句数,文本统计,0,0.045454545454545456,0.03983171763472562,0.04670808414489134,0.018368478063361376,0.044705060919834366
rps_doc_frac_unique_words,唯一词占比,文本统计,1,0.045454545454545456,0.03495683120826663,0.04417381361625817,0.09399651545212961,0.04072814430025259
rps_doc_word_count,文档词数,文本统计,0,0.045454545454545456,0.026253891055565793,0.04238514433242582,0.0006194446786867512,0.0345740152596267
rps_doc_unigram_entropy,一元词熵,文本统计,1,0.045454545454545456,0.025022266758198405,0.03643438956826969,0.09809858332518069,0.03129429847844682
rps_lines_numerical_chars_fraction,数字字符行占比,文本统计,-1,0.045454545454545456,0.014920024626438013,0.03991861975119074,0.01716196796530097,0.02529406760533402
rps_doc_frac_chars_top_2gram,最高频2-gram字符占比,文本统计,-1,0.045454545454545456,0.014889629317951576,0.03626533036678015,0.04805108352355706,0.024084293377559893
rps_doc_frac_no_alph_words,非字母词占比,文本统计,-1,0.045454545454545456,0.014039696353266578,0.03510766546505793,0.0029193621614154383,0.023010495992939434
rps_doc_frac_chars_top_3gram,最高频3-gram字符占比,文本统计,-1,0.045454545454545456,0.0128065767797608,0.03609528188031337,0.030233960873511965,0.02228373034506213
dsir_math,DSIR数学相似度,DSIR重要性,1,0.045454545454545456,0.003045870228965142,0.018122261523691955,0.09500488617288487,0.007700307023318864
dsir_wiki,DSIR百科相似度,DSIR重要性,1,0.045454545454545456,0.0022211957837217217,0.015800636902997527,0.0937795791673515,0.0061401200659904846
dsir_books,DSIR图书相似度,DSIR重要性,1,0.045454545454545456,0.0020186126564556957,0.01521664143632931,0.0938040148025557,0.005744232981895167
