指标,锚点中位相对偏差,口径一致度
rps_doc_word_count,0.1931198172443705,0.8381387900417244
rps_doc_num_sentences,0.7580487658225878,0.5688124353775259
rps_doc_unigram_entropy,0.03262404749917792,0.9684066552796371
rps_doc_frac_unique_words,0.16786227155544103,0.8562653528212105
rps_doc_frac_no_alph_words,0.8131535245224006,0.5515252770795612
rps_doc_frac_chars_top_2gram,0.3237165897995161,0.7554487174263302
rps_doc_frac_chars_top_3gram,0.4840990821605856,0.673809459233798
rps_lines_uppercase_letter_fraction,0.7949777794489297,0.557109960607427
rps_lines_numerical_chars_fraction,0.47601997567526433,0.6774976060486648
rps_doc_mean_word_length,0.05902856837596831,0.9442615901604153
