指标,配方域,对应质量域,质量信号值,A18复算值,相对偏差
rps_doc_word_count,arxiv,arxiv,6716.737138830162,6213.835864485981,-0.07487285328419076
rps_doc_word_count,github,github,348.1086,533.189,0.5316743108313563
rps_doc_word_count,stackexchange,stackexchange,288.6055,293.39866666666666,0.016608022600574285
rps_doc_word_count,pile_cc,commoncrawl,1190.7588174273858,723.2116666666667,-0.3926463897789597
rps_doc_word_count,gutenberg_pg_19,book,80082.8187134503,65783.70886075949,-0.178554027972657
rps_doc_num_sentences,arxiv,arxiv,440.79351656095844,656.213785046729,0.48871015655124955
rps_doc_num_sentences,github,github,70.0515,199.36066666666667,1.8459157429151516
rps_doc_num_sentences,stackexchange,stackexchange,33.8211,63.58133333333333,0.8799309700883
rps_doc_num_sentences,pile_cc,commoncrawl,68.86421161825726,55.87466666666667,-0.18862547971083107
rps_doc_num_sentences,gutenberg_pg_19,book,5379.87134502924,8882.088607594937,0.6509853187847954
rps_doc_unigram_entropy,arxiv,arxiv,5.906576111587191,6.1019329179387904,0.033074458472698694
rps_doc_unigram_entropy,github,github,3.861196952199936,4.10052722072777,0.06198343970241947
rps_doc_unigram_entropy,stackexchange,stackexchange,4.500694186186791,4.645497885021101,0.03217363651290895
rps_doc_unigram_entropy,pile_cc,commoncrawl,5.233882127968108,4.845734618368687,-0.0741605370612246
rps_doc_unigram_entropy,gutenberg_pg_19,book,6.583408110323008,6.7058307322284385,0.018595630080242488
rps_doc_frac_unique_words,arxiv,arxiv,25.119904480491247,34.37879773921636,0.3685879166279161
rps_doc_frac_unique_words,github,github,60.252057264852525,59.52441829900233,-0.012076582922963226
rps_doc_frac_unique_words,stackexchange,stackexchange,55.19300465602875,60.13523841192197,0.08954456795031242
rps_doc_frac_unique_words,pile_cc,commoncrawl,48.17922006054043,60.03997925822173,0.2461799751538376
rps_doc_frac_unique_words,gutenberg_pg_19,book,12.872540027774566,18.957205050537823,0.4726856556019195
rps_doc_frac_no_alph_words,arxiv,arxiv,30.509617409628827,6.720702853473547,-0.7797185469742334
rps_doc_frac_no_alph_words,github,github,35.25281622619629,22.572261204438924,-0.35970331958825946
rps_doc_frac_no_alph_words,stackexchange,stackexchange,30.893371209621428,7.980389531436341,-0.7416795506703195
rps_doc_frac_no_alph_words,pile_cc,commoncrawl,21.228087335602375,2.2715325207134596,-0.8929940090364719
rps_doc_frac_no_alph_words,gutenberg_pg_19,book,23.24607112951446,1.932943256069727,-0.9168486043849188
rps_doc_frac_chars_top_2gram,arxiv,arxiv,1.165897435605148,2.4627531049003184,1.1123239734288684
rps_doc_frac_chars_top_2gram,github,github,3.7242,4.147573677154671,0.11368177784248681
rps_doc_frac_chars_top_2gram,stackexchange,stackexchange,3.5227506214141844,2.780432394970598,-0.21072119659008584
rps_doc_frac_chars_top_2gram,pile_cc,commoncrawl,2.4289351528286316,2.722961640186133,0.12105160028419845
rps_doc_frac_chars_top_2gram,gutenberg_pg_19,book,0.799027811975507,3.2756953877635935,3.099601209831735
rps_doc_frac_chars_top_3gram,arxiv,arxiv,0.8892394581138877,1.7502329759286372,0.9682358435518766
rps_doc_frac_chars_top_3gram,github,github,3.1108,3.022775389519641,-0.02829645443360619
rps_doc_frac_chars_top_3gram,stackexchange,stackexchange,3.5469824887275694,1.7176237041629308,-0.5157507232873724
rps_doc_frac_chars_top_3gram,pile_cc,commoncrawl,2.1999878609653454,1.6127855923137926,-0.26691159474260884
rps_doc_frac_chars_top_3gram,gutenberg_pg_19,book,0.3004030977206969,2.2042385725013856,6.33760265086613
rps_lines_uppercase_letter_fraction,arxiv,arxiv,19.505269714104113,3.994827523553998,-0.795192397598042
rps_lines_uppercase_letter_fraction,github,github,22.785942399325222,9.589517447288502,-0.5791476481503073
rps_lines_uppercase_letter_fraction,stackexchange,stackexchange,28.67120856167078,5.575666676319542,-0.8055308109830108
rps_lines_uppercase_letter_fraction,pile_cc,commoncrawl,8.346239242235901,4.600266174098642,-0.44882167392614986
rps_lines_uppercase_letter_fraction,gutenberg_pg_19,book,46.830913588317514,3.6551461863921997,-0.9219501413223344
rps_lines_numerical_chars_fraction,arxiv,arxiv,4.1226676223751015,3.2049961975343675,-0.2225916587691017
rps_lines_numerical_chars_fraction,github,github,1.4657890380037948,3.9893453953155342,1.7216368045887713
rps_lines_numerical_chars_fraction,stackexchange,stackexchange,3.3449107910695717,2.0355781187703985,-0.3914402367332073
rps_lines_numerical_chars_fraction,pile_cc,commoncrawl,2.78704618864839,1.224628890992965,-0.560599714299151
rps_lines_numerical_chars_fraction,gutenberg_pg_19,book,3.3342158913936424,0.6711740110730633,-0.7987010938301221
rps_doc_mean_word_length,arxiv,arxiv,5.8275551392714515,6.389757045119924,0.0964730306820031
rps_doc_mean_word_length,github,github,9.787582854747772,9.132442307513388,-0.06693588773551493
rps_doc_mean_word_length,stackexchange,stackexchange,5.635204426777363,5.923283115498552,0.051121249000511064
rps_doc_mean_word_length,pile_cc,commoncrawl,4.992808170981427,5.5032187375930395,0.10222915622433226
rps_doc_mean_word_length,gutenberg_pg_19,book,4.575859889649508,4.637343138999319,0.013436436171362734
